,City of Folsom,City of Redding,City of Roseville,City of West Sacramento,Yuba City,El Dorado Irrigation District,Napa County Flood Control & Water Conservation District,Placer County Water Agency,Sacramento County Water Agency,San Juan Water District,Shasta Contractors,Solano County Water Agency,City of Avenal,City of Coalinga,City of Fresno,City of Huron,City of Lindsay,City of Orange Cove,City of Tracy,Kern County Water Agency,Other Friant-Kern M&I Contractors,Stockton-East Water District,"Alameda County Flood Control and Water Conservation District, Zone 7",Alameda County Water District,Contra Costa Water District,East Bay Municipal Utilities District,"San Benito County Water District, Zone 6",Santa Clara Valley Water District,San Luis Obispo County Flood Control & Water Conservation District,Santa Barbara County Flood Control & Water Conservation District,Antelope Valley-East Kern Water Agency,Santa Clarita Valley Water Agency,Coachella Valley Water District,Crestline-Lake Arrowhead Water Agency,Desert Water Agency,Metropolitan Water District of Southern California,Mojave Water Agency,Palmdale Water District & Littlerock Creek Irrigation District,San Bernardino Valley Municipal Water District,San Gabriel Valley Municipal Water District,San Gorgonio Pass Water Agency,Ventura County Watershed Protection District
1921,16674.866261168092,13281.931383040477,30922.65167434366,11304.559427926724,14004.404433949458,6142.398023622551,19587.650689300404,0.0,31554.24357853436,35443.36201449639,0.0,29540.739249264934,3010.143067000389,8743.74890890589,0.0,2580.1226288574762,0.0,0.0,15844.11296118201,111009.81721164059,0.0,0.0,67837.00538082917,60298.97849861037,0.0,191646.39658023935,9020.496774789946,263415.3949455625,18136.82258184429,33885.77419578877,130163.84140645534,64213.306455858416,332377.5000219754,3724.5026884182917,199578.36022824905,1789165.9974301201,93280.13710294146,10361.841398534543,123066.99463179258,12803.387097620698,12381.84408684014,63795.69086443296
1922,20885.57282984197,17749.505984901254,40903.87150335385,14972.17907673069,14678.906168975658,8767.079565580876,26135.948676982698,0.0,38526.79187840037,50864.608982481106,0.0,22066.88312645896,3461.1848579673137,10053.917920762196,0.0,2966.7298782576972,2563.5212638791672,1435.5719077723336,19407.857050692306,94898.97583880834,3000.345287244177,0.0,47948.604442611504,21630.700649110066,0.0,218331.72957637423,8223.697026753394,181728.41525366312,11047.554931906321,28241.24711875207,73017.42719385329,35571.49302059572,68702.23443212624,2572.6633204732925,27684.74436411456,1242894.8503652082,40745.96448485294,15083.291213739558,66866.97633205274,20318.12870360536,10288.962989842305,11776.425550060225
1923,20885.57282984197,17749.505984901254,40903.871503353854,14972.17907673069,14678.906168977088,8767.079565580874,34101.48974095437,0.0,38526.79187840037,50864.608982481106,0.0,42665.301910053706,3442.6050775337208,9999.948082359855,0.0,2950.8043521717605,2716.8037720434227,1521.4101123443168,17911.0240298315,86987.34341851609,3179.747134799622,0.0,54113.45432577478,28612.568701784516,0.0,218331.7295763742,8162.992919922898,187445.370491986,17893.716582543668,32267.153694048273,107405.73892132925,63502.11382478537,106041.00121718062,4274.408550327284,42708.607162727705,1269139.0363494859,64036.61891612694,14394.216089171125,67883.71934438011,18602.48151749033,12066.227117348475,10774.894747161145
1924,19569.18741152327,15968.21067955418,39907.98059247039,14947.155299810458,14647.079232576863,7489.393258586526,20979.55935577971,0.0,23916.35104440213,50799.29206757947,0.0,31399.748030259674,1925.9554814247733,5594.442112710056,0.0,1650.8189840783773,1219.2485618217681,682.7791946201901,6162.46027353667,25501.271963240823,1427.0085167561974,0.0,20809.374777364006,13647.597985525543,0.0,204287.8379220397,4515.109484493612,87276.06195066091,9143.581151840597,9878.642203284373,42085.9523238542,28898.383743401544,39165.24250319982,1996.9931767127723,15788.483879381798,422199.916868307,33113.15214849394,6789.114698687988,22956.745916850297,5453.938366040105,4216.579847745705,3159.5458747230296
1925,20665.569237234067,17589.108633206008,40903.87150335385,14972.17907673069,14678.906168975662,8712.032276748301,21495.750906490273,0.0,37010.76714825891,50864.608982481106,0.0,20524.117317983273,2657.820594994659,7720.336014032105,0.0,2278.1319385668507,2601.865750921015,1457.0448205157684,12751.008140149623,38945.377050765856,3045.2236748779565,0.0,22523.705716261284,11523.914696624863,0.0,215556.96690463152,6356.390588251629,120866.89934181329,6853.619459415581,13175.699355442319,41099.91982766652,23896.410662211656,40012.53634704669,1603.0325176994065,16137.302004762774,544244.0909552666,25391.59671576597,6715.137163167151,29448.369844865723,8329.08113254814,4952.77456461472,4825.157925589652
1926,20885.57282984197,17539.50471908746,40903.871503353854,14972.17907673069,14678.906168975518,8767.079565580876,25906.400344965325,0.0,35231.19850728185,50864.608982481106,0.0,22829.696601988217,2695.3531755577133,7829.359224239071,0.0,2310.302721906611,2619.344161851238,1466.832730636693,13042.741901132784,60265.52670732305,3065.680407030689,0.0,34419.72805633829,17404.233475012887,0.0,204731.61252988887,6397.299327729762,136438.10369386757,9911.271922490214,20057.010370841308,60756.58432602748,34857.168603930855,56937.24166994936,2389.2946117256306,22487.591944435208,841007.1382856462,37010.84680004394,10092.965631389627,44635.172323838924,12919.681419168015,7460.779460732697,7468.274400388946
1927,20885.57282984197,17730.320078811812,40903.87150335385,14972.17907673069,14678.906168975658,8767.079565580874,32345.32462040081,0.0,38189.93310314619,50864.608982481106,0.0,26662.46972639798,3197.3955324756853,9287.672737191277,0.0,2740.624742122016,2652.8272578369897,1485.5832643887143,16026.563181248881,86057.79601765491,3104.869022572413,0.0,48967.2059607597,23575.932277538046,0.0,215556.96690463152,7619.801354471345,172614.9455946204,13531.858499971855,28443.919529553204,84041.1208467541,42433.36495634624,81748.68034970017,3151.6684309173374,33375.39727830936,1193510.6342182271,45856.034775123284,13408.058646516047,63933.164842197555,18415.069745962177,10551.383856561544,10635.049314556632
1928,20840.764290078623,17723.856033604883,40843.459166025335,14947.155299810458,14647.079232577707,8760.524611618504,37563.46854193618,0.0,38465.6461539328,50799.29206757947,0.0,46152.71711512038,3068.113817542395,8912.140136670767,0.0,2629.811843607767,2675.8309500595005,1498.4653320333202,15205.871495038531,85395.04188019561,3131.7925439496394,0.0,51348.15738141027,26898.078142379796,0.0,217887.954968525,7254.938115445577,168800.01216412065,16072.883361267472,29137.879979596786,93096.09445939572,53294.8756418935,89064.00170911732,3731.2298337605507,35890.40254905993,1218402.3530648677,57609.99163775935,14962.273268040837,65310.551811864774,18294.786330173003,11056.417478475369,10561.309014607868
1929,20885.57282984197,16149.09000684547,40125.07637767168,14972.17907673069,14678.906168975662,7863.7969863463095,25348.11537631916,0.0,25107.708511522138,50864.608982481106,0.0,33436.18656612773,1973.4234035433426,5732.32512457828,0.0,1691.5057744657222,1674.6192576931937,937.7867843081884,6449.970972573439,32192.61462122912,1959.974379204114,0.0,24115.393840493776,15206.001341072248,0.0,204731.6125298889,4639.32227124578,93370.81694307353,9956.269198845956,11784.347766673116,47051.98003345801,31657.93004424662,44045.49957622077,2176.256058937335,17757.830187837702,507850.33284836274,36416.65122333888,8003.450523670577,27695.48596267125,6884.846521327565,4927.335366871018,3988.491795215446
1930,20885.57282984197,17242.27922549713,40822.24730484632,14972.17907673069,14678.906168976539,8727.80667732948,21509.22884349842,0.0,32789.839459139555,50864.608982481106,0.0,20524.54552056036,2508.5287094599726,7286.6786322408725,0.0,2150.167465251405,1533.9082609169254,858.9886261134782,11123.85120947203,47587.40926268504,1795.2862285771696,0.0,27470.371506168176,13993.435737180294,0.0,206962.22416653752,5990.656878354058,121691.9059696184,8186.533650729348,16024.695462684474,49322.76410826984,28510.871212304704,47143.002172985776,1937.3366408182799,18847.363981905833,666432.4784097755,30347.811850850347,8129.729036224455,35695.002731540146,10182.337327986657,5990.244579681199,5893.14963131033
1931,20885.57282984197,15952.595172264702,39922.01619639438,14972.17907673069,14678.906168975402,7475.447751202323,18599.48857529073,0.0,23471.17722803312,50864.608982481106,0.0,14250.545939710495,1829.477709157158,5314.197155170792,0.0,1568.1237507061353,607.641224723063,340.2790858449153,5602.246199970416,25311.531500131976,711.183289415873,0.0,16761.500132062785,9149.588486884226,0.0,189377.9538600939,4312.330998268983,81740.97754421919,5605.43823075909,8683.03083552561,29648.819433841058,16285.939029488094,27843.846006773198,1253.0045182616602,11377.742488679563,377165.64447209495,18809.21143223774,4765.884720585142,20134.33406845043,5413.303617927724,3440.7274450696796,3136.0055737236053
1932,20840.764290078623,15801.555386323285,39861.60385906588,14947.155299810458,14647.079232576865,7413.00377633884,16184.214754599223,0.0,22421.75107358214,50799.29206757947,0.0,11893.171282568343,2289.905860484383,6651.6313090260655,0.0,1962.776451843757,2572.3397171917395,1440.510241627374,8664.42051247956,23418.23223939343,3010.6664050012123,0.0,14194.024403725232,7431.028591990378,0.0,212404.99581621695,5406.335031902911,95696.81368428443,4427.670607766831,7935.251179658662,25360.943342330833,14384.490319466444,24057.189797867253,1024.4177068574936,9702.646648233607,335290.24937110755,15789.160454377994,4146.081709927851,17934.67799896916,5007.644801837802,3029.8032730323666,2901.001517406678
1933,20885.57282984197,15824.423385680393,39917.744030609385,14972.17907673069,14678.906168975824,7419.558730301215,14294.042568201643,0.0,22457.131117726312,50864.608982481106,0.0,11948.733842447742,2392.25736551854,6948.93806174433,0.0,2050.5063133016056,2632.158721215528,1474.0088838806957,9170.807624914485,45381.996247609844,3080.678567310654,0.0,25898.14017971392,13145.750266246041,0.0,211267.7515229464,5611.146988778243,114792.89502909513,7821.246833043572,15369.991993738611,47527.34009232837,27857.763325102806,46594.646155540904,1835.9418078683898,18789.63143508549,630142.5789999185,29320.872866354955,7773.029800083339,34185.57988788975,9704.749494886113,5741.46316270774,5622.016460443122
1934,20885.57282984197,15824.423385680393,39922.016196394405,14972.17907673069,14678.906168975658,7419.558730301214,13143.359590265816,0.0,22457.131117726312,50864.608982481106,0.0,11902.075815128364,2149.0039970237726,6242.34494373572,0.0,1842.0034260203763,1427.6294034373354,799.4724659249077,7411.44472560194,20304.407962498313,1670.8974537830572,0.0,13736.605354263294,7567.437870208741,0.0,189690.26798884117,5061.06895194752,88595.54990707626,4512.956468301446,6870.841445388852,23434.18074290864,12469.796977432687,20888.910280574502,1020.5525848257914,8426.829700300786,307988.5618501343,14811.816750862816,3822.3547652158495,16058.650945689433,4342.438037176315,2743.079227174376,2515.6375568949543
1935,20885.57282984197,17018.242198776978,40903.87150335385,14972.17907673069,14678.906168976388,8169.223637413533,24245.940708938295,0.0,31016.730588253595,50864.608982481106,0.0,20541.56008492211,2508.6052750710187,7286.901037111054,0.0,2150.233092918016,2612.6791034657067,1463.1002979407956,11300.972808627284,95608.69245820878,3057.879622696263,0.0,47751.62986630739,23162.45822298976,0.0,212782.2042328888,5869.090287840724,148507.7443833491,11538.495089176606,24673.850549507777,70933.2098971299,32421.92322216391,39431.45476044298,2235.2308048199607,15737.453763264264,1277035.758684853,41328.01606184825,16648.117410927618,55244.696377005144,18373.80666073198,8559.83921195061,12390.815279152903
