,Butte County,City of Folsom,City of Redding,City of Roseville,City of West Sacramento,Yuba City,El Dorado Irrigation District,Napa County Flood Control & Water Conservation District,Placer County Water Agency,Sacramento County Water Agency,San Juan Water District,Shasta Contractors,Solano County Water Agency,City of Avenal,City of Coalinga,City of Fresno,City of Huron,City of Lindsay,City of Orange Cove,City of Tracy,Kern County Water Agency,Other Friant-Kern M&I Contractors,Stockton-East Water District,"Alameda County Flood Control and Water Conservation District, Zone 7",Alameda County Water District,Contra Costa Water District,East Bay Municipal Utilities District,"San Benito County Water District, Zone 6",Santa Clara Valley Water District,San Luis Obispo County Flood Control & Water Conservation District,Santa Barbara County Flood Control & Water Conservation District,Antelope Valley-East Kern Water Agency,Santa Clarita Valley Water Agency,Coachella Valley Water District,Crestline-Lake Arrowhead Water Agency,Desert Water Agency,Metropolitan Water District of Southern California,Mojave Water Agency,Palmdale Water District & Littlerock Creek Irrigation District,San Bernardino Valley Municipal Water District,San Gabriel Valley Municipal Water District,San Gorgonio Pass Water Agency,Ventura County Watershed Protection District
1921-12-31,4173.616810,3857.903309,2391.507683,6086.999998,2280.999987,2745.999941,1590.200569,6119.699991,0.000000,6371.600028,7183.999945,,9580.000131,758.264032,2202.576472,,649.940598,0.000000,0.000000,3993.985372,11819.999941,0.000000,1018.399980,16499.999966,19799.999909,,3199.999997,2268.750023,64054.113366,4189.999952,7910.000156,22819.999884,0.000000,43530.000605,640.000001,23030.000383,591326.150898,17950.000419,5299.999930,35090.000474,879.999982,1610.000022,0.000000
1922-12-31,27018.746671,19178.021834,15453.026972,31999.999680,12001.000181,12118.999977,13516.050757,25925.100183,0.000000,30998.399952,40999.999913,,22208.399969,3408.355930,9900.462462,,2921.447940,2579.556001,1444.551361,18876.349931,107402.828427,3019.112344,37950.599718,56350.577306,20491.119412,,3200.000050,8021.062540,166851.641988,9974.259703,22932.817701,79012.095390,32460.230554,55193.564383,2314.028243,22238.609222,1352879.353565,40974.258675,11235.006216,71958.298637,22980.693788,9024.710115,10014.156944
1923-12-31,19477.113316,19161.247650,15700.000003,27274.999473,12001.000181,12118.999977,12999.900944,36475.199981,0.000000,29143.399948,40999.999913,,42267.599972,3325.559302,9659.957972,,2850.479402,2708.132022,1516.553932,16783.815852,53655.273011,3169.597718,37996.199716,37009.739011,26887.745777,,3200.000085,7814.172458,178255.901683,17449.110966,27820.875035,85684.377314,64640.676314,96566.376653,4367.120717,38914.511702,881758.494238,59304.522529,16151.613010,47081.367825,11481.372692,11397.401284,5003.167497
1924-12-31,15528.729636,17920.723368,10587.564948,26689.999530,12001.000161,12118.999959,3488.494231,22166.499958,0.000000,12141.973677,40999.999883,,29506.700080,1223.018393,3552.577236,,1048.301479,881.302191,493.529227,4406.244835,41254.408006,1031.476084,25706.129686,25701.384702,13259.347784,,33967.516313,2974.537536,75493.694878,9056.769510,17183.850673,48206.073381,26904.503291,45591.668181,2036.807010,19227.040533,596546.004173,31321.641425,7513.295494,32955.873373,8827.094766,5388.355355,3846.529142
1925-12-31,7139.323716,18984.447338,15247.435076,25804.999504,12001.000181,12118.999977,12304.678710,23591.480181,0.000000,27290.720664,40999.999913,,19690.899851,2836.805038,8240.243205,,2431.547175,2598.837080,1455.348765,13741.847335,27104.820489,3041.678918,37786.772844,16961.101806,9312.322701,,5682.482618,6736.580070,118298.374850,5410.668906,9310.788902,30815.213958,16613.281823,31496.181892,1167.964010,12398.674583,394935.585068,19241.763601,4948.985876,21423.024640,5799.545663,3549.982421,2527.232547
1926-12-31,15337.226327,18856.834999,15700.000003,26689.999538,12001.000181,12118.999977,7776.657121,25816.399860,0.000000,26440.990541,40999.999913,,22924.799968,2444.838655,7101.674188,,2095.575990,2167.967660,1214.061890,9380.928348,43888.832234,2537.389350,37950.599718,25426.004171,12681.106268,,70858.874007,5755.471806,115116.158017,7705.304855,14654.545431,45272.548817,26900.658718,40798.372503,1891.197822,16787.969037,611405.363840,27906.815094,7462.038159,32550.594956,9390.775531,5562.428448,4092.160806
1927-12-31,26957.599591,19150.307099,15700.000003,31999.999680,12001.000181,12118.999977,14119.447941,30073.919886,0.000000,30679.918467,40999.999913,,29606.399749,3369.245788,9786.856812,,2887.924961,2630.739304,1473.214010,18101.984732,85585.042848,3079.017282,37952.215108,48109.193816,22764.367204,,16573.041831,8051.999984,172944.544912,11480.961367,22594.790138,79309.114376,44506.761946,68355.925401,2897.413154,26636.624498,1173364.703283,44936.622506,13814.150787,59647.931118,18312.401116,10084.115121,7979.883330
1928-12-31,26395.102180,19191.235944,15699.999998,31999.999672,12001.000161,12118.999959,12986.080339,37465.100045,0.000000,30998.399941,40999.999883,,46088.400474,3022.075275,8778.409133,,2590.350236,2639.773579,1478.273204,15011.661999,88430.591971,3089.590997,37965.799718,52658.386124,26864.705094,,3199.999968,7136.646762,166807.349308,15920.582019,29141.467143,93050.305110,51427.310375,88103.916393,3642.404848,35502.311709,1246122.902648,57303.259671,14872.549697,67150.163218,18921.256057,10966.779217,8245.200072
1929-12-31,3270.202395,18575.914280,11432.527188,26689.999538,12001.000181,12118.999977,4004.310585,24037.500108,0.000000,12642.471626,40999.999913,,31655.899815,1255.139542,3645.881527,,1075.833893,1313.555938,735.591325,4435.906306,7689.101937,1537.385870,34561.773474,6884.012254,3327.525101,,35233.470252,3133.999723,54024.956404,2052.607207,4025.359850,12181.101667,7448.485033,10514.909661,523.651088,4396.419733,167139.070730,7478.039362,1947.627275,8849.046441,1645.216492,1525.935625,716.925947
1930-12-31,17205.480310,18784.428932,15305.158253,25804.999504,12001.000181,12118.999977,7624.120694,22297.480460,0.000000,23830.341448,40999.999913,,19690.899763,1926.667532,5596.510450,,1651.429313,1076.419817,602.795097,6319.697605,52321.962765,1259.841754,37940.349746,24800.177365,9410.387047,,77979.656566,4554.992176,98006.744656,7493.682064,14177.977112,48798.226260,29181.304875,31031.587229,1737.991234,10903.992410,636733.543153,28542.195109,8449.525672,27518.304961,11196.169133,5845.555354,472.032639
