,"Chosen_Family_(A,C,E,F)"
D_THRMF_11_NU1_PMI,"A=CALSIM, C=DIVERSION, E=1MON, F=L2020A"
DG_26S_PU1,"A=CALSIM, C=SW-DELIVERY-GROSS, E=1MON, F=L2020A"
D_FOLSM_WTPFOL_WR,"A=CALSIM, C=DIVERSION-WR, E=1MON, F=L2020A"
DG_02_SU,"A=CALSIM, C=SW-DELIVERY-GROSS, E=1MON, F=L2020A"
DG_03_SU,"A=CALSIM, C=SW-DELIVERY-GROSS, E=1MON, F=L2020A"
DG_26N_PU1,"A=CALSIM, C=SW-DELIVERY-GROSS, E=1MON, F=L2020A"
DG_21_PU,"A=CALSIM, C=SW-DELIVERY-GROSS, E=1MON, F=L2020A"
DG_16_PU,"A=CALSIM, C=SW-DELIVERY-GROSS, E=1MON, F=L2020A"
D_FOLSM_WTPEDH_CVP,"A=CALSIM, C=DIVERSION-CVP, E=1MON, F=L2020A"
D_FOLSM_EDCOCA_CVP,"A=CALSIM, C=DIVERSION-CVP, E=1MON, F=L2020A"
D_BKR004_NBA009_NAPA,"A=CALSIM, C=DIVERSION, E=1MON, F=L2020A"
D_FOLSM_24_NU2_CVP,"A=CALSIM, C=DIVERSION-CVP, E=1MON, F=L2020A"
DG_26S_PU6,"A=CALSIM, C=SW-DELIVERY-GROSS, E=1MON, F=L2020A"
DG_26S_PU5,"A=CALSIM, C=SW-DELIVERY-GROSS, E=1MON, F=L2020A"
DG_26S_PU4,"A=CALSIM, C=SW-DELIVERY-GROSS, E=1MON, F=L2020A"
DG_26N_PU2,"A=CALSIM, C=SW-DELIVERY-GROSS, E=1MON, F=L2020A"
DG_26N_PU3,"A=CALSIM, C=SW-DELIVERY-GROSS, E=1MON, F=L2020A"
D_BKR004_NBA009_SCWA,"A=CALSIM, C=DIVERSION, E=1MON, F=L2020A"
DG_90_PU,"A=CALSIM, C=SW_DELIVERY-GROSS, E=1MON, F=L2020A"
D910_C1,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
DG_50_PU,"A=CALSIM, C=SW_DELIVERY-GROSS, E=1MON, F=L2020A"
D_SBA009_ACFC_PMI,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_SBA009_ACFC_PCO,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_SBA009_ACFC_PIN,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_SBA020_ACFC_PMI,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_SBA020_ACFC_PCO,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_SBA029_ACWD_PMI,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_SBA029_ACWD_PCO,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_SBA029_ACWD_PIN,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_CCC019_CCWD,"A=CALSIM, C=DIVERSION, E=1MON, F=L2020A"
PERDV_CVPMI_SYS,"A=CALSIM, C=PERCENT-DELIVERY, E=1MON, F=L2020A"
D_FSC027_MAQ012,"A=CALSIM, C=DIVERSION, E=1MON, F=L2020A"
D_PCH000_SBCWD_PU,"A=CALSIM, C=DIVERSION, E=1MON, F=L2020A"
D_PCH000_SCVWD_PU,"A=CALSIM, C=DIVERSION, E=1MON, F=L2020A"
D_SBA036_SCVWD_PMI,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_SBA036_SCVWD_PCO,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_SBA036_SCVWD_PIN,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_SBA036_SCVWD_WTS,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_CSB038_OBISPO_PMI,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_CSB038_OBISPO_PCO,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_CSB038_OBISPO_PIN,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_CSB103_BRBRA_PMI,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_CSB103_BRBRA_PCO,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_CSB103_BRBRA_PIN,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB324_AVEK_PMI,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB324_AVEK_PCO,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB324_AVEK_PIN,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_WSB032_CLRTA2_PMI,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_WSB032_CLRTA2_PCO,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB407_CCHLA_PMI,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB407_CCHLA_PCO,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB407_CCHLA_PIN,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_SVRWD_CSTLN_PMI,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_SVRWD_CSTLN_PCO,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB408_DESRT_PMI,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB408_DESRT_PCO,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB408_DESRT_PIN,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB413_MWDSC_PMI,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB413_MWDSC_PCO,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB413_MWDSC_PIN,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB413_MWDSC_WTS,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB433_MWDSC_PMI,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB433_MWDSC_PCO,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB433_MWDSC_PIN,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_PRRIS_MWDSC_PMI,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_PRRIS_MWDSC_PCO,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_PRRIS_MWDSC_PIN,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_WSB031_MWDSC_PMI,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
