Contractor,NonNaN_years,First_year,Last_year
Butte County,94,1921-12-31,2014-12-31
City of Folsom,94,1921-12-31,2014-12-31
City of Redding,0,,
City of Roseville,94,1921-12-31,2014-12-31
City of West Sacramento,94,1921-12-31,2014-12-31
Yuba City,94,1921-12-31,2014-12-31
El Dorado Irrigation District,94,1921-12-31,2014-12-31
Napa County Flood Control & Water Conservation District,94,1921-12-31,2014-12-31
Placer County Water Agency,94,1921-12-31,2014-12-31
Sacramento County Water Agency,94,1921-12-31,2014-12-31
San Juan Water District,94,1921-12-31,2014-12-31
Shasta Contractors,0,,
Solano County Water Agency,94,1921-12-31,2014-12-31
City of Avenal,94,1921-12-31,2014-12-31
City of Coalinga,94,1921-12-31,2014-12-31
City of Fresno,0,,
City of Huron,94,1921-12-31,2014-12-31
City of Lindsay,94,1921-12-31,2014-12-31
City of Orange Cove,94,1921-12-31,2014-12-31
City of Tracy,94,1921-12-31,2014-12-31
Kern County Water Agency,0,,
Other Friant-Kern M&I Contractors,94,1921-12-31,2014-12-31
Stockton-East Water District,0,,
"Alameda County Flood Control and Water Conservation District, Zone 7",94,1921-12-31,2014-12-31
Alameda County Water District,94,1921-12-31,2014-12-31
Contra Costa Water District,0,,
East Bay Municipal Utilities District,94,1921-12-31,2014-12-31
"San Benito County Water District, Zone 6",94,1921-12-31,2014-12-31
Santa Clara Valley Water District,94,1921-12-31,2014-12-31
San Luis Obispo County Flood Control & Water Conservation District,94,1921-12-31,2014-12-31
Santa Barbara County Flood Control & Water Conservation District,94,1921-12-31,2014-12-31
Antelope Valley-East Kern Water Agency,94,1921-12-31,2014-12-31
Santa Clarita Valley Water Agency,94,1921-12-31,2014-12-31
Coachella Valley Water District,94,1921-12-31,2014-12-31
Crestline-Lake Arrowhead Water Agency,94,1921-12-31,2014-12-31
Desert Water Agency,94,1921-12-31,2014-12-31
Metropolitan Water District of Southern California,0,,
Mojave Water Agency,94,1921-12-31,2014-12-31
Palmdale Water District & Littlerock Creek Irrigation District,94,1921-12-31,2014-12-31
San Bernardino Valley Municipal Water District,94,1921-12-31,2014-12-31
San Gabriel Valley Municipal Water District,94,1921-12-31,2014-12-31
San Gorgonio Pass Water Agency,94,1921-12-31,2014-12-31
Ventura County Watershed Protection District,94,1921-12-31,2014-12-31
