,City of Folsom,City of Redding,City of Roseville,City of West Sacramento,Yuba City,El Dorado Irrigation District,Napa County Flood Control & Water Conservation District,Placer County Water Agency,Sacramento County Water Agency,San Juan Water District,Shasta Contractors,Solano County Water Agency,City of Avenal,City of Coalinga,City of Fresno,City of Huron,City of Lindsay,City of Orange Cove,City of Tracy,Kern County Water Agency,Other Friant-Kern M&I Contractors,Stockton-East Water District,"Alameda County Flood Control and Water Conservation District, Zone 7",Alameda County Water District,Contra Costa Water District,East Bay Municipal Utilities District,"San Benito County Water District, Zone 6",Santa Clara Valley Water District,San Luis Obispo County Flood Control & Water Conservation District,Santa Barbara County Flood Control & Water Conservation District,Antelope Valley-East Kern Water Agency,Santa Clarita Valley Water Agency,Coachella Valley Water District,Crestline-Lake Arrowhead Water Agency,Desert Water Agency,Metropolitan Water District of Southern California,Mojave Water Agency,Palmdale Water District & Littlerock Creek Irrigation District,San Bernardino Valley Municipal Water District,San Gabriel Valley Municipal Water District,San Gorgonio Pass Water Agency,Ventura County Watershed Protection District
1921,14991.176556975834,16882.523860608653,63806.21994453874,7274.80514769072,8577.483871534849,11709.954922379067,56908.30680370498,68754.48586052132,77509.26752404631,44680.26871199837,8856.526892750939,88622.2177477948,88622.2177477948,31435.064344042607,26195.88695336884,7858.766086010652,0.0,0.0,14215.836485065916,333029.4516349217,0.0,224267.42683525098,184910.60582617405,180896.9354958311,1090533.8527855598,0.0,49319.26701544823,734784.5622816607,0.0,0.0,390491.524219366,192639.91936757523,997132.500065926,11173.508065254875,598735.0806847471,6841728.670686624,267347.2903402565,27154.177421150158,369200.9838953777,38410.161292862096,37145.53226052042,229738.3225958345
1922,83978.01339844758,324107.372072582,383778.0068330507,190941.49527910815,57346.319192731586,90461.6396872104,292723.3507030095,419730.616937841,537856.5904683202,290140.2516809099,123964.43305620129,264802.5975175076,264802.5975175076,143841.17280371542,119867.6440030962,35960.293200928856,30541.329972987005,17103.144784872722,212880.49849633675,1156764.5415861874,35745.572600383995,899331.341280674,581557.6343642811,262317.963380623,1585733.1863921,0.0,512522.630255761,2538026.0859658495,0.0,0.0,864365.8140536448,414872.11770535115,804874.763788872,30483.34791421512,324385.49851096264,14080905.855779983,466242.39899906464,166576.60550418624,812511.2067707788,247711.88591052938,123725.21974844307,171225.86086838154
1923,77519.92519959329,315783.0180237849,354774.86005361483,201357.92957021744,55624.67991092966,90313.77141436556,336907.66810608463,388122.06491100637,527545.3964519716,268599.5137679033,119958.46404551255,508339.7095260026,508339.7095260026,139818.61683407336,116515.51402839446,34954.65420851834,32601.645264521074,18256.9213481318,180683.081290607,1171525.5733716507,38156.965617595466,899331.341280674,700021.2245175719,366842.823230047,1620511.8086360123,0.0,447266.60637551604,2555394.5442022244,0.0,0.0,1256332.3242984235,715847.9376782714,1199687.993999728,50443.85645380819,482044.8963849197,14987982.165671786,746401.1748801831,187680.14720903253,890244.1764866866,249885.9106360083,149730.2416377759,173996.125815901
1924,61310.5621719827,239899.8446806029,279070.22495195863,211456.1873238827,39922.47899094008,64989.06266669508,238222.19875564688,304969.107263466,375546.2467195311,210134.34014584814,87506.12913621278,375921.9996963916,375921.9996963916,100236.13835478427,83530.11529565357,25059.034588696068,12684.658046682345,7103.408506142113,44410.33012237413,196155.96824974017,14846.123777837018,55023.14545948467,176434.39413953075,88894.70468525548,1789295.8396835953,805602.6363905421,155479.18886913423,1302813.650530577,0.0,0.0,326035.84286524414,192986.95616411214,324832.0559269472,12454.341416758258,130961.20014280631,4318753.973507809,191843.21271740226,45354.38298655599,217245.26759906177,42067.157173364605,39541.460761734124,29071.49116071893
1925,78933.5455706922,321832.21800346614,362186.67369368975,161047.56891342794,53848.97342143982,86407.2714911012,237603.49753888743,396436.46085079375,510823.26881832106,274922.800632214,121493.18482729667,246355.28609557822,246355.28609557822,124013.49189959015,103344.5765829918,31003.37297489754,31233.70047681652,17490.87226701725,149864.72540751935,457454.640918865,36555.92303806606,844308.1958211893,258498.87312914012,130621.76514402042,1796644.011594086,179666.774037864,376539.55170248647,1819824.365397383,0.0,0.0,476700.2888455997,280682.38086123863,469989.9501116501,18267.87464434037,189549.1086956102,7786937.923095117,280423.7457659151,70069.99304573504,343766.63208950876,97834.21783927533,57685.55117242027,67610.62049924255
1926,65154.00177496719,305546.9388029193,296716.3144324085,158230.30115632224,53843.293074891095,69206.29051455623,315664.357633035,324286.1589646365,402795.46925304725,223536.73933996,93404.33990646049,274042.51556465693,274042.51556465693,109117.24565625105,90931.03804687588,27279.311414062762,31303.354049720918,17529.878267843713,60564.03478605104,504196.7754882632,36637.44557979337,55023.14545948467,299926.4230837115,155600.96372653646,1769546.500718677,0.0,192963.9704073893,1560495.3076855757,0.0,0.0,540397.0837777714,309687.7389356383,517926.07777814387,21534.224757075473,208875.6743351262,8766623.921583237,320552.05521129904,79700.05347973475,384112.29816466355,107816.48746557761,64755.23261680002,74509.10099339638
1927,81535.86953614233,323312.9764718563,373589.44704868254,163320.67944288556,57378.256124353065,88748.2606720326,347022.97702039045,408800.2813658942,526048.1451665108,283172.8930215352,123278.17986341796,319949.63671677577,319949.63671677577,138779.27588116776,115649.39656763981,34694.81897029194,31826.050628389257,17822.588351897983,186703.36868771876,1326116.2177199647,37249.20965546679,844308.1958211893,678913.855282668,316278.9295103407,1571887.474557786,0.0,458229.50982842443,2489077.076789735,0.0,0.0,834320.4516363329,340166.23453348596,681662.6353916146,31542.700776300422,274723.0900632307,14932560.510905642,498831.75229886436,215287.3552598861,923981.9304009816,283768.3260592476,131952.3904959354,196956.47885594814
1928,83344.90039629409,323571.4139656167,381104.8680281829,178795.48618067996,57238.36352769981,89987.43264344227,361855.634769638,416855.23548221827,545817.4624008024,288285.8857374825,124011.91829367512,552195.5235432652,552195.5235432652,128972.80892666304,107477.3407722192,32243.20223166576,32078.410658776433,17963.909968914802,177605.27907541388,993077.5134836751,37544.57183503194,782165.2010460481,665204.5533324128,357924.3336511943,1575742.8507993093,0.0,419925.1309637474,2466829.9993549567,0.0,0.0,1539448.5419946848,954132.0378741588,1591881.7709769942,60637.63677996374,641510.346344049,14537591.753154943,827762.6058671444,126132.0296811134,813869.0911960788,212799.0371259278,158701.00476178672,146530.19605666463
1929,50832.34696234651,291592.4275764145,230653.3319127388,195570.4555341401,39922.010921739384,53200.130274786745,254417.1188222182,251900.1494733768,296019.71201070107,173128.4793053337,69778.26703872708,404471.336131558,404471.336131558,86232.58792649444,71860.48993874536,21558.14698162361,19808.88326023917,11092.974625733934,16991.6470805887,432050.31041110057,23184.316967783925,55023.14545948467,309217.2416221384,192970.36083999634,1776208.2102553383,0.0,92594.4098002627,1233732.293027988,0.0,0.0,432076.2630907338,387543.2987266992,564275.4906940709,26240.511422961587,227627.79617081428,8062332.301118077,419320.0347486214,92394.10715414947,360432.2373306,92918.68765101164,63243.35356109447,53756.83429769997
1930,59639.60259110635,303692.79711359,273312.3358194152,170019.20432551627,53848.97342143982,64961.80130571285,247482.87276063988,299082.8332972404,390522.0769691843,207202.27873431655,90151.1022015193,246355.2860956351,246355.2860956351,102265.58067042648,85221.31722535541,25566.39516760662,18678.89498537926,10460.181191812384,54405.305547384,199916.8139742894,21861.778690887884,0.0,112076.12004949898,55225.09090573891,1796644.011594086,0.0,176276.30149006424,1258179.8198669008,0.0,0.0,210917.89003142275,122674.48024412176,205400.74284318497,7809.458766506008,82842.27686174065,3413442.148141335,123270.41130787543,30939.09254136916,153966.35342575476,42754.827395394896,25732.552589188977,29546.72172357477
1931,44226.78066003049,224928.4537464121,201189.05640287302,211535.71639813227,39933.97269021519,46766.94560181813,213782.02375404644,219833.855502947,268966.2224645763,151400.14888528417,62508.77343519898,170881.50224425955,170881.50224425955,92171.55359540283,76809.62799616903,23042.888398850708,6174.229172317462,3457.5683364977785,33202.88398099246,609265.4195490471,7226.3178232803575,0.0,336790.86980659846,182171.128812035,1834797.3063191199,805602.6363905433,128156.51811636114,1517058.4023008293,0.0,0.0,596625.6614804303,357662.525911685,586830.8054681835,22275.67597821226,232837.15394997937,9993919.102706533,345686.190133313,88632.15608659688,446012.1777846935,130761.94335913162,74174.02916705099,90206.17739331204
1932,41894.92939065173,224512.88857111242,191488.88399477355,204415.95082281026,53823.468567243755,45157.61260327012,231063.4827779269,209434.22990920703,269421.6642242473,144790.18387499798,61929.958075763905,246253.53487771112,246253.53487771112,96578.76293741234,80482.30244784361,24144.690734353084,30985.3154459778,17351.776649747568,50192.41030998008,430881.6875219805,36265.21319797242,842400.97908354,274233.3372846353,146976.41801524552,1788649.1715160178,110842.80904318871,164169.67673302186,1372659.0907967368,0.0,0.0,498620.6765881522,282088.5525901709,484974.84231027897,20393.59394935621,199012.10472909195,7533550.863683401,301497.3466528101,72390.20377950718,340385.8469994353,92143.94654243953,58008.205457531454,63678.22566147594
1933,41999.860098724595,224920.72332458693,191947.37396737124,198441.55478319013,39933.97269021555,45250.789026155435,172879.55039967233,209931.06804068972,268966.2224645763,145120.8889264361,62000.219164518276,171006.5512765259,171006.5512765259,97512.49237891694,81260.41031576412,24378.123094729235,32007.5926747948,17924.251897885086,50706.889491484486,636894.7587909607,37461.686466579835,55023.14545948467,347181.098666901,192162.67214291604,1834797.3063191199,0.0,165813.56871689454,1596180.4856475035,0.0,0.0,734359.7610056183,369098.5105479303,602729.5267455177,23769.614286852604,238041.04467727218,10330047.431698391,362069.6410042766,93199.84241695185,466941.42865766276,136774.8175540171,77742.55681060527,94311.55952322394
1934,41984.072651027476,224486.67946460846,191862.46913259337,209596.37925485487,39937.61322844696,45221.74245493186,146405.52147713615,209835.41903467293,269421.6642242473,145047.0488167884,61937.148993740164,143384.80610937293,143384.80610937293,97512.49237891694,81260.41031576412,24378.123094729235,17329.859994588154,9704.721596969366,50706.889491484486,281982.3531518278,20282.868137665977,0.0,197242.46795653243,110027.30150702535,1858892.5248086161,805602.6363905433,165813.56871689454,1275676.062187657,0.0,0.0,356803.6384187646,196232.80032584473,347116.8892908895,15221.189251338274,144144.34831255226,5100317.130213225,220083.8676292128,51244.82953206645,232921.30376794678,60324.19207895684,40199.44608465167,41688.44140272194
1935,64888.30606234653,309502.40554109006,297972.284549364,157530.72910431292,55666.33677826204,71251.3284772957,296381.10488186934,326200.3243472939,429982.4746722451,226354.94108012185,100114.8332029845,246303.37521134716,246303.37521134716,123570.23479457872,102975.19566214894,30892.55869864468,31356.95576822779,17559.89523020756,144560.19474233277,1288852.0326661197,36700.181031133805,569723.4415804134,646576.6973040241,296963.0855619926,1706196.391046631,201400.65909763583,365940.35210504656,2244644.4024012554,0.0,0.0,797548.3253236545,330162.4422732001,663217.6485928197,29434.890678691016,267137.21714025206,13976081.186385471,474159.8694936505,206972.74488376567,894099.9622301504,275917.648911793,127448.3746353835,191416.7795473069
1936,80975.80794008815,322590.3798686848,370887.4956944222,181347.06608033914,55521.212621868806,88010.49436055704,343554.1856054812,405814.02398337005,522572.5504533043,281022.3981792045,122730.54104173419,480683.97062192665,480683.97062192665,140016.04856747555,116680.0404728963,35004.01214186889,31437.72759744375,17605.127454568497,186038.70056994562,1032072.3399038039,36794.716380048165,897424.1245430248,566131.3787333143,257971.11793966332,1633599.438064269,0.0,457794.96358571143,2472759.4289701837,0.0,0.0,985644.6389947117,515992.1804158313,975932.1848663437,34768.321360114904,393296.8223083921,13758991.854803482,498504.61278643657,132071.37208477134,780471.748596218,221149.08216268578,127719.36283154579,152405.15195339356
1937,71049.53761536734,311111.5940960945,324160.9012092329,182921.97123424147,55625.92961694962,76030.84802936313,360938.6713367186,354411.6400891785,442305.80789620045,244664.9617268466,103136.57092065574,482303.44876783306,482303.44876783306,135671.13730229868,113059.2810852489,33917.78432557467,31923.089312863307,17876.930015203452,172825.87843968678,1063382.6028162711,37362.78373177522,899331.341280674,631862.3808192287,351995.67726041545,1636458.7088059606,0.0,429153.0578003109,2681936.570823112,0.0,0.0,1420298.3584200672,623320.8330467592,1041124.010520238,44461.93959365766,419514.5494790643,15079049.906462917,664155.1737922409,172462.03035065188,807397.3115589727,227877.7250973764,134196.55147749523,157049.403359783
1938,82355.8278869516,323315.0246976791,376990.1300585041,169054.0712204025,57347.56889875155,89304.50309297614,337226.6664565826,412443.71455587354,526048.1451665108,285481.7051642161,123552.12741412019,533251.8003424879,533251.8003424879,143841.17280371542,119867.6440030962,35960.293200928856,31095.145849367706,17413.281675645914,237630.34545985056,1465951.5725248232,36393.75870209996,899331.341280674,810391.4616925104,429605.47225443675,1529245.2786639528,0.0,560546.3180744927,3010207.0860501947,0.0,0.0,1410330.298868544,544899.5184424121,942317.4119261876,44276.37786794547,378298.2199336131,19630241.626402188,718036.3133881661,257236.0212856971,1058960.8999665265,312812.11140926706,157463.45550857577,218260.24112834778
1939,65407.07563653327,306329.23098504747,297946.99651180865,248692.85507286273,53824.62907908823,69548.87119107679,302348.16464386927,325648.3569374381,413538.1071481895,224523.23323716174,93538.27284890393,527092.6790913797,527092.6790913797,111604.91474128164,93004.0956177347,27901.22868532041,30880.407560632662,17293.02823395429,83215.67900530329,881228.479715887,36142.42900896447,55023.14545948467,622212.5611536977,311788.51869877067,1703680.9613974444,0.0,238636.45110630905,2239039.859974069,0.0,0.0,916524.3473566314,500352.375255025,1265008.6403787313,35412.974002586096,509831.7163541566,15753221.219635736,527594.4010862968,162146.15497752975,834074.9002908929,246221.29814994577,131834.91472216134,170016.82095327615
1940,81447.48410758538,323527.8628065468,373248.00784846133,170406.45341271086,57265.944353539315,88712.02403430804,341980.51495646697,408440.5244662308,527444.2032668112,282962.0303291692,123407.05712283606,299500.728666854,299500.728666854,137826.7813735949,114855.65114466242,34456.69534339872,31422.87430416312,17596.809610331347,196559.15729064285,969977.0525173263,36777.33208559252,842400.97908354,507058.4972329757,229420.75724791095,1640682.433600099,0.0,476694.7272366518,2393684.3328184527,0.0,0.0,890554.9528260463,465777.67426236667,886194.7852378001,31152.92831644983,357141.1981506135,12534370.10070913,444005.43506727286,123936.26876611041,701475.7280212095,207956.1614487634,115135.39473373839,143198.5500607924
1941,83926.78775547013,323477.4908404646,383502.5176784784,140364.29747645493,57346.31919273157,90367.39172566398,366509.4666255543,419420.2607713363,537856.5904683202,289900.6639912793,123667.3253387964,553835.9680986078,553835.9680986078,143841.17280371542,119867.6440030962,35960.293200928856,31962.014227919644,17898.727967635,221695.16487072024,1401000.5318804185,37408.341452357156,899331.3409861175,761164.3944465278,385491.90513891884,1513298.3784940045,0.0,529626.2829213608,2724793.084343277,0.0,0.0,1120594.1109112846,495154.01033274527,985550.7662782262,41391.90732577497,407021.62553809886,15687885.424210668,682338.8252287311,253718.57755563408,1006358.9178840312,299214.9767568595,147049.37976460884,208172.69527624687
1942,78419.02714658526,322714.77259809367,359610.353976841,154919.49444004902,57346.31919273157,90344.54139184493,350997.8496711863,393569.55586636346,527545.3964519716,272804.8851456537,122580.46798196604,573465.68696373,573465.68696373,143841.17280371542,119867.6440030962,35960.293200928856,32618.703094092096,18266.473732691575,235598.01565271345,1310269.06668723,38176.93010132539,899331.341280674,796796.2733819319,420735.52482804225,1506021.9352365534,0.0,556602.8605256949,2809854.8092950797,0.0,0.0,1469515.7584721344,848876.0531652248,1411468.92367371,59190.82637377709,568415.6965512084,15781270.796630582,869666.1220740797,208239.88932609177,1005681.2621283048,279493.7549209215,171807.5601729827,194823.71746250516
1943,83928.19175850309,323106.4602899063,383510.0623372205,182651.81981577407,57346.31919273157,90369.97500964881,366244.0919560077,419428.76391570346,537856.5904683202,289907.22612222546,123878.35139077136,573465.68696373,573465.68696373,143841.17280371542,119867.6440030962,35960.293200928856,32565.876423658498,18236.890797248758,223267.13472358178,1386786.761542144,38115.10176624991,899331.341280674,823090.0498719779,428603.7405337702,1506021.9352365534,0.0,532676.4751364845,2838057.58457378,0.0,0.0,1514548.9124433068,834060.4651179437,1404746.0026805997,58777.53780028714,564686.5871451108,16576225.659276111,869741.7572023385,220549.5238984676,1050565.2614756112,295950.80110650335,176176.44906647844,206547.3835394214
1944,65189.34501442972,305550.34528703557,296987.6846717147,180331.69176781736,53800.47507784355,69348.03633204268,317451.8692056874,324606.99863493064,414762.61308615655,223825.00271329886,93296.05250386163,526839.8295976501,526839.8295976501,113494.56354710736,94578.8029559228,28373.64088677684,32078.410658776433,17963.909968914802,119862.60253722327,638777.0329462631,37544.57183503194,782165.2010460481,492903.5174397811,293229.64429719094,1700967.0690621047,0.0,311051.36063841794,1986612.3223693627,0.0,0.0,1271867.6160125267,864582.6494570666,1322076.5934156487,52809.32909305858,527892.9239017834,11774303.224634137,743512.4667109028,91835.73989996046,567289.2134462298,136848.1769711364,119959.10577257772,94362.14369623153
1945,81022.12629407,324029.4008817115,371493.29537459725,174445.24096400692,55656.61684255114,88432.34316587113,348444.24216654536,406562.82351634366,522605.95535139495,281778.5397464171,123402.26936003243,274392.2005847315,274392.2005847315,137637.90546138876,114698.2545511573,34409.47636534719,31976.74257415718,17906.97584152802,179464.71694769152,1133393.9225108612,37425.57950879356,899331.341280674,628693.8622668311,315444.91888838937,1679100.9046997938,0.0,443394.7114457218,2490145.612063602,0.0,0.0,1063270.570115565,455198.76076728903,890697.4489327538,35787.39350706189,363547.1777269608,14865575.516329827,520879.1588841681,168714.40475382612,823681.5680573471,242867.64392708096,128964.26688035615,167678.34569228554
