,Type,Study Region,Contractor,Year,Value,k_labels,colors
0,Base Long-term Conservation (acre-feet),Central Valley - Sacramento Valley,City of Folsom,2025,1,0,#F63366
1,Base Long-term Conservation (acre-feet),Central Valley - Sacramento Valley,City of Redding,2025,1,0,#F63366
2,Base Long-term Conservation (acre-feet),Central Valley - Sacramento Valley,City of Roseville,2025,1,0,#F63366
3,Base Long-term Conservation (acre-feet),Central Valley - Sacramento Valley,City of West Sacramento,2025,1,0,#F63366
4,Base Long-term Conservation (acre-feet),Central Valley - Sacramento Valley,Yuba City,2025,1,0,#F63366
5,Base Long-term Conservation (acre-feet),Central Valley - Sacramento Valley,El Dorado Irrigation District,2025,1,0,#F63366
6,Base Long-term Conservation (acre-feet),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,2025,1,0,#F63366
7,Base Long-term Conservation (acre-feet),Central Valley - Sacramento Valley,Placer County Water Agency,2025,1,0,#F63366
8,Base Long-term Conservation (acre-feet),Central Valley - Sacramento Valley,Sacramento County Water Agency,2025,1,0,#F63366
9,Base Long-term Conservation (acre-feet),Central Valley - Sacramento Valley,San Juan Water District,2025,1,0,#F63366
10,Base Long-term Conservation (acre-feet),Central Valley - Sacramento Valley,Shasta Contractors,2025,1,0,#F63366
11,Base Long-term Conservation (acre-feet),Central Valley - Sacramento Valley,Solano County Water Agency,2025,1,0,#F63366
12,Base Long-term Conservation (acre-feet),Central Valley - San Joaquin Valley,City of Avenal,2025,1,0,#F63366
13,Base Long-term Conservation (acre-feet),Central Valley - San Joaquin Valley,City of Coalinga,2025,1,0,#F63366
14,Base Long-term Conservation (acre-feet),Central Valley - San Joaquin Valley,City of Fresno,2025,1,0,#F63366
15,Base Long-term Conservation (acre-feet),Central Valley - San Joaquin Valley,City of Huron,2025,1,0,#F63366
16,Base Long-term Conservation (acre-feet),Central Valley - San Joaquin Valley,City of Lindsay,2025,1,0,#F63366
17,Base Long-term Conservation (acre-feet),Central Valley - San Joaquin Valley,City of Orange Cove,2025,1,0,#F63366
18,Base Long-term Conservation (acre-feet),Central Valley - San Joaquin Valley,City of Tracy,2025,1,0,#F63366
19,Base Long-term Conservation (acre-feet),Central Valley - San Joaquin Valley,Kern County Water Agency,2025,1,0,#F63366
20,Base Long-term Conservation (acre-feet),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,2025,1,0,#F63366
21,Base Long-term Conservation (acre-feet),Central Valley - San Joaquin Valley,Stockton-East Water District,2025,1,0,#F63366
22,Base Long-term Conservation (acre-feet),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",2025,1,0,#F63366
23,Base Long-term Conservation (acre-feet),San Francisco Bay Area,Alameda County Water District,2025,1,0,#F63366
24,Base Long-term Conservation (acre-feet),San Francisco Bay Area,Contra Costa Water District,2025,1,0,#F63366
25,Base Long-term Conservation (acre-feet),San Francisco Bay Area,East Bay Municipal Utilities District,2025,1,0,#F63366
26,Base Long-term Conservation (acre-feet),San Francisco Bay Area,"San Benito County Water District, Zone 6",2025,1,0,#F63366
27,Base Long-term Conservation (acre-feet),San Francisco Bay Area,Santa Clara Valley Water District,2025,1,0,#F63366
28,Base Long-term Conservation (acre-feet),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,2025,1,0,#F63366
29,Base Long-term Conservation (acre-feet),Central Coast,Santa Barbara County Flood Control & Water Conservation District,2025,1,0,#F63366
30,Base Long-term Conservation (acre-feet),Southern California,Antelope Valley-East Kern Water Agency,2025,1,0,#F63366
31,Base Long-term Conservation (acre-feet),Southern California,Santa Clarita Water Division,2025,1,0,#F63366
32,Base Long-term Conservation (acre-feet),Southern California,Coachella Valley Water District,2025,1,0,#F63366
33,Base Long-term Conservation (acre-feet),Southern California,Crestline-Lake Arrowhead Water Agency,2025,1,0,#F63366
