,Type,Study Region,Contractor,Year,Value,k_labels,colors
0,Local Carryover,Central Valley - Sacramento Valley,City of Folsom,2025,1,7,#9FE2BF
1,Local Carryover,Central Valley - Sacramento Valley,City of Redding,2025,1,7,#9FE2BF
2,Local Carryover,Central Valley - Sacramento Valley,City of Roseville,2025,1,7,#9FE2BF
3,Local Carryover,Central Valley - Sacramento Valley,City of West Sacramento,2025,1,7,#9FE2BF
4,Local Carryover,Central Valley - Sacramento Valley,Yuba City,2025,1,7,#9FE2BF
5,Local Carryover,Central Valley - Sacramento Valley,El Dorado Irrigation District,2025,1,7,#9FE2BF
6,Local Carryover,Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,2025,1,7,#9FE2BF
7,Local Carryover,Central Valley - Sacramento Valley,Placer County Water Agency,2025,1,7,#9FE2BF
8,Local Carryover,Central Valley - Sacramento Valley,Sacramento County Water Agency,2025,1,7,#9FE2BF
9,Local Carryover,Central Valley - Sacramento Valley,San Juan Water District,2025,1,7,#9FE2BF
10,Local Carryover,Central Valley - Sacramento Valley,Shasta Contractors,2025,1,7,#9FE2BF
11,Local Carryover,Central Valley - Sacramento Valley,Solano County Water Agency,2025,1,7,#9FE2BF
12,Local Carryover,Central Valley - San Joaquin Valley,City of Avenal,2025,1,7,#9FE2BF
13,Local Carryover,Central Valley - San Joaquin Valley,City of Coalinga,2025,1,7,#9FE2BF
14,Local Carryover,Central Valley - San Joaquin Valley,City of Fresno,2025,1,7,#9FE2BF
15,Local Carryover,Central Valley - San Joaquin Valley,City of Huron,2025,1,7,#9FE2BF
16,Local Carryover,Central Valley - San Joaquin Valley,City of Lindsay,2025,1,7,#9FE2BF
17,Local Carryover,Central Valley - San Joaquin Valley,City of Orange Cove,2025,1,7,#9FE2BF
18,Local Carryover,Central Valley - San Joaquin Valley,City of Tracy,2025,1,7,#9FE2BF
19,Local Carryover,Central Valley - San Joaquin Valley,Kern County Water Agency,2025,1,7,#9FE2BF
20,Local Carryover,Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,2025,1,7,#9FE2BF
21,Local Carryover,Central Valley - San Joaquin Valley,Stockton-East Water District,2025,1,7,#9FE2BF
22,Local Carryover,San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",2025,1,7,#9FE2BF
23,Local Carryover,San Francisco Bay Area,Alameda County Water District,2025,1,7,#9FE2BF
24,Local Carryover,San Francisco Bay Area,Contra Costa Water District,2025,1,7,#9FE2BF
25,Local Carryover,San Francisco Bay Area,East Bay Municipal Utilities District,2025,1,7,#9FE2BF
26,Local Carryover,San Francisco Bay Area,"San Benito County Water District, Zone 6",2025,1,7,#9FE2BF
27,Local Carryover,San Francisco Bay Area,Santa Clara Valley Water District,2025,1,7,#9FE2BF
28,Local Carryover,Central Coast,San Luis Obispo County Flood Control & Water Conservation District,2025,1,7,#9FE2BF
29,Local Carryover,Central Coast,Santa Barbara County Flood Control & Water Conservation District,2025,1,7,#9FE2BF
30,Local Carryover,Southern California,Antelope Valley-East Kern Water Agency,2025,1,7,#9FE2BF
31,Local Carryover,Southern California,Santa Clarita Water Division,2025,1,7,#9FE2BF
32,Local Carryover,Southern California,Coachella Valley Water District,2025,1,7,#9FE2BF
33,Local Carryover,Southern California,Crestline-Lake Arrowhead Water Agency,2025,1,7,#9FE2BF
34,Local Carryover,Southern California,Desert Water Agency,2025,1,7,#9FE2BF
35,Local Carryover,Southern California,Metropolitan Water District of Southern California,2025,1,7,#9FE2BF
36,Local Carryover,Southern California,Mojave Water Agency,2025,1,7,#9FE2BF
37,Local Carryover,Southern California,Palmdale Water District & Littlerock Creek Irrigation District,2025,1,7,#9FE2BF
38,Local Carryover,Southern California,San Bernardino Valley Municipal Water District,2025,1,7,#9FE2BF
39,Local Carryover,Southern California,San Gabriel Valley Municipal Water District,2025,1,7,#9FE2BF
40,Local Carryover,Southern California,San Gorgonio Pass Water Agency,2025,1,7,#9FE2BF
41,Local Carryover,Southern California,Ventura County Watershed Protection District,2025,1,7,#9FE2BF
42,External Carryover,Central Valley - Sacramento Valley,City of Folsom,2025,1,8,#FFBF00
43,External Carryover,Central Valley - Sacramento Valley,City of Redding,2025,1,8,#FFBF00
44,External Carryover,Central Valley - Sacramento Valley,City of Roseville,2025,1,8,#FFBF00
45,External Carryover,Central Valley - Sacramento Valley,City of West Sacramento,2025,1,8,#FFBF00
46,External Carryover,Central Valley - Sacramento Valley,Yuba City,2025,1,8,#FFBF00
47,External Carryover,Central Valley - Sacramento Valley,El Dorado Irrigation District,2025,1,8,#FFBF00
48,External Carryover,Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,2025,1,8,#FFBF00
49,External Carryover,Central Valley - Sacramento Valley,Placer County Water Agency,2025,1,8,#FFBF00
50,External Carryover,Central Valley - Sacramento Valley,Sacramento County Water Agency,2025,1,8,#FFBF00
51,External Carryover,Central Valley - Sacramento Valley,San Juan Water District,2025,1,8,#FFBF00
52,External Carryover,Central Valley - Sacramento Valley,Shasta Contractors,2025,1,8,#FFBF00
53,External Carryover,Central Valley - Sacramento Valley,Solano County Water Agency,2025,1,8,#FFBF00
54,External Carryover,Central Valley - San Joaquin Valley,City of Avenal,2025,1,8,#FFBF00
55,External Carryover,Central Valley - San Joaquin Valley,City of Coalinga,2025,1,8,#FFBF00
56,External Carryover,Central Valley - San Joaquin Valley,City of Fresno,2025,1,8,#FFBF00
57,External Carryover,Central Valley - San Joaquin Valley,City of Huron,2025,1,8,#FFBF00
58,External Carryover,Central Valley - San Joaquin Valley,City of Lindsay,2025,1,8,#FFBF00
59,External Carryover,Central Valley - San Joaquin Valley,City of Orange Cove,2025,1,8,#FFBF00
60,External Carryover,Central Valley - San Joaquin Valley,City of Tracy,2025,1,8,#FFBF00
61,External Carryover,Central Valley - San Joaquin Valley,Kern County Water Agency,2025,1,8,#FFBF00
62,External Carryover,Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,2025,1,8,#FFBF00
63,External Carryover,Central Valley - San Joaquin Valley,Stockton-East Water District,2025,1,8,#FFBF00
64,External Carryover,San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",2025,1,8,#FFBF00
65,External Carryover,San Francisco Bay Area,Alameda County Water District,2025,1,8,#FFBF00
66,External Carryover,San Francisco Bay Area,Contra Costa Water District,2025,1,8,#FFBF00
67,External Carryover,San Francisco Bay Area,East Bay Municipal Utilities District,2025,1,8,#FFBF00
68,External Carryover,San Francisco Bay Area,"San Benito County Water District, Zone 6",2025,1,8,#FFBF00
69,External Carryover,San Francisco Bay Area,Santa Clara Valley Water District,2025,1,8,#FFBF00
70,External Carryover,Central Coast,San Luis Obispo County Flood Control & Water Conservation District,2025,1,8,#FFBF00
71,External Carryover,Central Coast,Santa Barbara County Flood Control & Water Conservation District,2025,1,8,#FFBF00
72,External Carryover,Southern California,Antelope Valley-East Kern Water Agency,2025,1,8,#FFBF00
73,External Carryover,Southern California,Santa Clarita Water Division,2025,1,8,#FFBF00
74,External Carryover,Southern California,Coachella Valley Water District,2025,1,8,#FFBF00
75,External Carryover,Southern California,Crestline-Lake Arrowhead Water Agency,2025,1,8,#FFBF00
76,External Carryover,Southern California,Desert Water Agency,2025,1,8,#FFBF00
77,External Carryover,Southern California,Metropolitan Water District of Southern California,2025,1,8,#FFBF00
78,External Carryover,Southern California,Mojave Water Agency,2025,1,8,#FFBF00
79,External Carryover,Southern California,Palmdale Water District & Littlerock Creek Irrigation District,2025,1,8,#FFBF00
80,External Carryover,Southern California,San Bernardino Valley Municipal Water District,2025,1,8,#FFBF00
81,External Carryover,Southern California,San Gabriel Valley Municipal Water District,2025,1,8,#FFBF00
82,External Carryover,Southern California,San Gorgonio Pass Water Agency,2025,1,8,#FFBF00
83,External Carryover,Southern California,Ventura County Watershed Protection District,2025,1,8,#FFBF00
84,Local Carryover,Central Valley - Sacramento Valley,City of Folsom,2030,1,7,#9FE2BF
85,Local Carryover,Central Valley - Sacramento Valley,City of Redding,2030,1,7,#9FE2BF
86,Local Carryover,Central Valley - Sacramento Valley,City of Roseville,2030,1,7,#9FE2BF
87,Local Carryover,Central Valley - Sacramento Valley,City of West Sacramento,2030,1,7,#9FE2BF
88,Local Carryover,Central Valley - Sacramento Valley,Yuba City,2030,1,7,#9FE2BF
89,Local Carryover,Central Valley - Sacramento Valley,El Dorado Irrigation District,2030,1,7,#9FE2BF
90,Local Carryover,Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,2030,1,7,#9FE2BF
91,Local Carryover,Central Valley - Sacramento Valley,Placer County Water Agency,2030,1,7,#9FE2BF
92,Local Carryover,Central Valley - Sacramento Valley,Sacramento County Water Agency,2030,1,7,#9FE2BF
93,Local Carryover,Central Valley - Sacramento Valley,San Juan Water District,2030,1,7,#9FE2BF
94,Local Carryover,Central Valley - Sacramento Valley,Shasta Contractors,2030,1,7,#9FE2BF
95,Local Carryover,Central Valley - Sacramento Valley,Solano County Water Agency,2030,1,7,#9FE2BF
96,Local Carryover,Central Valley - San Joaquin Valley,City of Avenal,2030,1,7,#9FE2BF
97,Local Carryover,Central Valley - San Joaquin Valley,City of Coalinga,2030,1,7,#9FE2BF
98,Local Carryover,Central Valley - San Joaquin Valley,City of Fresno,2030,1,7,#9FE2BF
99,Local Carryover,Central Valley - San Joaquin Valley,City of Huron,2030,1,7,#9FE2BF
100,Local Carryover,Central Valley - San Joaquin Valley,City of Lindsay,2030,1,7,#9FE2BF
101,Local Carryover,Central Valley - San Joaquin Valley,City of Orange Cove,2030,1,7,#9FE2BF
102,Local Carryover,Central Valley - San Joaquin Valley,City of Tracy,2030,1,7,#9FE2BF
103,Local Carryover,Central Valley - San Joaquin Valley,Kern County Water Agency,2030,1,7,#9FE2BF
104,Local Carryover,Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,2030,1,7,#9FE2BF
105,Local Carryover,Central Valley - San Joaquin Valley,Stockton-East Water District,2030,1,7,#9FE2BF
106,Local Carryover,San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",2030,1,7,#9FE2BF
107,Local Carryover,San Francisco Bay Area,Alameda County Water District,2030,1,7,#9FE2BF
108,Local Carryover,San Francisco Bay Area,Contra Costa Water District,2030,1,7,#9FE2BF
109,Local Carryover,San Francisco Bay Area,East Bay Municipal Utilities District,2030,1,7,#9FE2BF
110,Local Carryover,San Francisco Bay Area,"San Benito County Water District, Zone 6",2030,1,7,#9FE2BF
111,Local Carryover,San Francisco Bay Area,Santa Clara Valley Water District,2030,1,7,#9FE2BF
112,Local Carryover,Central Coast,San Luis Obispo County Flood Control & Water Conservation District,2030,1,7,#9FE2BF
113,Local Carryover,Central Coast,Santa Barbara County Flood Control & Water Conservation District,2030,1,7,#9FE2BF
114,Local Carryover,Southern California,Antelope Valley-East Kern Water Agency,2030,1,7,#9FE2BF
115,Local Carryover,Southern California,Santa Clarita Water Division,2030,1,7,#9FE2BF
116,Local Carryover,Southern California,Coachella Valley Water District,2030,1,7,#9FE2BF
