,k_labels,Study Region,colors
0,0,Surface,#F63366
1,1,Groundwater,#2BB1BB
2,2,Desalination,#22466B
3,3,Stormwater Capture,#FF7F50
4,4,Contractual Transfers,#DFFF00
5,5,Recycling,#6495ED
6,6,Potable Reuse,#CCCCFF
7,7,Local Carryover,#9FE2BF
8,8,External Carryover,#FFBF00
9,9,SWP (Table A & Article 21),#808000
10,10,CVP (Article 215),#008000
11,11,Other Imported (Colorado and/or LA Aqueduct),#0000FF
12,12,Reuse from Applied Exterior Urban Water,#000080
13,13,Reuse from percolation from septic tanks,#00FF00
14,14,Inter-agency transfers (urban to urban),#800000
15,15,Ag to Urban,#C0C0C0
