,Type,Study Region,Contractor,Year,Value,k_labels,colors
0,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),Central Valley - Sacramento Valley,City of Folsom,2025,5,4,#DFFF00
1,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),Central Valley - Sacramento Valley,City of Redding,2025,5,4,#DFFF00
2,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),Central Valley - Sacramento Valley,City of Roseville,2025,5,4,#DFFF00
3,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),Central Valley - Sacramento Valley,City of West Sacramento,2025,5,4,#DFFF00
4,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),Central Valley - Sacramento Valley,Yuba City,2025,5,4,#DFFF00
5,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),Central Valley - Sacramento Valley,El Dorado Irrigation District,2025,5,4,#DFFF00
6,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,2025,5,4,#DFFF00
7,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),Central Valley - Sacramento Valley,Placer County Water Agency,2025,5,4,#DFFF00
8,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),Central Valley - Sacramento Valley,Sacramento County Water Agency,2025,5,4,#DFFF00
9,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),Central Valley - Sacramento Valley,San Juan Water District,2025,5,4,#DFFF00
10,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),Central Valley - Sacramento Valley,Shasta Contractors,2025,5,4,#DFFF00
11,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),Central Valley - Sacramento Valley,Solano County Water Agency,2025,5,4,#DFFF00
12,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),Central Valley - San Joaquin Valley,City of Avenal,2025,5,4,#DFFF00
13,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),Central Valley - San Joaquin Valley,City of Coalinga,2025,5,4,#DFFF00
14,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),Central Valley - San Joaquin Valley,City of Fresno,2025,5,4,#DFFF00
15,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),Central Valley - San Joaquin Valley,City of Huron,2025,5,4,#DFFF00
16,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),Central Valley - San Joaquin Valley,City of Lindsay,2025,5,4,#DFFF00
17,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),Central Valley - San Joaquin Valley,City of Orange Cove,2025,5,4,#DFFF00
18,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),Central Valley - San Joaquin Valley,City of Tracy,2025,5,4,#DFFF00
19,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),Central Valley - San Joaquin Valley,Kern County Water Agency,2025,5,4,#DFFF00
20,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,2025,5,4,#DFFF00
21,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),Central Valley - San Joaquin Valley,Stockton-East Water District,2025,5,4,#DFFF00
22,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",2025,5,4,#DFFF00
23,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),San Francisco Bay Area,Alameda County Water District,2025,5,4,#DFFF00
24,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),San Francisco Bay Area,Contra Costa Water District,2025,5,4,#DFFF00
25,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),San Francisco Bay Area,East Bay Municipal Utilities District,2025,5,4,#DFFF00
26,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),San Francisco Bay Area,"San Benito County Water District, Zone 6",2025,5,4,#DFFF00
27,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),San Francisco Bay Area,Santa Clara Valley Water District,2025,5,4,#DFFF00
28,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,2025,5,4,#DFFF00
29,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),Central Coast,Santa Barbara County Flood Control & Water Conservation District,2025,5,4,#DFFF00
30,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),Southern California,Antelope Valley-East Kern Water Agency,2025,5,4,#DFFF00
31,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),Southern California,Santa Clarita Water Division,2025,5,4,#DFFF00
32,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),Southern California,Coachella Valley Water District,2025,5,4,#DFFF00
33,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),Southern California,Crestline-Lake Arrowhead Water Agency,2025,5,4,#DFFF00
34,Use reduction with contingency conservation campaign (% of total applied use <double check if it is total applied or net use>),Southern California,Desert Water Agency,2025,5,4,#DFFF00
