Variable,Contractor,2025,2030,2035,2040,2045,Notes
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),Butte County,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),City of Folsom,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),City of Redding,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),City of Roseville,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),City of West Sacramento,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),Yuba City,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),El Dorado Irrigation District,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),Napa County Flood Control & Water Conservation District,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),Placer County Water Agency,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),Sacramento County Water Agency,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),San Juan Water District,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),Shasta Contractors,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),Solano County Water Agency,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),City of Avenal,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),City of Coalinga,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),City of Fresno,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),City of Huron,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),City of Lindsay,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),City of Orange Cove,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),City of Tracy,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),Kern County Water Agency Improvement District No 4,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),Other Friant-Kern M&I Contractors,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),Stockton-East Water District,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),"Alameda County Flood Control and Water Conservation District, Zone 7",10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),Alameda County Water District,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),Contra Costa Water District,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),East Bay Municipal Utilities District,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),"San Benito County Water District, Zone 6",10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),Santa Clara Valley Water District,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),San Luis Obispo County Flood Control & Water Conservation District,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),Santa Barbara County Flood Control & Water Conservation District,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),Antelope Valley-East Kern Water Agency,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),Santa Clarita Valley Water Agency,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),Coachella Valley Water District,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),Crestline-Lake Arrowhead Water Agency,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),Desert Water Agency,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),Metropolitan Water District of Southern California,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),Mojave Water Agency,30,30,30,30,30,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),Palmdale Water District & Littlerock Creek Irrigation District,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),San Bernardino Valley Municipal Water District,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),San Gabriel Valley Municipal Water District,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),San Gorgonio Pass Water Agency,10,10,10,10,10,
Use Reduction with Contingency Conservation Campaign (% of Total Applied Use),Ventura County Watershed Protection District,10,10,10,10,10,
Contingency Conservation Publicity Campaign Cost ($/capita),Butte County,0.26,0.26,0.26,0.26,0.26,
Contingency Conservation Publicity Campaign Cost ($/capita),City of Folsom,0.26,0.26,0.26,0.26,0.26,
Contingency Conservation Publicity Campaign Cost ($/capita),City of Redding,0.26,0.26,0.26,0.26,0.26,
Contingency Conservation Publicity Campaign Cost ($/capita),City of Roseville,0.26,0.26,0.26,0.26,0.26,
Contingency Conservation Publicity Campaign Cost ($/capita),City of West Sacramento,0.26,0.26,0.26,0.26,0.26,
Contingency Conservation Publicity Campaign Cost ($/capita),Yuba City,0.26,0.26,0.26,0.26,0.26,
Contingency Conservation Publicity Campaign Cost ($/capita),El Dorado Irrigation District,0.26,0.26,0.26,0.26,0.26,
Contingency Conservation Publicity Campaign Cost ($/capita),Napa County Flood Control & Water Conservation District,0.26,0.26,0.26,0.26,0.26,
Contingency Conservation Publicity Campaign Cost ($/capita),Placer County Water Agency,0.26,0.26,0.26,0.26,0.26,
Contingency Conservation Publicity Campaign Cost ($/capita),Sacramento County Water Agency,0.26,0.26,0.26,0.26,0.26,
Contingency Conservation Publicity Campaign Cost ($/capita),San Juan Water District,0.26,0.26,0.26,0.26,0.26,
Contingency Conservation Publicity Campaign Cost ($/capita),Shasta Contractors,0.26,0.26,0.26,0.26,0.26,
Contingency Conservation Publicity Campaign Cost ($/capita),Solano County Water Agency,0.26,0.26,0.26,0.26,0.26,
Contingency Conservation Publicity Campaign Cost ($/capita),City of Avenal,0.26,0.26,0.26,0.26,0.26,
Contingency Conservation Publicity Campaign Cost ($/capita),City of Coalinga,0.26,0.26,0.26,0.26,0.26,
Contingency Conservation Publicity Campaign Cost ($/capita),City of Fresno,0.26,0.26,0.26,0.26,0.26,
Contingency Conservation Publicity Campaign Cost ($/capita),City of Huron,0.26,0.26,0.26,0.26,0.26,
Contingency Conservation Publicity Campaign Cost ($/capita),City of Lindsay,0.26,0.26,0.26,0.26,0.26,
