Variable,Contractor,Cut Ratio,Landscape,Notes
Single Family,Butte County,1,1.6,
Single Family,City of Folsom,1,1.6,
Single Family,City of Redding,1,1.6,
Single Family,City of Roseville,1,1.6,
Single Family,City of West Sacramento,1,1.6,
Single Family,Yuba City,1,1.6,
Single Family,El Dorado Irrigation District,1,1.6,
Single Family,Napa County Flood Control & Water Conservation District,1,1.6,
Single Family,Placer County Water Agency,1,1.6,
Single Family,Sacramento County Water Agency,1,1.6,
Single Family,San Juan Water District,1,1.6,
Single Family,Shasta Contractors,1,1.6,
Single Family,Solano County Water Agency,1,1.6,
Single Family,City of Avenal,1,1.6,
Single Family,City of Coalinga,1,1.6,
Single Family,City of Fresno,1,1.6,
Single Family,City of Huron,1,1.6,
Single Family,City of Lindsay,1,1.6,
Single Family,City of Orange Cove,1,1.6,
Single Family,City of Tracy,1,1.6,
Single Family,Kern County Water Agency Improvement District No 4,1,1.6,
Single Family,Other Friant-Kern M&I Contractors,1,1.6,
Single Family,Stockton-East Water District,1,1.6,
Single Family,"Alameda County Flood Control and Water Conservation District, Zone 7",1,1.6,
Single Family,Alameda County Water District,1,1.6,
Single Family,Contra Costa Water District,1,1.6,
Single Family,East Bay Municipal Utilities District,1,1.6,
Single Family,"San Benito County Water District, Zone 6",1,1.6,
Single Family,Santa Clara Valley Water District,1,1.6,
Single Family,San Luis Obispo County Flood Control & Water Conservation District,1,1.6,
Single Family,Santa Barbara County Flood Control & Water Conservation District,1,1.6,
Single Family,Antelope Valley-East Kern Water Agency,1,1.6,
Single Family,Santa Clarita Water Division,1,1.6,
Single Family,Coachella Valley Water District,1,1.6,
Single Family,Crestline-Lake Arrowhead Water Agency,1,1.6,
Single Family,Desert Water Agency,1,1.6,
Single Family,Metropolitan Water District of Southern California,1,1.6,
Single Family,Mojave Water Agency,1,1.6,
Single Family,Palmdale Water District & Littlerock Creek Irrigation District,1,1.6,
Single Family,San Bernardino Valley Municipal Water District,1,1.6,
Single Family,San Gabriel Valley Municipal Water District,1,1.6,
Single Family,San Gorgonio Pass Water Agency,1,1.6,
Single Family,Ventura County Watershed Protection District,1,1.6,
Multi-Family,Butte County,0.6,,
Multi-Family,City of Folsom,0.6,,
Multi-Family,City of Redding,0.6,,
Multi-Family,City of Roseville,0.6,,
Multi-Family,City of West Sacramento,0.6,,
Multi-Family,Yuba City,0.6,,
Multi-Family,El Dorado Irrigation District,0.6,,
Multi-Family,Napa County Flood Control & Water Conservation District,0.6,,
Multi-Family,Placer County Water Agency,0.6,,
Multi-Family,Sacramento County Water Agency,0.6,,
Multi-Family,San Juan Water District,0.6,,
Multi-Family,Shasta Contractors,0.6,,
Multi-Family,Solano County Water Agency,0.6,,
Multi-Family,City of Avenal,0.6,,
Multi-Family,City of Coalinga,0.6,,
Multi-Family,City of Fresno,0.6,,
Multi-Family,City of Huron,0.6,,
Multi-Family,City of Lindsay,0.6,,
Multi-Family,City of Orange Cove,0.6,,
Multi-Family,City of Tracy,0.6,,
Multi-Family,Kern County Water Agency Improvement District No 4,0.6,,
Multi-Family,Other Friant-Kern M&I Contractors,0.6,,
Multi-Family,Stockton-East Water District,0.6,,
Multi-Family,"Alameda County Flood Control and Water Conservation District, Zone 7",0.6,,
Multi-Family,Alameda County Water District,0.6,,
Multi-Family,Contra Costa Water District,0.6,,
