Variable,Contractor,Value,Notes
Elasticity of Demand Single Family Residential,Butte County,-0.2,
Elasticity of Demand Single Family Residential,City of Folsom,-0.2,
Elasticity of Demand Single Family Residential,City of Redding,-0.2,
Elasticity of Demand Single Family Residential,City of Roseville,-0.2,
Elasticity of Demand Single Family Residential,City of West Sacramento,-0.2,
Elasticity of Demand Single Family Residential,Yuba City,-0.2,
Elasticity of Demand Single Family Residential,El Dorado Irrigation District,-0.2,
Elasticity of Demand Single Family Residential,Napa County Flood Control & Water Conservation District,-0.2,
Elasticity of Demand Single Family Residential,Placer County Water Agency,-0.2,
Elasticity of Demand Single Family Residential,Sacramento County Water Agency,-0.2,
Elasticity of Demand Single Family Residential,San Juan Water District,-0.2,
Elasticity of Demand Single Family Residential,Shasta Contractors,-0.2,
Elasticity of Demand Single Family Residential,Solano County Water Agency,-0.2,
Elasticity of Demand Single Family Residential,City of Avenal,-0.2,
Elasticity of Demand Single Family Residential,City of Coalinga,-0.2,
Elasticity of Demand Single Family Residential,City of Fresno,-0.2,
Elasticity of Demand Single Family Residential,City of Huron,-0.2,
Elasticity of Demand Single Family Residential,City of Lindsay,-0.2,
Elasticity of Demand Single Family Residential,City of Orange Cove,-0.2,
Elasticity of Demand Single Family Residential,City of Tracy,-0.2,
Elasticity of Demand Single Family Residential,Kern County Water Agency Improvement District No 4,-0.2,
Elasticity of Demand Single Family Residential,Other Friant-Kern M&I Contractors,-0.2,
Elasticity of Demand Single Family Residential,Stockton-East Water District,-0.2,
Elasticity of Demand Single Family Residential,"Alameda County Flood Control and Water Conservation District, Zone 7",-0.2,
Elasticity of Demand Single Family Residential,Alameda County Water District,-0.2,
Elasticity of Demand Single Family Residential,Contra Costa Water District,-0.2,
Elasticity of Demand Single Family Residential,East Bay Municipal Utilities District,-0.2,
Elasticity of Demand Single Family Residential,"San Benito County Water District, Zone 6",-0.2,
Elasticity of Demand Single Family Residential,Santa Clara Valley Water District,-0.2,
Elasticity of Demand Single Family Residential,San Luis Obispo County Flood Control & Water Conservation District,-0.2,
Elasticity of Demand Single Family Residential,Santa Barbara County Flood Control & Water Conservation District,-0.2,
Elasticity of Demand Single Family Residential,Antelope Valley-East Kern Water Agency,-0.2,
Elasticity of Demand Single Family Residential,Santa Clarita Water Division,-0.2,
Elasticity of Demand Single Family Residential,Coachella Valley Water District,-0.2,
Elasticity of Demand Single Family Residential,Crestline-Lake Arrowhead Water Agency,-0.2,
Elasticity of Demand Single Family Residential,Desert Water Agency,-0.2,
Elasticity of Demand Single Family Residential,Metropolitan Water District of Southern California,-0.2,
Elasticity of Demand Single Family Residential,Mojave Water Agency,-0.2,
Elasticity of Demand Single Family Residential,Palmdale Water District & Littlerock Creek Irrigation District,-0.2,
Elasticity of Demand Single Family Residential,San Bernardino Valley Municipal Water District,-0.2,
Elasticity of Demand Single Family Residential,San Gabriel Valley Municipal Water District,-0.2,
Elasticity of Demand Single Family Residential,San Gorgonio Pass Water Agency,-0.2,
Elasticity of Demand Single Family Residential,Ventura County Watershed Protection District,-0.2,
Elasticity of Demand Multi-Family Residential,Butte County,-0.12,
Elasticity of Demand Multi-Family Residential,City of Folsom,-0.12,
Elasticity of Demand Multi-Family Residential,City of Redding,-0.12,
Elasticity of Demand Multi-Family Residential,City of Roseville,-0.12,
Elasticity of Demand Multi-Family Residential,City of West Sacramento,-0.12,
Elasticity of Demand Multi-Family Residential,Yuba City,-0.12,
Elasticity of Demand Multi-Family Residential,El Dorado Irrigation District,-0.12,
Elasticity of Demand Multi-Family Residential,Napa County Flood Control & Water Conservation District,-0.12,
Elasticity of Demand Multi-Family Residential,Placer County Water Agency,-0.12,
Elasticity of Demand Multi-Family Residential,Sacramento County Water Agency,-0.12,
Elasticity of Demand Multi-Family Residential,San Juan Water District,-0.12,
Elasticity of Demand Multi-Family Residential,Shasta Contractors,-0.12,
