Variable,Contractor,2025,2030,2035,2040,2045,Notes
Storage Volume Trigger for Rationing Programs (AF),Butte County,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),City of Folsom,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),City of Redding,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),City of Roseville,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),City of West Sacramento,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),Yuba City,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),El Dorado Irrigation District,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),Napa County Flood Control & Water Conservation District,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),Placer County Water Agency,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),Sacramento County Water Agency,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),San Juan Water District,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),Shasta Contractors,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),Solano County Water Agency,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),City of Avenal,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),City of Coalinga,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),City of Fresno,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),City of Huron,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),City of Lindsay,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),City of Orange Cove,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),City of Tracy,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),Kern County Water Agency Improvement District No 4,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),Other Friant-Kern M&I Contractors,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),Stockton-East Water District,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),"Alameda County Flood Control and Water Conservation District, Zone 7",0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),Alameda County Water District,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),Contra Costa Water District,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),East Bay Municipal Utilities District,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),"San Benito County Water District, Zone 6",0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),Santa Clara Valley Water District,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),San Luis Obispo County Flood Control & Water Conservation District,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),Santa Barbara County Flood Control & Water Conservation District,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),Antelope Valley-East Kern Water Agency,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),Santa Clarita Water Division,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),Coachella Valley Water District,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),Crestline-Lake Arrowhead Water Agency,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),Desert Water Agency,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),Metropolitan Water District of Southern California,1000000,1000000,1000000,1000000,1000000,
Storage Volume Trigger for Rationing Programs (AF),Mojave Water Agency,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),Palmdale Water District & Littlerock Creek Irrigation District,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),San Bernardino Valley Municipal Water District,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),San Gabriel Valley Municipal Water District,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),San Gorgonio Pass Water Agency,0,0,0,0,0,
Storage Volume Trigger for Rationing Programs (AF),Ventura County Watershed Protection District,0,0,0,0,0,
Cost for Rationing Program ($/capita),Butte County,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),City of Folsom,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),City of Redding,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),City of Roseville,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),City of West Sacramento,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),Yuba City,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),El Dorado Irrigation District,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),Napa County Flood Control & Water Conservation District,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),Placer County Water Agency,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),Sacramento County Water Agency,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),San Juan Water District,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),Shasta Contractors,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),Solano County Water Agency,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),City of Avenal,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),City of Coalinga,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),City of Fresno,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),City of Huron,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),City of Lindsay,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),City of Orange Cove,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),City of Tracy,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),Kern County Water Agency Improvement District No 4,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),Other Friant-Kern M&I Contractors,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),Stockton-East Water District,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),"Alameda County Flood Control and Water Conservation District, Zone 7",0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),Alameda County Water District,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),Contra Costa Water District,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),East Bay Municipal Utilities District,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),"San Benito County Water District, Zone 6",0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),Santa Clara Valley Water District,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),San Luis Obispo County Flood Control & Water Conservation District,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),Santa Barbara County Flood Control & Water Conservation District,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),Antelope Valley-East Kern Water Agency,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),Santa Clarita Water Division,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),Coachella Valley Water District,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),Crestline-Lake Arrowhead Water Agency,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),Desert Water Agency,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),Metropolitan Water District of Southern California,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),Mojave Water Agency,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),Palmdale Water District & Littlerock Creek Irrigation District,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),San Bernardino Valley Municipal Water District,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),San Gabriel Valley Municipal Water District,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),San Gorgonio Pass Water Agency,0.5,0.5,0.5,0.5,0.5,
Cost for Rationing Program ($/capita),Ventura County Watershed Protection District,0.5,0.5,0.5,0.5,0.5,
Demand Hardening Factor (%),Butte County,50,50,50,50,50,
Demand Hardening Factor (%),City of Folsom,50,50,50,50,50,
Demand Hardening Factor (%),City of Redding,50,50,50,50,50,
Demand Hardening Factor (%),City of Roseville,50,50,50,50,50,
Demand Hardening Factor (%),City of West Sacramento,50,50,50,50,50,
Demand Hardening Factor (%),Yuba City,50,50,50,50,50,
Demand Hardening Factor (%),El Dorado Irrigation District,50,50,50,50,50,
Demand Hardening Factor (%),Napa County Flood Control & Water Conservation District,50,50,50,50,50,
Demand Hardening Factor (%),Placer County Water Agency,50,50,50,50,50,
Demand Hardening Factor (%),Sacramento County Water Agency,50,50,50,50,50,
Demand Hardening Factor (%),San Juan Water District,50,50,50,50,50,
Demand Hardening Factor (%),Shasta Contractors,50,50,50,50,50,
Demand Hardening Factor (%),Solano County Water Agency,50,50,50,50,50,
Demand Hardening Factor (%),City of Avenal,50,50,50,50,50,
Demand Hardening Factor (%),City of Coalinga,50,50,50,50,50,
Demand Hardening Factor (%),City of Fresno,50,50,50,50,50,
Demand Hardening Factor (%),City of Huron,50,50,50,50,50,
Demand Hardening Factor (%),City of Lindsay,50,50,50,50,50,
Demand Hardening Factor (%),City of Orange Cove,50,50,50,50,50,
Demand Hardening Factor (%),City of Tracy,50,50,50,50,50,
Demand Hardening Factor (%),Kern County Water Agency Improvement District No 4,50,50,50,50,50,
Demand Hardening Factor (%),Other Friant-Kern M&I Contractors,50,50,50,50,50,
Demand Hardening Factor (%),Stockton-East Water District,50,50,50,50,50,
Demand Hardening Factor (%),"Alameda County Flood Control and Water Conservation District, Zone 7",50,50,50,50,50,
Demand Hardening Factor (%),Alameda County Water District,50,50,50,50,50,
Demand Hardening Factor (%),Contra Costa Water District,50,50,50,50,50,
Demand Hardening Factor (%),East Bay Municipal Utilities District,50,50,50,50,50,
Demand Hardening Factor (%),"San Benito County Water District, Zone 6",50,50,50,50,50,
Demand Hardening Factor (%),Santa Clara Valley Water District,50,50,50,50,50,
Demand Hardening Factor (%),San Luis Obispo County Flood Control & Water Conservation District,50,50,50,50,50,
Demand Hardening Factor (%),Santa Barbara County Flood Control & Water Conservation District,50,50,50,50,50,
Demand Hardening Factor (%),Antelope Valley-East Kern Water Agency,50,50,50,50,50,
Demand Hardening Factor (%),Santa Clarita Water Division,50,50,50,50,50,
Demand Hardening Factor (%),Coachella Valley Water District,50,50,50,50,50,
Demand Hardening Factor (%),Crestline-Lake Arrowhead Water Agency,50,50,50,50,50,
Demand Hardening Factor (%),Desert Water Agency,50,50,50,50,50,
