Demands,Study Region,Contractor,2025,2030,2035,2040,2045,Notes
Normal or Better Demands (ac-ft),Central Valley - Sacramento Valley,City of Folsom,1,28527,1,1,1,
Normal or Better Demands (ac-ft),Central Valley - Sacramento Valley,City of Redding,1,24241,1,1,1,
Normal or Better Demands (ac-ft),Central Valley - Sacramento Valley,City of Roseville,1,51333,1,1,1,
Normal or Better Demands (ac-ft),Central Valley - Sacramento Valley,City of West Sacramento,1,19397,1,1,1,
Normal or Better Demands (ac-ft),Central Valley - Sacramento Valley,Yuba City,1,24177,1,1,1,
Normal or Better Demands (ac-ft),Central Valley - Sacramento Valley,El Dorado Irrigation District,1,50697,1,1,1,
Normal or Better Demands (ac-ft),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,1,21400,1,1,1,
Normal or Better Demands (ac-ft),Central Valley - Sacramento Valley,Placer County Water Agency,1,154954,1,1,1,
Normal or Better Demands (ac-ft),Central Valley - Sacramento Valley,Sacramento County Water Agency,1,63288,1,1,1,
Normal or Better Demands (ac-ft),Central Valley - Sacramento Valley,San Juan Water District,1,70314,1,1,1,
Normal or Better Demands (ac-ft),Central Valley - Sacramento Valley,Shasta Contractors,1,10942,1,1,1,
Normal or Better Demands (ac-ft),Central Valley - Sacramento Valley,Solano County Water Agency,1,229293,1,1,1,
Normal or Better Demands (ac-ft),Central Valley - San Joaquin Valley,City of Avenal,1,3500,1,1,1,
Normal or Better Demands (ac-ft),Central Valley - San Joaquin Valley,City of Coalinga,1,10000,1,1,1,
Normal or Better Demands (ac-ft),Central Valley - San Joaquin Valley,City of Fresno,1,274100,1,1,1,
Normal or Better Demands (ac-ft),Central Valley - San Joaquin Valley,City of Huron,1,3000,1,1,1,
Normal or Better Demands (ac-ft),Central Valley - San Joaquin Valley,City of Lindsay,1,2689,1,1,1,
Normal or Better Demands (ac-ft),Central Valley - San Joaquin Valley,City of Orange Cove,1,2790,1,1,1,
Normal or Better Demands (ac-ft),Central Valley - San Joaquin Valley,City of Tracy,1,26750,1,1,1,
Normal or Better Demands (ac-ft),Central Valley - San Joaquin Valley,Kern County Water Agency,1,64075,1,1,1,
Normal or Better Demands (ac-ft),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,1,6000,1,1,1,
Normal or Better Demands (ac-ft),Central Valley - San Joaquin Valley,Stockton-East Water District,1,73257,1,1,1,
Normal or Better Demands (ac-ft),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",1,75500,1,1,1,
Normal or Better Demands (ac-ft),San Francisco Bay Area,Alameda County Water District,1,71800,1,1,1,
Normal or Better Demands (ac-ft),San Francisco Bay Area,Contra Costa Water District,1,215471,1,1,1,
Normal or Better Demands (ac-ft),San Francisco Bay Area,East Bay Municipal Utilities District,1,248000,1,1,1,
Normal or Better Demands (ac-ft),San Francisco Bay Area,"San Benito County Water District, Zone 6",1,6425,1,1,1,
Normal or Better Demands (ac-ft),San Francisco Bay Area,Santa Clara Valley Water District,1,409370,1,1,1,
Normal or Better Demands (ac-ft),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,1,8730,1,1,1,
Normal or Better Demands (ac-ft),Central Coast,Santa Barbara County Flood Control & Water Conservation District,1,76464,1,1,1,
Normal or Better Demands (ac-ft),Southern California,Antelope Valley-East Kern Water Agency,1,85940,1,1,1,
Normal or Better Demands (ac-ft),Southern California,Santa Clarita Water Division,1,105313,1,1,1,
Normal or Better Demands (ac-ft),Southern California,Coachella Valley Water District,1,188500,1,1,1,
