,Contractor,Study Region,Hydro. Region,Type,SWP or CVP,Key Info
0,City of Folsom,Central Valley - Sacramento Valley,Sacramento River,Retail,CVP,
1,City of Redding,Central Valley - Sacramento Valley,Sacramento River,Retail,CVP,
2,City of Roseville,Central Valley - Sacramento Valley,Sacramento River,Retail,CVP,
3,City of West Sacramento,Central Valley - Sacramento Valley,Sacramento River,Retail,CVP,
4,Yuba City,Central Valley - Sacramento Valley,Sacramento River,Retail,SWP,
5,El Dorado Irrigation District,Central Valley - Sacramento Valley,Sacramento River & San Joaquin River,Retail,CVP,Water user does not have conveyance.
6,Napa County Flood Control & Water Conservation District,Central Valley - Sacramento Valley,Sacramento River & San Francisco Bay,Wholesale,SWP,
7,Placer County Water Agency,Central Valley - Sacramento Valley,Sacramento River,Wholesale,CVP,
8,Sacramento County Water Agency,Central Valley - Sacramento Valley,Sacramento River,Retail,CVP,
9,San Juan Water District,Central Valley - Sacramento Valley,Sacramento River,Wholesale,CVP,
10,Shasta Contractors,Central Valley - Sacramento Valley,Sacramento River,Retail,CVP,"Includes Shasta Lake, City of, Shasta County Water Agency, Centerville Community Services District, Mountain Gate Community Services District, and Shasta Community Services District. Need to reconcile Shasta County Water Agency location, not in shapefile"
11,Solano County Water Agency,Central Valley - Sacramento Valley,Sacramento River & San Francisco Bay,Wholesale,SWP,
12,City of Avenal,Central Valley - San Joaquin Valley,Tulare Lake,Retail,CVP,
13,City of Coalinga,Central Valley - San Joaquin Valley,Tulare Lake,Retail,CVP,
14,City of Fresno,Central Valley - San Joaquin Valley,Tulare Lake,Retail,CVP,
15,City of Huron,Central Valley - San Joaquin Valley,Tulare Lake,Retail,CVP,
16,City of Lindsay,Central Valley - San Joaquin Valley,Tulare Lake,Retail,CVP,
17,City of Orange Cove,Central Valley - San Joaquin Valley,Tulare Lake,Retail,CVP,
18,City of Tracy,Central Valley - San Joaquin Valley,San Joaquin River,Retail,CVP,
19,Kern County Water Agency,Central Valley - San Joaquin Valley,Tulare Lake,Retail,SWP,
20,Other Friant-Kern M&I Contractors,Central Valley - San Joaquin Valley,Tulare Lake,Wholesale,CVP,"Includes Arvin-Edison Water Storage District, Delano-Earlimart Irrigation District, and Lindsay-Strathmore Irrigation District"
21,Stockton-East Water District,Central Valley - San Joaquin Valley,San Joaquin River,Wholesale,CVP,
22,"Alameda County Flood Control and Water Conservation District, Zone 7",San Francisco Bay Area,San Francisco Bay and San Joaquin River,Wholesale,SWP,
23,Alameda County Water District,San Francisco Bay Area,San Francisco Bay,Retail,SWP,
24,Contra Costa Water District,San Francisco Bay Area,San Francisco Bay and San Joaquin River,Retail and Wholesale,CVP,
25,East Bay Municipal Utilities District,San Francisco Bay Area,San Francisco Bay,Retail and Wholesale,CVP,
26,"San Benito County Water District, Zone 6",San Francisco Bay Area,Central Coast,Wholesale,CVP,
27,Santa Clara Valley Water District,San Francisco Bay Area,San Francisco Bay and Central Coast,Wholesale,SWP and CVP,
28,San Luis Obispo County Flood Control & Water Conservation District,Central Coast,Central Coast and Tulare Lake,Wholesale,SWP,
29,Santa Barbara County Flood Control & Water Conservation District,Central Coast,Central Coast,Retail,SWP,
30,Antelope Valley-East Kern Water Agency,Southern California,South Lahontan and South Coast,Wholesale,SWP,
31,Santa Clarita Water Division,Southern California,South Coast,,SWP,
32,Coachella Valley Water District,Southern California,Colorado River,Retail,SWP,
33,Crestline-Lake Arrowhead Water Agency,Southern California,South Lahontan and South Coast,Retail,SWP,
34,Desert Water Agency,Southern California,Colorado River and South Coast,Retail,SWP,
35,Metropolitan Water District of Southern California,Southern California,South Coast,Wholesale,SWP,
36,Mojave Water Agency,Southern California,South Lahontan and Colorado River,Wholesale,SWP,
37,Palmdale Water District & Littlerock Creek Irrigation District,Southern California,South Lahontan,Retail,SWP,
38,San Bernardino Valley Municipal Water District,Southern California,South Coast,Retail,SWP,
39,San Gabriel Valley Municipal Water District,Southern California,South Coast,Wholesale,SWP,SWP water is solely for regional groundwater recharge.
40,San Gorgonio Pass Water Agency,Southern California,South Coast and Colorado River,Wholesale,SWP,
41,Ventura County Watershed Protection District,Southern California,"South Coast, Central Coast and Tulare Lake",Wholesale,SWP,
