Study Region,Contractor,Contractor Type,CVP or SWP Contractor,Contractor Details,Contractor Name in 2020 UWMP Data,Calsim II Delivery Arc,Calsim 3 Delivery Arc
Central Valley - Sacramento Valley,Butte County,Retail and wholesale,SWP,,NA,D201_PMI,11_NU1 + 12_NU1
Central Valley - Sacramento Valley,City of Folsom,Retail,CVP,,Folsom  City Of,D8B_PMI,DG_26S_PU1 - 4/31*D_FOLSM_WTPFOL_WR
Central Valley - Sacramento Valley,City of Redding,Retail,CVP,,Redding  City Of,D104_PSC*0.13779 + D104_PMI*0.5,D_02_SU + DG_03_PU3 + DG_03_SU
Central Valley - Sacramento Valley,City of Roseville,Retail,CVP,,Roseville  City Of,D8G_PMI,DG_26N_PU1
Central Valley - Sacramento Valley,City of West Sacramento,Retail,CVP,,West Sacramento  City Of,D165_PSC,DG_21_PU
Central Valley - Sacramento Valley,Yuba City,Retail,SWP,,Yuba City,D204_PMI,DG_16_PU
Central Valley - Sacramento Valley,El Dorado Irrigation District,Retail,CVP,Water user does not have conveyance.,El Dorado Irrigation District,D8F_PMI,DG_ELDID_NU3
Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,Wholesale,SWP,,NA,"D403B_PMI + D403B_PCO + 
D403B_PIN",D_BKR004_NBA009_NAPA
Central Valley - Sacramento Valley,Placer County Water Agency,Retail and wholesale,CVP,,Placer County Water Agency,D8H_PMI,DG_24_NU1 + DG_24_NU2
Central Valley - Sacramento Valley,Sacramento County Water Agency,Retail and wholesale,CVP,,Sacramento County Water Agency,D168C_FRWP_PMI+D167B_PMI,DG_26S_PU6 + 26S_NU2 + DG_26S_PU4
Central Valley - Sacramento Valley,San Juan Water District,Retail and wholesale,CVP,,San Juan Water District,D8E_PMI,DG_26N_PU2 + DG_26N_PU3
Central Valley - Sacramento Valley,Shasta Contractors,Retail,CVP,"Includes Shasta Lake, City of, Shasta County Water Agency, Centerville Community Services District, Mountain Gate Community Services District, and Shasta Community Services District. Shasta County Water Agency location, not in shapefile.",Shasta Lake  City Of,D104_PMI*0.5 + D104_PMI*0.35,0.34*DG_02_PU + 0.84*DG_03_PU1
Central Valley - Sacramento Valley,Solano County Water Agency,Wholesale,SWP,,,D403C_PMI + D403C_PCO,D_BKR004_NBA009_SCWA
