,Contractor,Study Region,Hydro. Region,Type,SWP or CVP
0,City of Folsom,Central Valley - Sacramento Valley,Sacramento,Retail,CVP
1,City of Redding,Central Valley - Sacramento Valley,Sacramento,Retail,CVP
2,City of Roseville,Central Valley - Sacramento Valley,Sacramento,Retail,CVP
3,City of West Sacramento,Central Valley - Sacramento Valley,Sacramento,Retail,CVP
4,Yuba City,Central Valley - Sacramento Valley,Sacramento,Retail,SWP
5,El Dorado Irrigation District,Central Valley - Sacramento Valley,Sacramento,Retail,CVP
6,Placer County Water Agency,Central Valley - Sacramento Valley,Sacramento,Wholesale,CVP
7,Sacramento County Water Agency,Central Valley - Sacramento Valley,Sacramento,Retail,CVP
8,San Juan Water District,Central Valley - Sacramento Valley,Sacramento,Wholesale,CVP
9,City of Coalinga,Central Valley - San Joaquin Valley,San Joaquin,Retail,CVP
10,City of Fresno,Central Valley - San Joaquin Valley,San Joaquin,Retail,CVP
11,City of Tracy,Central Valley - San Joaquin Valley,San Joaquin,Retail,CVP
12,Stockton-East Water District,Central Valley - San Joaquin Valley,San Joaquin,Wholesale,CVP
13,"Alameda County Flood Control and Water Conservation District, Zone 7",San Francisco Bay Area,Sacramento,Wholesale,SWP
14,Alameda County Water District,San Francisco Bay Area,Sacramento,Retail,SWP
15,Contra Costa Water District,San Francisco Bay Area,Sacramento,Retail and Wholesale,CVP
16,East Bay Municipal Utilities District,San Francisco Bay Area,Sacramento,Retail and Wholesale,CVP
17,"San Benito County Water District, Zone 6",San Francisco Bay Area,Sacramento,Wholesale,CVP
18,Santa Clara Valley Water District,San Francisco Bay Area,Sacramento,Wholesale,SWP and CVP
19,San Luis Obispo County Flood Control & Water Conservation District,Central Coast,San Joaquin,Wholesale,SWP
20,Antelope Valley-East Kern Water Agency,Southern California,San Joaquin,Wholesale,SWP
21,Santa Clarita Water Division,Southern California,San Joaquin,Wholesale,SWP
22,Metropolitan Water District of Southern California,Southern California,San Joaquin,Wholesale,SWP
23,Mojave Water Agency,Southern California,San Joaquin,Wholesale,SWP
24,Palmdale Water District & Littlerock Creek Irrigation District,Southern California,San Joaquin,Retail,SWP
25,San Bernardino Valley Municipal Water District,Southern California,San Joaquin,Retail,SWP
26,San Gorgonio Pass Water Agency,Southern California,San Joaquin,Wholesale,SWP
