,Contractor,Study Region,Hydro. Region,Type,SWP or CVP,Key Info
0,Butte County,Central Valley - Sacramento Valley,Sacramento,Retail and wholesale,SWP,
1,City of Folsom,Central Valley - Sacramento Valley,Sacramento,Retail,CVP,
2,City of Redding,Central Valley - Sacramento Valley,Sacramento,Retail,CVP,
3,City of Roseville,Central Valley - Sacramento Valley,Sacramento,Retail,CVP,
4,City of West Sacramento,Central Valley - Sacramento Valley,Sacramento,Retail,CVP,
5,Yuba City,Central Valley - Sacramento Valley,Sacramento,Retail,SWP,
6,El Dorado Irrigation District,Central Valley - Sacramento Valley,Sacramento,Retail,CVP,Water user does not have conveyance.
7,Napa County Flood Control & Water Conservation District,Central Valley - Sacramento Valley,Sacramento,Wholesale,SWP,
8,Placer County Water Agency,Central Valley - Sacramento Valley,Sacramento,Wholesale,CVP,
9,Sacramento County Water Agency,Central Valley - Sacramento Valley,Sacramento,Retail,CVP,
10,San Juan Water District,Central Valley - Sacramento Valley,Sacramento,Wholesale,CVP,
11,Shasta Contractors,Central Valley - Sacramento Valley,Sacramento,Retail,CVP,"Includes Shasta Lake, City of, Shasta County Water Agency, Centerville Community Services District, Mountain Gate Community Services District, and Shasta Community Services District. Need to reconcile Shasta County Water Agency location, not in shapefile"
12,Solano County Water Agency,Central Valley - Sacramento Valley,Sacramento,Wholesale,SWP,
13,City of Avenal,Central Valley - San Joaquin Valley,San Joaquin,Retail,CVP,
14,City of Coalinga,Central Valley - San Joaquin Valley,San Joaquin,Retail,CVP,
15,City of Fresno,Central Valley - San Joaquin Valley,San Joaquin,Retail,CVP,
16,City of Huron,Central Valley - San Joaquin Valley,San Joaquin,Retail,CVP,
17,City of Lindsay,Central Valley - San Joaquin Valley,San Joaquin,Retail,CVP,
18,City of Orange Cove,Central Valley - San Joaquin Valley,San Joaquin,Retail,CVP,
19,City of Tracy,Central Valley - San Joaquin Valley,San Joaquin,Retail,CVP,
20,Kern County Water Agency Improvement District No 4,Central Valley - San Joaquin Valley,San Joaquin,Retail,SWP,
21,Other Friant-Kern M&I Contractors,Central Valley - San Joaquin Valley,San Joaquin,Wholesale,CVP,"Includes Arvin-Edison Water Storage District, Delano-Earlimart Irrigation District, and Lindsay-Strathmore Irrigation District"
22,Stockton-East Water District,Central Valley - San Joaquin Valley,San Joaquin,Wholesale,CVP,
23,"Alameda County Flood Control and Water Conservation District, Zone 7",San Francisco Bay Area,Sacramento,Wholesale,SWP,
24,Alameda County Water District,San Francisco Bay Area,Sacramento,Retail,SWP,
25,Contra Costa Water District,San Francisco Bay Area,Sacramento,Retail and Wholesale,CVP,
26,East Bay Municipal Utilities District,San Francisco Bay Area,Sacramento,Retail and Wholesale,CVP,
27,"San Benito County Water District, Zone 6",San Francisco Bay Area,Sacramento,Wholesale,CVP,
28,Santa Clara Valley Water District,San Francisco Bay Area,Sacramento,Wholesale,SWP and CVP,
29,San Luis Obispo County Flood Control & Water Conservation District,Central Coast,San Joaquin,Wholesale,SWP,
30,Santa Barbara County Flood Control & Water Conservation District,Central Coast,San Joaquin,Retail,SWP,
31,Antelope Valley-East Kern Water Agency,Southern California,San Joaquin,Wholesale,SWP,
32,Santa Clarita Water Division,Southern California,San Joaquin,,SWP,
33,Coachella Valley Water District,Southern California,San Joaquin,Retail,SWP,
34,Crestline-Lake Arrowhead Water Agency,Southern California,San Joaquin,Retail,SWP,
35,Desert Water Agency,Southern California,San Joaquin,Retail,SWP,
36,Metropolitan Water District of Southern California,Southern California,San Joaquin,Wholesale,SWP,
37,Mojave Water Agency,Southern California,San Joaquin,Wholesale,SWP,
38,Palmdale Water District & Littlerock Creek Irrigation District,Southern California,San Joaquin,Retail,SWP,
39,San Bernardino Valley Municipal Water District,Southern California,San Joaquin,Retail,SWP,
40,San Gabriel Valley Municipal Water District,Southern California,San Joaquin,Wholesale,SWP,SWP water is solely for regional groundwater recharge.
41,San Gorgonio Pass Water Agency,Southern California,San Joaquin,Wholesale,SWP,
42,Ventura County Watershed Protection District,Southern California,San Joaquin,Wholesale,SWP,
