,Type,Study Region,Contractor,Year,Value,k_labels,colors,Rank
0,Surface,Central Valley - Sacramento Valley,City of Folsom,2025,1,0,#F63366,463
1,Surface,Central Valley - Sacramento Valley,City of Redding,2025,1,0,#F63366,463
2,Surface,Central Valley - Sacramento Valley,City of Roseville,2025,1,0,#F63366,463
3,Surface,Central Valley - Sacramento Valley,City of West Sacramento,2025,1,0,#F63366,463
4,Surface,Central Valley - Sacramento Valley,Yuba City,2025,1,0,#F63366,463
5,Surface,Central Valley - Sacramento Valley,El Dorado Irrigation District,2025,1,0,#F63366,463
6,Surface,Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,2025,1,0,#F63366,463
7,Surface,Central Valley - Sacramento Valley,Placer County Water Agency,2025,1,0,#F63366,463
8,Surface,Central Valley - Sacramento Valley,Sacramento County Water Agency,2025,1,0,#F63366,463
9,Surface,Central Valley - Sacramento Valley,San Juan Water District,2025,1,0,#F63366,463
10,Surface,Central Valley - Sacramento Valley,Shasta Contractors,2025,1,0,#F63366,463
11,Surface,Central Valley - Sacramento Valley,Solano County Water Agency,2025,1,0,#F63366,463
12,Surface,Central Valley - San Joaquin Valley,City of Avenal,2025,1,0,#F63366,463
13,Surface,Central Valley - San Joaquin Valley,City of Coalinga,2025,1,0,#F63366,463
14,Surface,Central Valley - San Joaquin Valley,City of Fresno,2025,1,0,#F63366,463
15,Surface,Central Valley - San Joaquin Valley,City of Huron,2025,1,0,#F63366,463
16,Surface,Central Valley - San Joaquin Valley,City of Lindsay,2025,1,0,#F63366,463
17,Surface,Central Valley - San Joaquin Valley,City of Orange Cove,2025,1,0,#F63366,463
18,Surface,Central Valley - San Joaquin Valley,City of Tracy,2025,1,0,#F63366,463
19,Surface,Central Valley - San Joaquin Valley,Kern County Water Agency,2025,1,0,#F63366,463
20,Surface,Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,2025,1,0,#F63366,463
21,Surface,Central Valley - San Joaquin Valley,Stockton-East Water District,2025,1,0,#F63366,463
22,Surface,San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",2025,1,0,#F63366,463
