,Type,Study Region,Contractor,Year,Value,k_labels,colors
0,Single-Family Residential Use (acre-feet),Central Valley - Sacramento Valley,City of Folsom,2025,1,3,#FF7F50
1,Single-Family Residential Use (acre-feet),Central Valley - Sacramento Valley,City of Redding,2025,1,3,#FF7F50
2,Single-Family Residential Use (acre-feet),Central Valley - Sacramento Valley,City of Roseville,2025,1,3,#FF7F50
3,Single-Family Residential Use (acre-feet),Central Valley - Sacramento Valley,City of West Sacramento,2025,1,3,#FF7F50
4,Single-Family Residential Use (acre-feet),Central Valley - Sacramento Valley,Yuba City,2025,1,3,#FF7F50
5,Single-Family Residential Use (acre-feet),Central Valley - Sacramento Valley,El Dorado Irrigation District,2025,1,3,#FF7F50
6,Single-Family Residential Use (acre-feet),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,2025,1,3,#FF7F50
7,Single-Family Residential Use (acre-feet),Central Valley - Sacramento Valley,Placer County Water Agency,2025,1,3,#FF7F50
8,Single-Family Residential Use (acre-feet),Central Valley - Sacramento Valley,Sacramento County Water Agency,2025,1,3,#FF7F50
9,Single-Family Residential Use (acre-feet),Central Valley - Sacramento Valley,San Juan Water District,2025,1,3,#FF7F50
10,Single-Family Residential Use (acre-feet),Central Valley - Sacramento Valley,Shasta Contractors,2025,1,3,#FF7F50
11,Single-Family Residential Use (acre-feet),Central Valley - Sacramento Valley,Solano County Water Agency,2025,1,3,#FF7F50
12,Single-Family Residential Use (acre-feet),Central Valley - San Joaquin Valley,City of Avenal,2025,1,3,#FF7F50
13,Single-Family Residential Use (acre-feet),Central Valley - San Joaquin Valley,City of Coalinga,2025,1,3,#FF7F50
14,Single-Family Residential Use (acre-feet),Central Valley - San Joaquin Valley,City of Fresno,2025,1,3,#FF7F50
15,Single-Family Residential Use (acre-feet),Central Valley - San Joaquin Valley,City of Huron,2025,1,3,#FF7F50
16,Single-Family Residential Use (acre-feet),Central Valley - San Joaquin Valley,City of Lindsay,2025,1,3,#FF7F50
17,Single-Family Residential Use (acre-feet),Central Valley - San Joaquin Valley,City of Orange Cove,2025,1,3,#FF7F50
18,Single-Family Residential Use (acre-feet),Central Valley - San Joaquin Valley,City of Tracy,2025,1,3,#FF7F50
19,Single-Family Residential Use (acre-feet),Central Valley - San Joaquin Valley,Kern County Water Agency,2025,1,3,#FF7F50
20,Single-Family Residential Use (acre-feet),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,2025,1,3,#FF7F50
21,Single-Family Residential Use (acre-feet),Central Valley - San Joaquin Valley,Stockton-East Water District,2025,1,3,#FF7F50
22,Single-Family Residential Use (acre-feet),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",2025,1,3,#FF7F50
23,Single-Family Residential Use (acre-feet),San Francisco Bay Area,Alameda County Water District,2025,1,3,#FF7F50
24,Single-Family Residential Use (acre-feet),San Francisco Bay Area,Contra Costa Water District,2025,1,3,#FF7F50
25,Single-Family Residential Use (acre-feet),San Francisco Bay Area,East Bay Municipal Utilities District,2025,1,3,#FF7F50
26,Single-Family Residential Use (acre-feet),San Francisco Bay Area,"San Benito County Water District, Zone 6",2025,1,3,#FF7F50
27,Single-Family Residential Use (acre-feet),San Francisco Bay Area,Santa Clara Valley Water District,2025,1,3,#FF7F50
28,Single-Family Residential Use (acre-feet),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,2025,1,3,#FF7F50
29,Single-Family Residential Use (acre-feet),Central Coast,Santa Barbara County Flood Control & Water Conservation District,2025,1,3,#FF7F50
30,Single-Family Residential Use (acre-feet),Southern California,Antelope Valley-East Kern Water Agency,2025,1,3,#FF7F50
31,Single-Family Residential Use (acre-feet),Southern California,Santa Clarita Water Division,2025,1,3,#FF7F50
32,Single-Family Residential Use (acre-feet),Southern California,Coachella Valley Water District,2025,1,3,#FF7F50
33,Single-Family Residential Use (acre-feet),Southern California,Crestline-Lake Arrowhead Water Agency,2025,1,3,#FF7F50
34,Single-Family Residential Use (acre-feet),Southern California,Desert Water Agency,2025,1,3,#FF7F50
35,Single-Family Residential Use (acre-feet),Southern California,Metropolitan Water District of Southern California,2025,1,3,#FF7F50
36,Single-Family Residential Use (acre-feet),Southern California,Mojave Water Agency,2025,1,3,#FF7F50
37,Single-Family Residential Use (acre-feet),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,2025,1,3,#FF7F50
38,Single-Family Residential Use (acre-feet),Southern California,San Bernardino Valley Municipal Water District,2025,1,3,#FF7F50
39,Single-Family Residential Use (acre-feet),Southern California,San Gabriel Valley Municipal Water District,2025,1,3,#FF7F50
40,Single-Family Residential Use (acre-feet),Southern California,San Gorgonio Pass Water Agency,2025,1,3,#FF7F50
41,Single-Family Residential Use (acre-feet),Southern California,Ventura County Watershed Protection District,2025,1,3,#FF7F50
42,Multi-Family Residential Use (acre-feet),Central Valley - Sacramento Valley,City of Folsom,2025,1,4,#DFFF00
43,Multi-Family Residential Use (acre-feet),Central Valley - Sacramento Valley,City of Redding,2025,1,4,#DFFF00
44,Multi-Family Residential Use (acre-feet),Central Valley - Sacramento Valley,City of Roseville,2025,1,4,#DFFF00
45,Multi-Family Residential Use (acre-feet),Central Valley - Sacramento Valley,City of West Sacramento,2025,1,4,#DFFF00
46,Multi-Family Residential Use (acre-feet),Central Valley - Sacramento Valley,Yuba City,2025,1,4,#DFFF00
47,Multi-Family Residential Use (acre-feet),Central Valley - Sacramento Valley,El Dorado Irrigation District,2025,1,4,#DFFF00
48,Multi-Family Residential Use (acre-feet),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,2025,1,4,#DFFF00
49,Multi-Family Residential Use (acre-feet),Central Valley - Sacramento Valley,Placer County Water Agency,2025,1,4,#DFFF00
50,Multi-Family Residential Use (acre-feet),Central Valley - Sacramento Valley,Sacramento County Water Agency,2025,1,4,#DFFF00
51,Multi-Family Residential Use (acre-feet),Central Valley - Sacramento Valley,San Juan Water District,2025,1,4,#DFFF00
52,Multi-Family Residential Use (acre-feet),Central Valley - Sacramento Valley,Shasta Contractors,2025,1,4,#DFFF00
53,Multi-Family Residential Use (acre-feet),Central Valley - Sacramento Valley,Solano County Water Agency,2025,1,4,#DFFF00
54,Multi-Family Residential Use (acre-feet),Central Valley - San Joaquin Valley,City of Avenal,2025,1,4,#DFFF00
55,Multi-Family Residential Use (acre-feet),Central Valley - San Joaquin Valley,City of Coalinga,2025,1,4,#DFFF00
56,Multi-Family Residential Use (acre-feet),Central Valley - San Joaquin Valley,City of Fresno,2025,1,4,#DFFF00
57,Multi-Family Residential Use (acre-feet),Central Valley - San Joaquin Valley,City of Huron,2025,1,4,#DFFF00
58,Multi-Family Residential Use (acre-feet),Central Valley - San Joaquin Valley,City of Lindsay,2025,1,4,#DFFF00
59,Multi-Family Residential Use (acre-feet),Central Valley - San Joaquin Valley,City of Orange Cove,2025,1,4,#DFFF00
60,Multi-Family Residential Use (acre-feet),Central Valley - San Joaquin Valley,City of Tracy,2025,1,4,#DFFF00
61,Multi-Family Residential Use (acre-feet),Central Valley - San Joaquin Valley,Kern County Water Agency,2025,1,4,#DFFF00
62,Multi-Family Residential Use (acre-feet),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,2025,1,4,#DFFF00
63,Multi-Family Residential Use (acre-feet),Central Valley - San Joaquin Valley,Stockton-East Water District,2025,1,4,#DFFF00
64,Multi-Family Residential Use (acre-feet),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",2025,1,4,#DFFF00
65,Multi-Family Residential Use (acre-feet),San Francisco Bay Area,Alameda County Water District,2025,1,4,#DFFF00
66,Multi-Family Residential Use (acre-feet),San Francisco Bay Area,Contra Costa Water District,2025,1,4,#DFFF00
67,Multi-Family Residential Use (acre-feet),San Francisco Bay Area,East Bay Municipal Utilities District,2025,1,4,#DFFF00
68,Multi-Family Residential Use (acre-feet),San Francisco Bay Area,"San Benito County Water District, Zone 6",2025,1,4,#DFFF00
69,Multi-Family Residential Use (acre-feet),San Francisco Bay Area,Santa Clara Valley Water District,2025,1,4,#DFFF00
70,Multi-Family Residential Use (acre-feet),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,2025,1,4,#DFFF00
71,Multi-Family Residential Use (acre-feet),Central Coast,Santa Barbara County Flood Control & Water Conservation District,2025,1,4,#DFFF00
72,Multi-Family Residential Use (acre-feet),Southern California,Antelope Valley-East Kern Water Agency,2025,1,4,#DFFF00
73,Multi-Family Residential Use (acre-feet),Southern California,Santa Clarita Water Division,2025,1,4,#DFFF00
74,Multi-Family Residential Use (acre-feet),Southern California,Coachella Valley Water District,2025,1,4,#DFFF00
75,Multi-Family Residential Use (acre-feet),Southern California,Crestline-Lake Arrowhead Water Agency,2025,1,4,#DFFF00
76,Multi-Family Residential Use (acre-feet),Southern California,Desert Water Agency,2025,1,4,#DFFF00
77,Multi-Family Residential Use (acre-feet),Southern California,Metropolitan Water District of Southern California,2025,1,4,#DFFF00
78,Multi-Family Residential Use (acre-feet),Southern California,Mojave Water Agency,2025,1,4,#DFFF00
79,Multi-Family Residential Use (acre-feet),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,2025,1,4,#DFFF00
80,Multi-Family Residential Use (acre-feet),Southern California,San Bernardino Valley Municipal Water District,2025,1,4,#DFFF00
81,Multi-Family Residential Use (acre-feet),Southern California,San Gabriel Valley Municipal Water District,2025,1,4,#DFFF00
82,Multi-Family Residential Use (acre-feet),Southern California,San Gorgonio Pass Water Agency,2025,1,4,#DFFF00
83,Multi-Family Residential Use (acre-feet),Southern California,Ventura County Watershed Protection District,2025,1,4,#DFFF00
84,Industrial Use (acre-feet),Central Valley - Sacramento Valley,City of Folsom,2025,1,5,#6495ED
85,Industrial Use (acre-feet),Central Valley - Sacramento Valley,City of Redding,2025,1,5,#6495ED
86,Industrial Use (acre-feet),Central Valley - Sacramento Valley,City of Roseville,2025,1,5,#6495ED
87,Industrial Use (acre-feet),Central Valley - Sacramento Valley,City of West Sacramento,2025,1,5,#6495ED
88,Industrial Use (acre-feet),Central Valley - Sacramento Valley,Yuba City,2025,1,5,#6495ED
89,Industrial Use (acre-feet),Central Valley - Sacramento Valley,El Dorado Irrigation District,2025,1,5,#6495ED
90,Industrial Use (acre-feet),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,2025,1,5,#6495ED
91,Industrial Use (acre-feet),Central Valley - Sacramento Valley,Placer County Water Agency,2025,1,5,#6495ED
92,Industrial Use (acre-feet),Central Valley - Sacramento Valley,Sacramento County Water Agency,2025,1,5,#6495ED
93,Industrial Use (acre-feet),Central Valley - Sacramento Valley,San Juan Water District,2025,1,5,#6495ED
94,Industrial Use (acre-feet),Central Valley - Sacramento Valley,Shasta Contractors,2025,1,5,#6495ED
95,Industrial Use (acre-feet),Central Valley - Sacramento Valley,Solano County Water Agency,2025,1,5,#6495ED
96,Industrial Use (acre-feet),Central Valley - San Joaquin Valley,City of Avenal,2025,1,5,#6495ED
97,Industrial Use (acre-feet),Central Valley - San Joaquin Valley,City of Coalinga,2025,1,5,#6495ED
98,Industrial Use (acre-feet),Central Valley - San Joaquin Valley,City of Fresno,2025,1,5,#6495ED
99,Industrial Use (acre-feet),Central Valley - San Joaquin Valley,City of Huron,2025,1,5,#6495ED
100,Industrial Use (acre-feet),Central Valley - San Joaquin Valley,City of Lindsay,2025,1,5,#6495ED
101,Industrial Use (acre-feet),Central Valley - San Joaquin Valley,City of Orange Cove,2025,1,5,#6495ED
102,Industrial Use (acre-feet),Central Valley - San Joaquin Valley,City of Tracy,2025,1,5,#6495ED
103,Industrial Use (acre-feet),Central Valley - San Joaquin Valley,Kern County Water Agency,2025,1,5,#6495ED
104,Industrial Use (acre-feet),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,2025,1,5,#6495ED
105,Industrial Use (acre-feet),Central Valley - San Joaquin Valley,Stockton-East Water District,2025,1,5,#6495ED
106,Industrial Use (acre-feet),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",2025,1,5,#6495ED
107,Industrial Use (acre-feet),San Francisco Bay Area,Alameda County Water District,2025,1,5,#6495ED
108,Industrial Use (acre-feet),San Francisco Bay Area,Contra Costa Water District,2025,1,5,#6495ED
109,Industrial Use (acre-feet),San Francisco Bay Area,East Bay Municipal Utilities District,2025,1,5,#6495ED
110,Industrial Use (acre-feet),San Francisco Bay Area,"San Benito County Water District, Zone 6",2025,1,5,#6495ED
111,Industrial Use (acre-feet),San Francisco Bay Area,Santa Clara Valley Water District,2025,1,5,#6495ED
112,Industrial Use (acre-feet),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,2025,1,5,#6495ED
113,Industrial Use (acre-feet),Central Coast,Santa Barbara County Flood Control & Water Conservation District,2025,1,5,#6495ED
114,Industrial Use (acre-feet),Southern California,Antelope Valley-East Kern Water Agency,2025,1,5,#6495ED
115,Industrial Use (acre-feet),Southern California,Santa Clarita Water Division,2025,1,5,#6495ED
116,Industrial Use (acre-feet),Southern California,Coachella Valley Water District,2025,1,5,#6495ED
117,Industrial Use (acre-feet),Southern California,Crestline-Lake Arrowhead Water Agency,2025,1,5,#6495ED
118,Industrial Use (acre-feet),Southern California,Desert Water Agency,2025,1,5,#6495ED
119,Industrial Use (acre-feet),Southern California,Metropolitan Water District of Southern California,2025,1,5,#6495ED
120,Industrial Use (acre-feet),Southern California,Mojave Water Agency,2025,1,5,#6495ED
121,Industrial Use (acre-feet),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,2025,1,5,#6495ED
122,Industrial Use (acre-feet),Southern California,San Bernardino Valley Municipal Water District,2025,1,5,#6495ED
123,Industrial Use (acre-feet),Southern California,San Gabriel Valley Municipal Water District,2025,1,5,#6495ED
124,Industrial Use (acre-feet),Southern California,San Gorgonio Pass Water Agency,2025,1,5,#6495ED
125,Industrial Use (acre-feet),Southern California,Ventura County Watershed Protection District,2025,1,5,#6495ED
126,Commercial and Governmental Use (acre-feet),Central Valley - Sacramento Valley,City of Folsom,2025,1,6,#CCCCFF
127,Commercial and Governmental Use (acre-feet),Central Valley - Sacramento Valley,City of Redding,2025,1,6,#CCCCFF
128,Commercial and Governmental Use (acre-feet),Central Valley - Sacramento Valley,City of Roseville,2025,1,6,#CCCCFF
129,Commercial and Governmental Use (acre-feet),Central Valley - Sacramento Valley,City of West Sacramento,2025,1,6,#CCCCFF
130,Commercial and Governmental Use (acre-feet),Central Valley - Sacramento Valley,Yuba City,2025,1,6,#CCCCFF
