Supply,Study Region,Contractor,2025,2030,2035,2040,2045,Notes,Supply Type
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,City of Folsom,4,4,4,4,4,,Contractual Transfers
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,City of Redding,4,4,4,4,4,,Contractual Transfers
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,City of Roseville,4,4,4,4,4,,Contractual Transfers
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,City of West Sacramento,4,4,4,4,4,,Contractual Transfers
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,Yuba City,4,4,4,4,4,,Contractual Transfers
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,El Dorado Irrigation District,4,4,4,4,4,,Contractual Transfers
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,4,4,4,4,4,,Contractual Transfers
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,Placer County Water Agency,4,4,4,4,4,,Contractual Transfers
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,Sacramento County Water Agency,4,4,4,4,4,,Contractual Transfers
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,San Juan Water District,4,4,4,4,4,,Contractual Transfers
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,Shasta Contractors,4,4,4,4,4,,Contractual Transfers
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,Solano County Water Agency,4,4,4,4,4,,Contractual Transfers
Normal or Better Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Avenal,4,4,4,4,4,,Contractual Transfers
Normal or Better Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Coalinga,4,4,4,4,4,,Contractual Transfers
Normal or Better Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Fresno,4,4,4,4,4,,Contractual Transfers
Normal or Better Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Huron,4,4,4,4,4,,Contractual Transfers
Normal or Better Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Lindsay,4,4,4,4,4,,Contractual Transfers
Normal or Better Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Orange Cove,4,4,4,4,4,,Contractual Transfers
Normal or Better Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Tracy,4,4,4,4,4,,Contractual Transfers
Normal or Better Year (acre-feet/year),Central Valley - San Joaquin Valley,Kern County Water Agency,4,4,4,4,4,,Contractual Transfers
Normal or Better Year (acre-feet/year),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,4,4,4,4,4,,Contractual Transfers
Normal or Better Year (acre-feet/year),Central Valley - San Joaquin Valley,Stockton-East Water District,4,4,4,4,4,,Contractual Transfers
Normal or Better Year (acre-feet/year),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",4,4,4,4,4,,Contractual Transfers
Normal or Better Year (acre-feet/year),San Francisco Bay Area,Alameda County Water District,4,4,4,4,4,,Contractual Transfers
Normal or Better Year (acre-feet/year),San Francisco Bay Area,Contra Costa Water District,4,4,4,4,4,,Contractual Transfers
