Year,Butte County,City of Folsom,City of Redding,City of Roseville,City of West Sacramento,Yuba City,El Dorado Irrigation District,Napa County Flood Control & Water Conservation District,Placer County Water Agency,Sacramento County Water Agency,San Juan Water District,Shasta Contractors,Solano County Water Agency,City of Avenal,City of Coalinga,City of Fresno,City of Huron,City of Lindsay,City of Orange Cove,City of Tracy,Kern County Water Agency Improvement District No 4,Other Friant-Kern M&I Contractors,Stockton-East Water District,"Alameda County Flood Control and Water Conservation District, Zone 7",Alameda County Water District,Contra Costa Water District,East Bay Municipal Utilities District,"San Benito County Water District, Zone 6",Santa Clara Valley Water District,San Luis Obispo County Flood Control & Water Conservation District,Santa Barbara County Flood Control & Water Conservation District,Antelope Valley-East Kern Water Agency,Santa Clarita Water Division,Coachella Valley Water District,Crestline-Lake Arrowhead Water Agency,Desert Water Agency,Metropolitan Water District of Southern California,Mojave Water Agency,Palmdale Water District & Littlerock Creek Irrigation District,San Bernardino Valley Municipal Water District,San Gabriel Valley Municipal Water District,San Gorgonio Pass Water Agency,Ventura County Watershed Protection District
1922,1.002623828,1.01,0.96,1.02,0.98,0.91,1,0.98,1.01,1.01,1.01,0.96,0.98,1.01,0.98,1,1,1,0.97,0.96,1.01,1.01,0.97,0.95,0.96,1,0.96,0.99,0.93,0.99,1.03,0.99,1,1.01,0.91,0.93,0.97,1.01,0.96,0.92,0.98,1.01,1.05
1923,1.018366817,1.07,0.96,1.06,1.06,1,1.06,1.04,1.06,1.07,1.07,0.97,1.06,1.07,1.04,1.06,1.07,1.06,1.04,1.02,1.04,1.04,1.03,1.02,1.1,1.07,1.08,1.09,1.03,1.07,1.11,1.04,1.06,1.04,0.95,0.97,1.02,1.04,1.02,0.95,1.06,1.04,1.11
1924,1.089143477,1.07,1.12,1.04,1.09,1,1.12,1.06,1.1,1.07,1.08,1.12,1.05,1.09,1.08,1.06,1.09,1.04,1.05,1.05,1.07,1.07,1.06,1.04,1.09,1.07,1.06,1.03,1.02,1.07,1.09,1.09,1.06,1.07,1.02,1.08,1.09,1.07,1.07,1.03,1.1,1.07,1.14
1925,0.881183288,1.01,0.8,1,0.99,0.93,0.94,0.85,0.98,1,1.02,0.8,0.92,0.98,0.99,0.95,1,0.92,0.86,0.93,1.01,1.01,0.97,0.91,0.95,0.94,0.93,0.96,0.89,0.95,0.94,1.04,1.08,1.01,1.02,1.01,1.07,1.01,1.06,1.03,1.09,1.01,1.05
1926,1.086694973,1.06,1.09,1.03,1.06,1.01,1.11,1.02,1.09,1.06,1.07,1.1,1.03,1.09,1.09,1.11,1.09,1.05,1.08,1.05,1.06,1.06,1.06,1.04,1.13,1.08,1.09,1.14,1.09,1.08,1.09,1.05,1.06,1.06,1.03,1.01,1.04,1.06,1.05,1.02,1.05,1.06,1.05
1927,0.962182333,0.99,0.92,0.99,0.97,0.91,1,0.93,0.98,1,0.99,0.92,0.95,1.02,1.01,0.98,1,0.97,0.97,0.97,1,1,0.97,0.92,0.97,0.99,0.95,0.99,0.93,1,1.02,0.98,1.01,1,0.95,0.91,0.99,1,0.95,0.95,1.03,1,1.04
1928,1.063244961,1.07,1.07,1.05,1.06,0.99,1.08,1.04,1.07,1.07,1.06,1.07,1.02,1.11,1.1,1.09,1.12,1.07,1.08,1.02,1.07,1.07,1.06,1,0.98,1.04,0.98,1.08,1.01,1.11,1.11,1.05,1.06,1.07,1.03,1.04,1.08,1.07,1.06,1.04,1.1,1.07,1.1
1929,1.110736226,1.14,1.1,1.11,1.15,1.08,1.12,1.16,1.11,1.14,1.12,1.1,1.14,1.12,1.12,1.13,1.12,1.1,1.1,1.1,1.1,1.1,1.11,1.11,1.2,1.17,1.18,1.12,1.13,1.18,1.22,1.12,1.17,1.1,1.07,1.03,1.15,1.1,1.09,1.09,1.18,1.1,1.22
1930,1.033931929,1.03,1.01,1.02,1.04,1.04,1.06,0.99,1.03,1.03,1.03,1.01,1,1.07,1.07,1.07,1.1,1.06,1.03,1.02,1.03,1.03,1.03,0.99,1,1.02,1,1.03,1.03,1.05,1.03,1.02,1.01,1.03,0.95,0.93,1.01,1.03,1.02,0.95,1.05,1.03,1.05
1931,1.062042505,1.06,1.06,1.07,1.07,1.06,1.06,1.04,1.02,1.07,1.04,1.06,1.06,1.1,1.09,1.07,1.12,1.11,1.08,1.09,1.02,1.02,1.08,1.04,1.05,1.08,1.05,1.09,1.12,1.09,1.13,1,1,1.02,0.96,0.93,1.04,1.02,0.93,1,1.04,1.02,1.1
1932,1.080710121,1.12,1.07,1.11,1.14,1.1,1.16,1.16,1.11,1.13,1.12,1.07,1.13,1.15,1.14,1.11,1.15,1.12,1.12,1.12,1.05,1.05,1.12,1.1,1.14,1.12,1.13,1.14,1.17,1.16,1.17,1.07,1.08,1.05,1.08,1.01,1.11,1.05,1.03,1.07,1.11,1.05,1.16
1933,1.053810015,1.07,1.01,1.06,1.09,1.07,1.07,1.04,1.05,1.07,1.06,1.01,1.06,1.09,1.1,1.06,1.08,1.11,1.06,1.07,1.04,1.04,1.07,1.04,1.07,1.07,1.04,1.09,1.08,1.1,1.11,1.06,1.02,1.04,1.08,1.04,1.07,1.04,1.03,1.08,1.07,1.04,1.08
1934,1.080651384,1.1,1.01,1.07,1.1,1.04,1.12,1.06,1.09,1.1,1.09,1.01,1.08,1.08,1.05,1.13,1.09,1.16,1.14,1.08,1.06,1.06,1.08,1.04,1.1,1.07,1.08,1.09,1.11,1.09,1.09,1.07,1.04,1.06,1.09,1.08,1.08,1.06,1.05,1.07,1.08,1.06,1.1
1935,1.014447082,0.99,0.98,0.97,0.98,0.97,1,0.94,0.99,0.99,0.98,0.99,0.96,1.02,0.98,1,1.02,1.02,1.01,0.98,0.99,0.99,0.96,0.95,0.98,0.96,0.95,1.02,0.97,1.01,0.96,0.96,0.93,0.99,0.98,0.96,0.97,0.99,0.96,0.96,0.97,0.99,0.94
1936,1.105456443,1.09,1.09,1.1,1.07,1.1,1.12,1.12,1.12,1.08,1.1,1.09,1.09,1.07,1.03,1.07,1.07,1.09,1.08,1.04,1.02,1.02,1.03,1.06,1.17,1.08,1.14,1.1,1.12,1.1,1.09,1.04,1.02,1.02,1.03,1.01,1.05,1.02,1.02,1.04,1.07,1.02,1.08
1937,0.993293884,0.98,0.92,0.99,0.98,0.99,1.03,0.98,1.02,0.98,0.99,0.92,0.99,1.07,1.06,1.02,1.06,1.03,1.03,0.96,1.02,1.02,0.96,0.97,0.98,0.98,0.98,1.03,1.02,1.07,1.06,1.02,1.01,1.02,1.04,1.01,1.02,1.02,1,1.03,1.01,1.02,1.01
1938,0.971764628,0.99,0.93,0.97,0.98,0.95,0.99,0.99,0.99,0.98,0.99,0.93,0.97,0.97,0.96,0.97,0.95,0.97,0.93,0.94,0.94,0.94,0.95,0.93,0.94,0.95,0.96,0.93,0.97,0.99,0.97,0.94,0.92,0.94,0.95,0.96,0.97,0.94,0.94,0.97,0.97,0.94,0.95
1939,1.079151441,1.08,1.04,1.03,1.13,1.11,1.01,1.12,1.05,1.08,1.06,1.04,1.11,1.1,1.11,1.06,1.09,1.09,1.06,1.07,1.04,1.04,1.06,1.04,1.07,1.07,1.07,1.08,1.05,1.06,1,1.02,1,1.04,1.06,1.01,1.05,1.04,1.02,1.05,1.06,1.04,1.02
1940,0.982201822,0.98,0.94,0.99,0.96,0.98,1.05,0.97,1.02,0.97,0.99,0.94,0.95,1.06,1.04,1.06,1.04,1.06,1.05,1.03,1.02,1.02,1.03,0.99,0.96,0.99,0.96,1.04,0.99,1.04,1.03,1.04,1,1.02,1.06,1.01,1.02,1.02,1.02,1.02,1.01,1.02,1.04
1941,0.840023297,0.88,0.79,0.87,0.84,0.87,0.89,0.84,0.88,0.88,0.88,0.8,0.82,0.89,0.9,0.93,0.91,0.97,0.97,0.9,0.88,0.88,0.89,0.86,0.85,0.87,0.85,0.88,0.9,0.9,0.89,0.85,0.81,0.88,0.87,0.82,0.87,0.88,0.83,0.83,0.91,0.88,0.88
1942,0.917031047,0.92,0.89,0.92,0.94,0.93,0.95,0.91,0.94,0.92,0.92,0.89,0.92,1.03,1.01,1,1.04,1.06,1.04,0.97,1.06,1.06,0.92,0.92,0.91,0.91,0.9,0.93,0.93,1.01,1.01,1.07,1.01,1.06,1.1,1.03,1.07,1.06,1.09,1.07,1.07,1.06,1.04
1943,0.982749697,1.01,0.93,1.02,1.01,0.99,1.02,1.02,1.03,1.01,1.02,0.93,1.01,0.98,0.96,1.01,1,1.02,1.03,1,0.96,0.96,0.99,1,1.04,1.01,1.01,1,1.04,0.98,1,0.97,0.93,0.96,0.98,0.93,1,0.96,0.96,0.97,1.02,0.96,0.99
1944,0.985089698,0.98,1,1,0.99,0.95,1,0.98,1,0.98,0.99,1,0.98,0.97,0.94,0.99,0.97,1,0.99,0.99,0.98,0.98,0.98,0.98,0.98,1,0.98,1,0.96,0.99,0.98,0.97,0.93,0.98,1,0.95,1,0.98,0.96,0.99,1,0.98,1
1945,0.962617546,0.97,0.95,0.97,0.96,0.96,0.97,0.99,0.99,0.97,0.98,0.95,0.97,1,0.94,0.99,1,1.03,0.99,0.99,0.98,0.98,0.95,0.97,0.97,0.99,0.97,0.97,0.98,0.99,0.97,0.96,0.92,0.98,0.95,0.93,0.96,0.98,0.99,0.95,0.96,0.98,0.93
1946,1.026216443,1.03,0.99,1.02,1.04,1.06,1.03,1.08,1.02,1.03,1.02,0.99,1.05,0.98,0.94,1.01,1.01,1,0.98,1.04,1.02,1.02,1.02,1.04,1.06,1.07,1.05,1.06,1.05,1.01,1.02,1,0.98,1.02,0.99,1,1.03,1.02,0.99,1.04,1.03,1.02,0.99
1947,0.929261225,0.98,0.86,0.97,1,0.97,0.99,0.96,1.01,1,0.99,0.85,1,1.08,1.05,1.12,1.08,1.1,1.1,1.09,1.11,1.11,1.06,1.04,1.01,1.04,0.99,1.13,1.02,1.13,1.13,1.12,1.12,1.11,1.11,1.06,1.18,1.11,1.1,1.15,1.2,1.11,1.16
1948,0.803767583,0.92,0.73,0.9,0.88,0.92,0.89,0.84,0.89,0.91,0.91,0.73,0.9,0.98,0.96,1.04,0.99,1.01,1.03,0.96,1.03,1.03,0.92,0.93,0.94,0.92,0.91,0.98,0.95,1,0.99,1.03,1.04,1.03,1.03,1.02,1.07,1.03,1.05,1.03,1.1,1.03,1.02
1949,1.069626878,1.04,1.08,1.04,1.03,1.05,1.1,1.06,1.09,1.03,1.06,1.08,1.05,0.99,0.97,1.01,1.03,1.05,1,1.04,1.02,1.02,1,1.04,1.06,1.05,1.06,1.05,1.05,1,0.98,1.04,1.04,1.02,1.08,1.01,1.06,1.02,1.05,1.05,1.09,1.02,1.02
1950,1.014971899,1,1.04,1.02,1.01,1,1.02,0.99,1.03,1.01,1.01,1.04,1.02,1.01,0.99,1.04,1.03,1.07,1.02,1.04,1.07,1.07,1.01,1.07,1,1.04,1.03,1.01,1.01,1,0.99,1.08,1.07,1.07,1.08,1.07,1.02,1.07,1.09,1.03,1.03,1.07,1.03
