Variable,Study Region,Contractor,2025,2030,2035,2040,2045,Notes
Fraction of single family residential use that is interior (%),Central Valley - Sacramento Valley,City of Folsom,53,53,53,53,53,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of single family residential use that is interior (%),Central Valley - Sacramento Valley,City of Redding,41,41,41,41,41,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of single family residential use that is interior (%),Central Valley - Sacramento Valley,City of Roseville,43,43,43,43,43,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of single family residential use that is interior (%),Central Valley - Sacramento Valley,City of West Sacramento,55,55,55,55,55,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of single family residential use that is interior (%),Central Valley - Sacramento Valley,Yuba City,50,50,50,50,50,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of single family residential use that is interior (%),Central Valley - Sacramento Valley,El Dorado Irrigation District,58,58,58,58,58,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of single family residential use that is interior (%),Central Valley - Sacramento Valley,Placer County Water Agency,43,43,43,43,43,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of single family residential use that is interior (%),Central Valley - Sacramento Valley,Sacramento County Water Agency,53,53,53,53,53,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of single family residential use that is interior (%),Central Valley - Sacramento Valley,San Juan Water District,45,45,45,45,45,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of single family residential use that is interior (%),Central Valley - San Joaquin Valley,City of Coalinga,40,40,40,40,40,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of single family residential use that is interior (%),Central Valley - San Joaquin Valley,City of Fresno,40,40,40,40,40,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of single family residential use that is interior (%),Central Valley - San Joaquin Valley,City of Tracy,61,61,61,61,61,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of single family residential use that is interior (%),Central Valley - San Joaquin Valley,Stockton-East Water District,61,61,61,61,61,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of single family residential use that is interior (%),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",0,0,0,0,0,
Fraction of single family residential use that is interior (%),San Francisco Bay Area,Alameda County Water District,63,63,63,63,63,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of single family residential use that is interior (%),San Francisco Bay Area,Contra Costa Water District,65,65,65,65,65,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of single family residential use that is interior (%),San Francisco Bay Area,East Bay Municipal Utilities District,64,64,64,64,64,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of single family residential use that is interior (%),San Francisco Bay Area,"San Benito County Water District, Zone 6",52,52,52,52,52,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of single family residential use that is interior (%),San Francisco Bay Area,Santa Clara Valley Water District,67,67,67,67,67,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of single family residential use that is interior (%),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,66,66,66,66,66,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of single family residential use that is interior (%),Southern California,Antelope Valley-East Kern Water Agency,50,50,50,50,50,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of single family residential use that is interior (%),Southern California,Santa Clarita Water Division,61,61,61,61,61,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of single family residential use that is interior (%),Southern California,Metropolitan Water District of Southern California,62,62,62,62,62,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of single family residential use that is interior (%),Southern California,Mojave Water Agency,64,64,64,64,64,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of single family residential use that is interior (%),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,61,61,61,61,61,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of single family residential use that is interior (%),Southern California,San Bernardino Valley Municipal Water District,64,64,64,64,64,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
