,Type,Study Region,Contractor,Year,Value,k_labels,colors
0,Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,City of Folsom,2025,1,0,#F63366
1,Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,City of Redding,2025,1,0,#F63366
2,Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,City of Roseville,2025,1,0,#F63366
3,Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,City of West Sacramento,2025,1,0,#F63366
4,Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,Yuba City,2025,1,0,#F63366
5,Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,El Dorado Irrigation District,2025,1,0,#F63366
6,Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,2025,1,0,#F63366
7,Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,Placer County Water Agency,2025,1,0,#F63366
8,Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,Sacramento County Water Agency,2025,1,0,#F63366
9,Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,San Juan Water District,2025,1,0,#F63366
10,Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,Shasta Contractors,2025,1,0,#F63366
11,Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,Solano County Water Agency,2025,1,0,#F63366
12,Desalination Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Avenal,2025,1,0,#F63366
13,Desalination Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Coalinga,2025,1,0,#F63366
14,Desalination Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Fresno,2025,1,0,#F63366
15,Desalination Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Huron,2025,1,0,#F63366
16,Desalination Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Lindsay,2025,1,0,#F63366
17,Desalination Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Orange Cove,2025,1,0,#F63366
18,Desalination Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Tracy,2025,1,0,#F63366
19,Desalination Supply (acre-feet/year),Central Valley - San Joaquin Valley,Kern County Water Agency,2025,1,0,#F63366
20,Desalination Supply (acre-feet/year),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,2025,1,0,#F63366
21,Desalination Supply (acre-feet/year),Central Valley - San Joaquin Valley,Stockton-East Water District,2025,1,0,#F63366
22,Desalination Supply (acre-feet/year),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",2025,1,0,#F63366
23,Desalination Supply (acre-feet/year),San Francisco Bay Area,Alameda County Water District,2025,1,0,#F63366
24,Desalination Supply (acre-feet/year),San Francisco Bay Area,Contra Costa Water District,2025,1,0,#F63366
25,Desalination Supply (acre-feet/year),San Francisco Bay Area,East Bay Municipal Utilities District,2025,1,0,#F63366
26,Desalination Supply (acre-feet/year),San Francisco Bay Area,"San Benito County Water District, Zone 6",2025,1,0,#F63366
27,Desalination Supply (acre-feet/year),San Francisco Bay Area,Santa Clara Valley Water District,2025,1,0,#F63366
28,Desalination Supply (acre-feet/year),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,2025,1,0,#F63366
29,Desalination Supply (acre-feet/year),Central Coast,Santa Barbara County Flood Control & Water Conservation District,2025,1,0,#F63366
30,Desalination Supply (acre-feet/year),Southern California,Antelope Valley-East Kern Water Agency,2025,1,0,#F63366
31,Desalination Supply (acre-feet/year),Southern California,Santa Clarita Water Division,2025,1,0,#F63366
32,Desalination Supply (acre-feet/year),Southern California,Coachella Valley Water District,2025,1,0,#F63366
33,Desalination Supply (acre-feet/year),Southern California,Crestline-Lake Arrowhead Water Agency,2025,1,0,#F63366
34,Desalination Supply (acre-feet/year),Southern California,Desert Water Agency,2025,1,0,#F63366
35,Desalination Supply (acre-feet/year),Southern California,Metropolitan Water District of Southern California,2025,1,0,#F63366
36,Desalination Supply (acre-feet/year),Southern California,Mojave Water Agency,2025,1,0,#F63366
37,Desalination Supply (acre-feet/year),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,2025,1,0,#F63366
38,Desalination Supply (acre-feet/year),Southern California,San Bernardino Valley Municipal Water District,2025,1,0,#F63366
39,Desalination Supply (acre-feet/year),Southern California,San Gabriel Valley Municipal Water District,2025,1,0,#F63366
40,Desalination Supply (acre-feet/year),Southern California,San Gorgonio Pass Water Agency,2025,1,0,#F63366
41,Desalination Supply (acre-feet/year),Southern California,Ventura County Watershed Protection District,2025,1,0,#F63366
126,Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,City of Folsom,2030,1,2,#F63366
127,Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,City of Redding,2030,1,2,#F63366
128,Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,City of Roseville,2030,1,2,#F63366
129,Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,City of West Sacramento,2030,1,2,#F63366
130,Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,Yuba City,2030,1,2,#F63366
131,Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,El Dorado Irrigation District,2030,1,2,#F63366
132,Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,2030,1,2,#F63366
133,Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,Placer County Water Agency,2030,1,2,#F63366
134,Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,Sacramento County Water Agency,2030,1,2,#F63366
135,Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,San Juan Water District,2030,1,2,#F63366
136,Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,Shasta Contractors,2030,1,2,#F63366
137,Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,Solano County Water Agency,2030,1,2,#F63366
138,Desalination Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Avenal,2030,1,2,#F63366
139,Desalination Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Coalinga,2030,1,2,#F63366
140,Desalination Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Fresno,2030,1,2,#F63366
141,Desalination Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Huron,2030,1,2,#F63366
142,Desalination Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Lindsay,2030,1,2,#F63366
143,Desalination Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Orange Cove,2030,1,2,#F63366
144,Desalination Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Tracy,2030,1,2,#F63366
145,Desalination Supply (acre-feet/year),Central Valley - San Joaquin Valley,Kern County Water Agency,2030,1,2,#F63366
146,Desalination Supply (acre-feet/year),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,2030,1,2,#F63366
147,Desalination Supply (acre-feet/year),Central Valley - San Joaquin Valley,Stockton-East Water District,2030,1,2,#F63366
