Year,City of Folsom,City of Redding,City of Roseville,City of West Sacramento,Yuba City,El Dorado Irrigation District,Napa County Flood Control & Water Conservation District,Placer County Water Agency,Sacramento County Water Agency,San Juan Water District,Shasta Contractors,Solano County Water Agency,City of Avenal,City of Coalinga,City of Fresno,City of Huron,City of Lindsay,City of Orange Cove,City of Tracy,Kern County Water Agency,Other Friant-Kern M&I Contractors,Stockton-East Water District,"Alameda County Flood Control and Water Conservation District, Zone 7",Alameda County Water District,Contra Costa Water District,East Bay Municipal Utilities District,"San Benito County Water District, Zone 6",Santa Clara Valley Water District,San Luis Obispo County Flood Control & Water Conservation District,Santa Barbara County Flood Control & Water Conservation District,Antelope Valley-East Kern Water Agency,Santa Clarita Water Division,Coachella Valley Water District,Crestline-Lake Arrowhead Water Agency,Desert Water Agency,Metropolitan Water District of Southern California,Mojave Water Agency,Palmdale Water District & Littlerock Creek Irrigation District,San Bernardino Valley Municipal Water District,San Gabriel Valley Municipal Water District,San Gorgonio Pass Water Agency,Ventura County Watershed Protection District
1922,AN,W,AN,W,C,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,BN
1923,BN,AN,W,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,C
1924,C,C,C,C,W,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,AN
1925,D,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN
1926,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
1927,W,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN
1928,AN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN
1929,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1930,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1931,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1932,D,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN
1933,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
1934,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1935,BN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN
1936,BN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN
1937,BN,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
1938,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
1939,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
1940,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN
1941,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
1942,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
1943,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
1944,D,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN
1945,BN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN
1946,BN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN
1947,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
1948,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN
1949,D,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN
