Year,Sacramento Valley,San Joaquin Valley
1922,AN,W
1923,BN,AN
1924,C,C
1925,D,BN
1926,D,D
1927,W,AN
1928,AN,BN
1929,C,C
1930,D,C
1931,C,C
1932,D,AN
1933,C,D
1934,C,C
1935,BN,AN
1936,BN,AN
1937,BN,W
1938,W,W
1939,D,D
1940,AN,AN
1941,W,W
1942,W,W
1943,W,W
1944,D,BN
1945,BN,AN
1946,BN,AN
1947,D,D
1948,BN,BN
1949,D,BN
1950,BN,BN
1951,AN,AN
1952,W,W
1953,W,BN
1954,AN,BN
1955,D,D
1956,W,W
1957,AN,BN
1958,W,W
1959,BN,D
1960,D,C
1961,D,C
1962,BN,BN
1963,W,AN
1964,D,D
1965,W,W
1966,BN,BN
1967,W,W
1968,BN,D
1969,W,W
1970,W,AN
1971,W,BN
1972,BN,D
1973,AN,AN
1974,W,W
1975,W,W
1976,C,C
1977,C,C
1978,AN,W
1979,BN,AN
1980,AN,W
1981,D,D
1982,W,W
1983,W,W
1984,W,AN
1985,D,D
1986,W,W
1987,D,C
1988,C,C
1989,D,C
1990,C,C
1991,C,C
1992,C,C
1993,AN,W
1994,C,C
1995,W,W
1996,W,W
1997,W,W
1998,W,W
1999,W,AN
2000,AN,AN
2001,D,D
2002,D,D
2003,AN,BN
2004,BN,D
2005,AN,W
2006,W,W
2007,D,C
2008,C,C
2009,D,BN
2010,BN,AN
2011,W,W
2012,BN,D
2013,D,C
2014,C,C
2015,C,C
