Type,Study Region,Contractor,2025,2030,2035,2040,2045
SWP (Table A & Article 21),Central Valley - Sacramento Valley,City of Folsom,67,67,67,67,67
SWP (Table A & Article 21),Central Valley - Sacramento Valley,City of Redding,67,67,67,67,67
SWP (Table A & Article 21),Central Valley - Sacramento Valley,City of Roseville,67,67,67,67,67
SWP (Table A & Article 21),Central Valley - Sacramento Valley,City of West Sacramento,67,67,67,67,67
SWP (Table A & Article 21),Central Valley - Sacramento Valley,Yuba City,67,67,67,67,67
SWP (Table A & Article 21),Central Valley - Sacramento Valley,El Dorado Irrigation District,67,67,67,67,67
SWP (Table A & Article 21),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,67,67,67,67,67
SWP (Table A & Article 21),Central Valley - Sacramento Valley,Placer County Water Agency,67,67,67,67,67
SWP (Table A & Article 21),Central Valley - Sacramento Valley,Sacramento County Water Agency,67,67,67,67,67
SWP (Table A & Article 21),Central Valley - Sacramento Valley,San Juan Water District,67,67,67,67,67
SWP (Table A & Article 21),Central Valley - Sacramento Valley,Shasta Contractors,67,67,67,67,67
SWP (Table A & Article 21),Central Valley - Sacramento Valley,Solano County Water Agency,67,67,67,67,67
SWP (Table A & Article 21),Central Valley - San Joaquin Valley,City of Avenal,67,67,67,67,67
SWP (Table A & Article 21),Central Valley - San Joaquin Valley,City of Coalinga,67,67,67,67,67
SWP (Table A & Article 21),Central Valley - San Joaquin Valley,City of Fresno,67,67,67,67,67
SWP (Table A & Article 21),Central Valley - San Joaquin Valley,City of Huron,67,67,67,67,67
SWP (Table A & Article 21),Central Valley - San Joaquin Valley,City of Lindsay,67,67,67,67,67
SWP (Table A & Article 21),Central Valley - San Joaquin Valley,City of Orange Cove,67,67,67,67,67
SWP (Table A & Article 21),Central Valley - San Joaquin Valley,City of Tracy,67,67,67,67,67
SWP (Table A & Article 21),Central Valley - San Joaquin Valley,Kern County Water Agency,67,67,67,67,67
SWP (Table A & Article 21),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,67,67,67,67,67
SWP (Table A & Article 21),Central Valley - San Joaquin Valley,Stockton-East Water District,67,67,67,67,67
SWP (Table A & Article 21),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",67,67,67,67,67
SWP (Table A & Article 21),San Francisco Bay Area,Alameda County Water District,67,67,67,67,67
SWP (Table A & Article 21),San Francisco Bay Area,Contra Costa Water District,67,67,67,67,67
SWP (Table A & Article 21),San Francisco Bay Area,East Bay Municipal Utilities District,67,67,67,67,67
SWP (Table A & Article 21),San Francisco Bay Area,"San Benito County Water District, Zone 6",67,67,67,67,67
SWP (Table A & Article 21),San Francisco Bay Area,Santa Clara Valley Water District,67,67,67,67,67
SWP (Table A & Article 21),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,67,67,67,67,67
SWP (Table A & Article 21),Central Coast,Santa Barbara County Flood Control & Water Conservation District,67,67,67,67,67
SWP (Table A & Article 21),Southern California,Antelope Valley-East Kern Water Agency,67,67,67,67,67
SWP (Table A & Article 21),Southern California,Santa Clarita Water Division,67,67,67,67,67
SWP (Table A & Article 21),Southern California,Coachella Valley Water District,67,67,67,67,67
SWP (Table A & Article 21),Southern California,Crestline-Lake Arrowhead Water Agency,67,67,67,67,67
SWP (Table A & Article 21),Southern California,Desert Water Agency,67,67,67,67,67
SWP (Table A & Article 21),Southern California,Metropolitan Water District of Southern California,67,67,67,67,67
SWP (Table A & Article 21),Southern California,Mojave Water Agency,67,67,67,67,67
SWP (Table A & Article 21),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,67,67,67,67,67
SWP (Table A & Article 21),Southern California,San Bernardino Valley Municipal Water District,67,67,67,67,67
SWP (Table A & Article 21),Southern California,San Gabriel Valley Municipal Water District,67,67,67,67,67
SWP (Table A & Article 21),Southern California,San Gorgonio Pass Water Agency,67,67,67,67,67
SWP (Table A & Article 21),Southern California,Ventura County Watershed Protection District,67,67,67,67,67
CVP (Article 215),Central Valley - Sacramento Valley,City of Folsom,82,82,82,82,82
CVP (Article 215),Central Valley - Sacramento Valley,City of Redding,82,82,82,82,82
CVP (Article 215),Central Valley - Sacramento Valley,City of Roseville,82,82,82,82,82
CVP (Article 215),Central Valley - Sacramento Valley,City of West Sacramento,82,82,82,82,82
CVP (Article 215),Central Valley - Sacramento Valley,Yuba City,82,82,82,82,82
CVP (Article 215),Central Valley - Sacramento Valley,El Dorado Irrigation District,82,82,82,82,82
CVP (Article 215),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,82,82,82,82,82
CVP (Article 215),Central Valley - Sacramento Valley,Placer County Water Agency,82,82,82,82,82
CVP (Article 215),Central Valley - Sacramento Valley,Sacramento County Water Agency,82,82,82,82,82
CVP (Article 215),Central Valley - Sacramento Valley,San Juan Water District,82,82,82,82,82
CVP (Article 215),Central Valley - Sacramento Valley,Shasta Contractors,82,82,82,82,82
CVP (Article 215),Central Valley - Sacramento Valley,Solano County Water Agency,82,82,82,82,82
CVP (Article 215),Central Valley - San Joaquin Valley,City of Avenal,82,82,82,82,82
CVP (Article 215),Central Valley - San Joaquin Valley,City of Coalinga,82,82,82,82,82
CVP (Article 215),Central Valley - San Joaquin Valley,City of Fresno,82,82,82,82,82
CVP (Article 215),Central Valley - San Joaquin Valley,City of Huron,82,82,82,82,82
CVP (Article 215),Central Valley - San Joaquin Valley,City of Lindsay,82,82,82,82,82
