,Type,Study Region,Contractor,Year,Value,k_labels,colors
0,SWP (Table A & Article 21),Central Valley - Sacramento Valley,City of Folsom,2025,67,9,#808000
1,SWP (Table A & Article 21),Central Valley - Sacramento Valley,City of Redding,2025,67,9,#808000
2,SWP (Table A & Article 21),Central Valley - Sacramento Valley,City of Roseville,2025,67,9,#808000
3,SWP (Table A & Article 21),Central Valley - Sacramento Valley,City of West Sacramento,2025,67,9,#808000
4,SWP (Table A & Article 21),Central Valley - Sacramento Valley,Yuba City,2025,67,9,#808000
5,SWP (Table A & Article 21),Central Valley - Sacramento Valley,El Dorado Irrigation District,2025,67,9,#808000
6,SWP (Table A & Article 21),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,2025,67,9,#808000
7,SWP (Table A & Article 21),Central Valley - Sacramento Valley,Placer County Water Agency,2025,67,9,#808000
8,SWP (Table A & Article 21),Central Valley - Sacramento Valley,Sacramento County Water Agency,2025,67,9,#808000
9,SWP (Table A & Article 21),Central Valley - Sacramento Valley,San Juan Water District,2025,67,9,#808000
10,SWP (Table A & Article 21),Central Valley - Sacramento Valley,Shasta Contractors,2025,67,9,#808000
11,SWP (Table A & Article 21),Central Valley - Sacramento Valley,Solano County Water Agency,2025,67,9,#808000
12,SWP (Table A & Article 21),Central Valley - San Joaquin Valley,City of Avenal,2025,67,9,#808000
13,SWP (Table A & Article 21),Central Valley - San Joaquin Valley,City of Coalinga,2025,67,9,#808000
14,SWP (Table A & Article 21),Central Valley - San Joaquin Valley,City of Fresno,2025,67,9,#808000
15,SWP (Table A & Article 21),Central Valley - San Joaquin Valley,City of Huron,2025,67,9,#808000
16,SWP (Table A & Article 21),Central Valley - San Joaquin Valley,City of Lindsay,2025,67,9,#808000
17,SWP (Table A & Article 21),Central Valley - San Joaquin Valley,City of Orange Cove,2025,67,9,#808000
18,SWP (Table A & Article 21),Central Valley - San Joaquin Valley,City of Tracy,2025,67,9,#808000
19,SWP (Table A & Article 21),Central Valley - San Joaquin Valley,Kern County Water Agency,2025,67,9,#808000
20,SWP (Table A & Article 21),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,2025,67,9,#808000
21,SWP (Table A & Article 21),Central Valley - San Joaquin Valley,Stockton-East Water District,2025,67,9,#808000
22,SWP (Table A & Article 21),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",2025,67,9,#808000
23,SWP (Table A & Article 21),San Francisco Bay Area,Alameda County Water District,2025,67,9,#808000
24,SWP (Table A & Article 21),San Francisco Bay Area,Contra Costa Water District,2025,67,9,#808000
