,Type,Study Region,Contractor,Year,Value,k_labels,colors
0,Fraction of single-family residential use that is interior (%),Central Valley - Sacramento Valley,City of Folsom,2035,67,9,#808000
1,Fraction of single-family residential use that is interior (%),Central Valley - Sacramento Valley,City of Redding,2035,67,9,#808000
2,Fraction of single-family residential use that is interior (%),Central Valley - Sacramento Valley,City of Roseville,2035,67,9,#808000
3,Fraction of single-family residential use that is interior (%),Central Valley - Sacramento Valley,City of West Sacramento,2035,67,9,#808000
4,Fraction of single-family residential use that is interior (%),Central Valley - Sacramento Valley,Yuba City,2035,67,9,#808000
5,Fraction of single-family residential use that is interior (%),Central Valley - Sacramento Valley,El Dorado Irrigation District,2035,67,9,#808000
6,Fraction of single-family residential use that is interior (%),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,2035,67,9,#808000
7,Fraction of single-family residential use that is interior (%),Central Valley - Sacramento Valley,Placer County Water Agency,2035,67,9,#808000
8,Fraction of single-family residential use that is interior (%),Central Valley - Sacramento Valley,Sacramento County Water Agency,2035,67,9,#808000
9,Fraction of single-family residential use that is interior (%),Central Valley - Sacramento Valley,San Juan Water District,2035,67,9,#808000
10,Fraction of single-family residential use that is interior (%),Central Valley - Sacramento Valley,Shasta Contractors,2035,67,9,#808000
11,Fraction of single-family residential use that is interior (%),Central Valley - Sacramento Valley,Solano County Water Agency,2035,67,9,#808000
12,Fraction of single-family residential use that is interior (%),Central Valley - San Joaquin Valley,City of Avenal,2035,67,9,#808000
13,Fraction of single-family residential use that is interior (%),Central Valley - San Joaquin Valley,City of Coalinga,2035,67,9,#808000
14,Fraction of single-family residential use that is interior (%),Central Valley - San Joaquin Valley,City of Fresno,2035,67,9,#808000
15,Fraction of single-family residential use that is interior (%),Central Valley - San Joaquin Valley,City of Huron,2035,67,9,#808000
16,Fraction of single-family residential use that is interior (%),Central Valley - San Joaquin Valley,City of Lindsay,2035,67,9,#808000
17,Fraction of single-family residential use that is interior (%),Central Valley - San Joaquin Valley,City of Orange Cove,2035,67,9,#808000
18,Fraction of single-family residential use that is interior (%),Central Valley - San Joaquin Valley,City of Tracy,2035,67,9,#808000
19,Fraction of single-family residential use that is interior (%),Central Valley - San Joaquin Valley,Kern County Water Agency,2035,67,9,#808000
20,Fraction of single-family residential use that is interior (%),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,2035,67,9,#808000
21,Fraction of single-family residential use that is interior (%),Central Valley - San Joaquin Valley,Stockton-East Water District,2035,67,9,#808000
22,Fraction of single-family residential use that is interior (%),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",2035,67,9,#808000
23,Fraction of single-family residential use that is interior (%),San Francisco Bay Area,Alameda County Water District,2035,67,9,#808000
24,Fraction of single-family residential use that is interior (%),San Francisco Bay Area,Contra Costa Water District,2035,67,9,#808000
25,Fraction of single-family residential use that is interior (%),San Francisco Bay Area,East Bay Municipal Utilities District,2035,67,9,#808000
26,Fraction of single-family residential use that is interior (%),San Francisco Bay Area,"San Benito County Water District, Zone 6",2035,67,9,#808000
27,Fraction of single-family residential use that is interior (%),San Francisco Bay Area,Santa Clara Valley Water District,2035,67,9,#808000
28,Fraction of single-family residential use that is interior (%),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,2035,67,9,#808000
29,Fraction of single-family residential use that is interior (%),Central Coast,Santa Barbara County Flood Control & Water Conservation District,2035,67,9,#808000
30,Fraction of single-family residential use that is interior (%),Southern California,Antelope Valley-East Kern Water Agency,2035,67,9,#808000
31,Fraction of single-family residential use that is interior (%),Southern California,Santa Clarita Water Division,2035,67,9,#808000
32,Fraction of single-family residential use that is interior (%),Southern California,Coachella Valley Water District,2035,67,9,#808000
