Type,Study Region,Contractor,2025,2030,2035,2040,2045
Surface,Central Valley - Sacramento Valley,City of Folsom,1,"28,527.00",1,1,1
Surface,Central Valley - Sacramento Valley,City of Redding,1,"24,241.00",1,1,1
Surface,Central Valley - Sacramento Valley,City of Roseville,1,"51,333.00",1,1,1
Surface,Central Valley - Sacramento Valley,City of West Sacramento,1,"19,397.00",1,1,1
Surface,Central Valley - Sacramento Valley,Yuba City,1,"24,177.00",1,1,1
Surface,Central Valley - Sacramento Valley,El Dorado Irrigation District,1,"50,697.00",1,1,1
Surface,Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,1,"21,400.00",1,1,1
Surface,Central Valley - Sacramento Valley,Placer County Water Agency,1,"154,954.00",1,1,1
Surface,Central Valley - Sacramento Valley,Sacramento County Water Agency,1,"63,288.00",1,1,1
Surface,Central Valley - Sacramento Valley,San Juan Water District,1,"70,314.00",1,1,1
Surface,Central Valley - Sacramento Valley,Shasta Contractors,1,"10,942.00",1,1,1
Surface,Central Valley - Sacramento Valley,Solano County Water Agency,1,"229,293.00",1,1,1
Surface,Central Valley - San Joaquin Valley,City of Avenal,1,"3,500.00",1,1,1
Surface,Central Valley - San Joaquin Valley,City of Coalinga,1,"10,000.00",1,1,1
Surface,Central Valley - San Joaquin Valley,City of Fresno,1,"274,100.00",1,1,1
Surface,Central Valley - San Joaquin Valley,City of Huron,1,"3,000.00",1,1,1
Surface,Central Valley - San Joaquin Valley,City of Lindsay,1,"2,689.00",1,1,1
Surface,Central Valley - San Joaquin Valley,City of Orange Cove,1,"2,790.00",1,1,1
Surface,Central Valley - San Joaquin Valley,City of Tracy,1,"26,750.00",1,1,1
Surface,Central Valley - San Joaquin Valley,Kern County Water Agency,1,"64,075.00",1,1,1
Surface,Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,1,"6,000.00",1,1,1
Surface,Central Valley - San Joaquin Valley,Stockton-East Water District,1,"73,257.00",1,1,1
Surface,San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",1,"75,500.00",1,1,1
Surface,San Francisco Bay Area,Alameda County Water District,1,"71,800.00",1,1,1
Surface,San Francisco Bay Area,Contra Costa Water District,1,"215,471.00",1,1,1
Surface,San Francisco Bay Area,East Bay Municipal Utilities District,1,"248,000.00",1,1,1
Surface,San Francisco Bay Area,"San Benito County Water District, Zone 6",1,"6,425.00",1,1,1
Surface,San Francisco Bay Area,Santa Clara Valley Water District,1,"409,370.00",1,1,1
Surface,Central Coast,San Luis Obispo County Flood Control & Water Conservation District,1,"8,730.00",1,1,1
Surface,Central Coast,Santa Barbara County Flood Control & Water Conservation District,1,"76,464.00",1,1,1
Surface,Southern California,Antelope Valley-East Kern Water Agency,1,"85,940.00",1,1,1
Surface,Southern California,Santa Clarita Water Division,1,"105,313.00",1,1,1
Surface,Southern California,Coachella Valley Water District,1,"188,500.00",1,1,1
Surface,Southern California,Crestline-Lake Arrowhead Water Agency,1,"2,250.00",1,1,1
Surface,Southern California,Desert Water Agency,1,"47,268.00",1,1,1
Surface,Southern California,Metropolitan Water District of Southern California,1,"4,455,000.00",1,1,1
Surface,Southern California,Mojave Water Agency,1,"159,079.00",1,1,1
Surface,Southern California,Palmdale Water District & Littlerock Creek Irrigation District,1,"30,186.00",1,1,1
Surface,Southern California,San Bernardino Valley Municipal Water District,1,"305,447.00",1,1,1
Surface,Southern California,San Gabriel Valley Municipal Water District,1,"50,950.00",1,1,1
Surface,Southern California,San Gorgonio Pass Water Agency,1,"66,420.00",1,1,1
Surface,Southern California,Ventura County Watershed Protection District,1,"5,000.00",1,1,1
Groundwater,Central Valley - Sacramento Valley,City of Folsom,2,2,2,2,2
Groundwater,Central Valley - Sacramento Valley,City of Redding,2,2,2,2,2
Groundwater,Central Valley - Sacramento Valley,City of Roseville,2,2,2,2,2
Groundwater,Central Valley - Sacramento Valley,City of West Sacramento,2,2,2,2,2
Groundwater,Central Valley - Sacramento Valley,Yuba City,2,2,2,2,2
Groundwater,Central Valley - Sacramento Valley,El Dorado Irrigation District,2,2,2,2,2
Groundwater,Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,2,2,2,2,2
Groundwater,Central Valley - Sacramento Valley,Placer County Water Agency,2,2,2,2,2
Groundwater,Central Valley - Sacramento Valley,Sacramento County Water Agency,2,2,2,2,2
Groundwater,Central Valley - Sacramento Valley,San Juan Water District,2,2,2,2,2
Groundwater,Central Valley - Sacramento Valley,Shasta Contractors,2,2,2,2,2
Groundwater,Central Valley - Sacramento Valley,Solano County Water Agency,2,2,2,2,2
Groundwater,Central Valley - San Joaquin Valley,City of Avenal,2,2,2,2,2
Groundwater,Central Valley - San Joaquin Valley,City of Coalinga,2,2,2,2,2
Groundwater,Central Valley - San Joaquin Valley,City of Fresno,2,2,2,2,2
Groundwater,Central Valley - San Joaquin Valley,City of Huron,2,2,2,2,2
Groundwater,Central Valley - San Joaquin Valley,City of Lindsay,2,2,2,2,2
Groundwater,Central Valley - San Joaquin Valley,City of Orange Cove,2,2,2,2,2
Groundwater,Central Valley - San Joaquin Valley,City of Tracy,2,2,2,2,2
Groundwater,Central Valley - San Joaquin Valley,Kern County Water Agency,2,2,2,2,2
Groundwater,Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,2,2,2,2,2
Groundwater,Central Valley - San Joaquin Valley,Stockton-East Water District,2,2,2,2,2
Groundwater,San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",2,2,2,2,2
Groundwater,San Francisco Bay Area,Alameda County Water District,2,2,2,2,2
Groundwater,San Francisco Bay Area,Contra Costa Water District,2,2,2,2,2
Groundwater,San Francisco Bay Area,East Bay Municipal Utilities District,2,2,2,2,2
Groundwater,San Francisco Bay Area,"San Benito County Water District, Zone 6",2,2,2,2,2
Groundwater,San Francisco Bay Area,Santa Clara Valley Water District,2,2,2,2,2
Groundwater,Central Coast,San Luis Obispo County Flood Control & Water Conservation District,2,2,2,2,2
Groundwater,Central Coast,Santa Barbara County Flood Control & Water Conservation District,2,2,2,2,2
Groundwater,Southern California,Antelope Valley-East Kern Water Agency,2,2,2,2,2
Groundwater,Southern California,Santa Clarita Water Division,2,2,2,2,2
Groundwater,Southern California,Coachella Valley Water District,2,2,2,2,2
Groundwater,Southern California,Crestline-Lake Arrowhead Water Agency,2,2,2,2,2
Groundwater,Southern California,Desert Water Agency,2,2,2,2,2
Groundwater,Southern California,Metropolitan Water District of Southern California,2,2,2,2,2
Groundwater,Southern California,Mojave Water Agency,2,2,2,2,2
Groundwater,Southern California,Palmdale Water District & Littlerock Creek Irrigation District,2,2,2,2,2
