Variable,Contractor,2025,2030,2035,2040,2045,Notes
Surface Water Supply Cost ($),Butte County,0,0,0,0,0,
Surface Water Supply Cost ($),City of Folsom,0,0,0,0,0,
Surface Water Supply Cost ($),City of Redding,0,0,0,0,0,
Surface Water Supply Cost ($),City of Roseville,0,0,0,0,0,
Surface Water Supply Cost ($),City of West Sacramento,0,0,0,0,0,
Surface Water Supply Cost ($),Yuba City,0,0,0,0,0,
Surface Water Supply Cost ($),El Dorado Irrigation District,0,0,0,0,0,
Surface Water Supply Cost ($),Napa County Flood Control & Water Conservation District,0,0,0,0,0,
Surface Water Supply Cost ($),Placer County Water Agency,0,0,0,0,0,
Surface Water Supply Cost ($),Sacramento County Water Agency,0,0,0,0,0,
Surface Water Supply Cost ($),San Juan Water District,0,0,0,0,0,
Surface Water Supply Cost ($),Shasta Contractors,0,0,0,0,0,
Surface Water Supply Cost ($),Solano County Water Agency,0,0,0,0,0,
Surface Water Supply Cost ($),City of Avenal,0,0,0,0,0,
Surface Water Supply Cost ($),City of Coalinga,0,0,0,0,0,
Surface Water Supply Cost ($),City of Fresno,0,0,0,0,0,
Surface Water Supply Cost ($),City of Huron,0,0,0,0,0,
Surface Water Supply Cost ($),City of Lindsay,0,0,0,0,0,
Surface Water Supply Cost ($),City of Orange Cove,0,0,0,0,0,
Surface Water Supply Cost ($),City of Tracy,0,0,0,0,0,
Surface Water Supply Cost ($),Kern County Water Agency Improvement District No 4,0,0,0,0,0,
Surface Water Supply Cost ($),Other Friant-Kern M&I Contractors,0,0,0,0,0,
Surface Water Supply Cost ($),Stockton-East Water District,0,0,0,0,0,
Surface Water Supply Cost ($),"Alameda County Flood Control and Water Conservation District, Zone 7",0,0,0,0,0,
Surface Water Supply Cost ($),Alameda County Water District,0,0,0,0,0,
Surface Water Supply Cost ($),Contra Costa Water District,0,0,0,0,0,
Surface Water Supply Cost ($),East Bay Municipal Utilities District,0,0,0,0,0,
Surface Water Supply Cost ($),"San Benito County Water District, Zone 6",0,0,0,0,0,
Surface Water Supply Cost ($),Santa Clara Valley Water District,0,0,0,0,0,
Surface Water Supply Cost ($),San Luis Obispo County Flood Control & Water Conservation District,0,0,0,0,0,
Surface Water Supply Cost ($),Santa Barbara County Flood Control & Water Conservation District,0,0,0,0,0,
Surface Water Supply Cost ($),Antelope Valley-East Kern Water Agency,0,0,0,0,0,
Surface Water Supply Cost ($),Santa Clarita Water Division,0,0,0,0,0,
Surface Water Supply Cost ($),Coachella Valley Water District,0,0,0,0,0,
Surface Water Supply Cost ($),Crestline-Lake Arrowhead Water Agency,0,0,0,0,0,
Surface Water Supply Cost ($),Desert Water Agency,0,0,0,0,0,
Surface Water Supply Cost ($),Metropolitan Water District of Southern California,0,0,0,0,0,
Surface Water Supply Cost ($),Mojave Water Agency,0,0,0,0,0,
Surface Water Supply Cost ($),Palmdale Water District & Littlerock Creek Irrigation District,0,0,0,0,0,
Surface Water Supply Cost ($),San Bernardino Valley Municipal Water District,0,0,0,0,0,
Surface Water Supply Cost ($),San Gabriel Valley Municipal Water District,0,0,0,0,0,
Surface Water Supply Cost ($),San Gorgonio Pass Water Agency,0,0,0,0,0,
Surface Water Supply Cost ($),Ventura County Watershed Protection District,0,0,0,0,0,
Groundwater Supply Cost ($),Butte County,0,0,0,0,0,
Groundwater Supply Cost ($),City of Folsom,0,0,0,0,0,
Groundwater Supply Cost ($),City of Redding,0,0,0,0,0,
Groundwater Supply Cost ($),City of Roseville,0,0,0,0,0,
Groundwater Supply Cost ($),City of West Sacramento,0,0,0,0,0,
Groundwater Supply Cost ($),Yuba City,0,0,0,0,0,
Groundwater Supply Cost ($),El Dorado Irrigation District,0,0,0,0,0,
Groundwater Supply Cost ($),Napa County Flood Control & Water Conservation District,0,0,0,0,0,
Groundwater Supply Cost ($),Placer County Water Agency,0,0,0,0,0,
Groundwater Supply Cost ($),Sacramento County Water Agency,0,0,0,0,0,
Groundwater Supply Cost ($),San Juan Water District,0,0,0,0,0,
Groundwater Supply Cost ($),Shasta Contractors,0,0,0,0,0,
Groundwater Supply Cost ($),Solano County Water Agency,0,0,0,0,0,
Groundwater Supply Cost ($),City of Avenal,0,0,0,0,0,
Groundwater Supply Cost ($),City of Coalinga,0,0,0,0,0,
Groundwater Supply Cost ($),City of Fresno,0,0,0,0,0,
Groundwater Supply Cost ($),City of Huron,0,0,0,0,0,
Groundwater Supply Cost ($),City of Lindsay,0,0,0,0,0,
Groundwater Supply Cost ($),City of Orange Cove,0,0,0,0,0,
Groundwater Supply Cost ($),City of Tracy,0,0,0,0,0,
Groundwater Supply Cost ($),Kern County Water Agency Improvement District No 4,0,0,0,0,0,
Groundwater Supply Cost ($),Other Friant-Kern M&I Contractors,0,0,0,0,0,
Groundwater Supply Cost ($),Stockton-East Water District,0,0,0,0,0,
Groundwater Supply Cost ($),"Alameda County Flood Control and Water Conservation District, Zone 7",0,0,0,0,0,
Groundwater Supply Cost ($),Alameda County Water District,0,0,0,0,0,
Groundwater Supply Cost ($),Contra Costa Water District,0,0,0,0,0,
Groundwater Supply Cost ($),East Bay Municipal Utilities District,0,0,0,0,0,
Groundwater Supply Cost ($),"San Benito County Water District, Zone 6",0,0,0,0,0,
