Variable,Contractor,2025,2030,2035,2040,2045,Notes
Surface Water Supply Cost ($/AF),Butte County,0,0,0,0,0,
Surface Water Supply Cost ($/AF),City of Folsom,0,0,0,0,0,
Surface Water Supply Cost ($/AF),City of Redding,0,0,0,0,0,
Surface Water Supply Cost ($/AF),City of Roseville,0,0,0,0,0,
Surface Water Supply Cost ($/AF),City of West Sacramento,0,0,0,0,0,
Surface Water Supply Cost ($/AF),Yuba City,0,0,0,0,0,
Surface Water Supply Cost ($/AF),El Dorado Irrigation District,0,0,0,0,0,
Surface Water Supply Cost ($/AF),Napa County Flood Control & Water Conservation District,0,0,0,0,0,
Surface Water Supply Cost ($/AF),Placer County Water Agency,0,0,0,0,0,
Surface Water Supply Cost ($/AF),Sacramento County Water Agency,0,0,0,0,0,
Surface Water Supply Cost ($/AF),San Juan Water District,0,0,0,0,0,
Surface Water Supply Cost ($/AF),Shasta Contractors,0,0,0,0,0,
Surface Water Supply Cost ($/AF),Solano County Water Agency,0,0,0,0,0,
Surface Water Supply Cost ($/AF),City of Avenal,0,0,0,0,0,
Surface Water Supply Cost ($/AF),City of Coalinga,0,0,0,0,0,
Surface Water Supply Cost ($/AF),City of Fresno,0,0,0,0,0,
Surface Water Supply Cost ($/AF),City of Huron,0,0,0,0,0,
Surface Water Supply Cost ($/AF),City of Lindsay,0,0,0,0,0,
Surface Water Supply Cost ($/AF),City of Orange Cove,0,0,0,0,0,
Surface Water Supply Cost ($/AF),City of Tracy,0,0,0,0,0,
Surface Water Supply Cost ($/AF),Kern County Water Agency Improvement District No 4,0,0,0,0,0,
Surface Water Supply Cost ($/AF),Other Friant-Kern M&I Contractors,0,0,0,0,0,
Surface Water Supply Cost ($/AF),Stockton-East Water District,0,0,0,0,0,
Surface Water Supply Cost ($/AF),"Alameda County Flood Control and Water Conservation District, Zone 7",0,0,0,0,0,
Surface Water Supply Cost ($/AF),Alameda County Water District,0,0,0,0,0,
Surface Water Supply Cost ($/AF),Contra Costa Water District,0,0,0,0,0,
Surface Water Supply Cost ($/AF),East Bay Municipal Utilities District,0,0,0,0,0,
Surface Water Supply Cost ($/AF),"San Benito County Water District, Zone 6",0,0,0,0,0,
Surface Water Supply Cost ($/AF),Santa Clara Valley Water District,0,0,0,0,0,
Surface Water Supply Cost ($/AF),San Luis Obispo County Flood Control & Water Conservation District,0,0,0,0,0,
Surface Water Supply Cost ($/AF),Santa Barbara County Flood Control & Water Conservation District,0,0,0,0,0,
Surface Water Supply Cost ($/AF),Antelope Valley-East Kern Water Agency,0,0,0,0,0,
Surface Water Supply Cost ($/AF),Santa Clarita Water Division,0,0,0,0,0,
Surface Water Supply Cost ($/AF),Coachella Valley Water District,0,0,0,0,0,
Surface Water Supply Cost ($/AF),Crestline-Lake Arrowhead Water Agency,0,0,0,0,0,
Surface Water Supply Cost ($/AF),Desert Water Agency,0,0,0,0,0,
Surface Water Supply Cost ($/AF),Metropolitan Water District of Southern California,0,0,0,0,0,
Surface Water Supply Cost ($/AF),Mojave Water Agency,0,0,0,0,0,
Surface Water Supply Cost ($/AF),Palmdale Water District & Littlerock Creek Irrigation District,0,0,0,0,0,
Surface Water Supply Cost ($/AF),San Bernardino Valley Municipal Water District,0,0,0,0,0,
Surface Water Supply Cost ($/AF),San Gabriel Valley Municipal Water District,0,0,0,0,0,
Surface Water Supply Cost ($/AF),San Gorgonio Pass Water Agency,0,0,0,0,0,
Surface Water Supply Cost ($/AF),Ventura County Watershed Protection District,0,0,0,0,0,
Groundwater Supply Cost ($/AF),Butte County,224.1716944,268.5097542,284.0437333,300.4763931,312.6424296,
Groundwater Supply Cost ($/AF),City of Folsom,224.1716944,268.5097542,284.0437333,300.4763931,312.6424296,
Groundwater Supply Cost ($/AF),City of Redding,224.1716944,268.5097542,284.0437333,300.4763931,312.6424296,
Groundwater Supply Cost ($/AF),City of Roseville,224.1716944,268.5097542,284.0437333,300.4763931,312.6424296,
Groundwater Supply Cost ($/AF),City of West Sacramento,224.1716944,268.5097542,284.0437333,300.4763931,312.6424296,
Groundwater Supply Cost ($/AF),Yuba City,224.1716944,268.5097542,284.0437333,300.4763931,312.6424296,
Groundwater Supply Cost ($/AF),El Dorado Irrigation District,224.1716944,268.5097542,284.0437333,300.4763931,312.6424296,
Groundwater Supply Cost ($/AF),Napa County Flood Control & Water Conservation District,224.1716944,268.5097542,284.0437333,300.4763931,312.6424296,
Groundwater Supply Cost ($/AF),Placer County Water Agency,224.1716944,268.5097542,284.0437333,300.4763931,312.6424296,
Groundwater Supply Cost ($/AF),Sacramento County Water Agency,224.1716944,268.5097542,284.0437333,300.4763931,312.6424296,
Groundwater Supply Cost ($/AF),San Juan Water District,224.1716944,268.5097542,284.0437333,300.4763931,312.6424296,
Groundwater Supply Cost ($/AF),Shasta Contractors,224.1716944,268.5097542,284.0437333,300.4763931,312.6424296,
Groundwater Supply Cost ($/AF),Solano County Water Agency,224.1716944,268.5097542,284.0437333,300.4763931,312.6424296,
Groundwater Supply Cost ($/AF),City of Avenal,224.1716944,268.5097542,284.0437333,300.4763931,312.6424296,
Groundwater Supply Cost ($/AF),City of Coalinga,224.1716944,268.5097542,284.0437333,300.4763931,312.6424296,
