Variable,Contractor,2025,2030,2035,2040,2045,Notes
Surface Water Supply Volume (AFY),Butte County,0,0,0,0,0,
Surface Water Supply Volume (AFY),City of Folsom,0,0,0,0,0,
Surface Water Supply Volume (AFY),City of Redding,0,0,0,0,0,
Surface Water Supply Volume (AFY),City of Roseville,0,0,0,0,0,
Surface Water Supply Volume (AFY),City of West Sacramento,0,0,0,0,0,
Surface Water Supply Volume (AFY),Yuba City,0,0,0,0,0,
Surface Water Supply Volume (AFY),El Dorado Irrigation District,0,0,0,0,0,
Surface Water Supply Volume (AFY),Napa County Flood Control & Water Conservation District,0,0,0,0,0,
Surface Water Supply Volume (AFY),Placer County Water Agency,0,0,0,0,0,
Surface Water Supply Volume (AFY),Sacramento County Water Agency,0,56000,56000,56000,56000,
Surface Water Supply Volume (AFY),San Juan Water District,0,0,0,0,0,
Surface Water Supply Volume (AFY),Shasta Contractors,0,0,0,0,0,
Surface Water Supply Volume (AFY),Solano County Water Agency,0,0,0,0,0,
Surface Water Supply Volume (AFY),City of Avenal,0,0,0,0,0,
Surface Water Supply Volume (AFY),City of Coalinga,0,0,0,0,0,
Surface Water Supply Volume (AFY),City of Fresno,0,62700,62700,62700,62700,
Surface Water Supply Volume (AFY),City of Huron,0,0,0,0,0,
Surface Water Supply Volume (AFY),City of Lindsay,0,0,0,0,0,
Surface Water Supply Volume (AFY),City of Orange Cove,0,0,0,0,0,
Surface Water Supply Volume (AFY),City of Tracy,0,0,0,0,0,
Surface Water Supply Volume (AFY),Kern County Water Agency Improvement District No 4,0,0,0,0,0,
Surface Water Supply Volume (AFY),Other Friant-Kern M&I Contractors,0,0,0,0,0,
Surface Water Supply Volume (AFY),Stockton-East Water District,0,22100,22100,22100,22100,
Surface Water Supply Volume (AFY),"Alameda County Flood Control and Water Conservation District, Zone 7",0,0,0,0,0,
Surface Water Supply Volume (AFY),Alameda County Water District,0,0,0,0,0,
Surface Water Supply Volume (AFY),Contra Costa Water District,0,0,0,0,0,
Surface Water Supply Volume (AFY),East Bay Municipal Utilities District,0,0,0,0,0,
Surface Water Supply Volume (AFY),"San Benito County Water District, Zone 6",0,0,0,0,0,
Surface Water Supply Volume (AFY),Santa Clara Valley Water District,0,0,17440,17440,17440,
Surface Water Supply Volume (AFY),San Luis Obispo County Flood Control & Water Conservation District,0,0,0,0,0,
Surface Water Supply Volume (AFY),Santa Barbara County Flood Control & Water Conservation District,0,0,0,0,0,
Surface Water Supply Volume (AFY),Antelope Valley-East Kern Water Agency,0,0,0,0,0,
Surface Water Supply Volume (AFY),Santa Clarita Water Division,0,0,0,0,0,
Surface Water Supply Volume (AFY),Coachella Valley Water District,0,0,0,0,0,
Surface Water Supply Volume (AFY),Crestline-Lake Arrowhead Water Agency,0,0,0,0,0,
Surface Water Supply Volume (AFY),Desert Water Agency,0,0,0,0,0,
Surface Water Supply Volume (AFY),Metropolitan Water District of Southern California,0,0,0,0,0,
Surface Water Supply Volume (AFY),Mojave Water Agency,0,0,0,0,0,
Surface Water Supply Volume (AFY),Palmdale Water District & Littlerock Creek Irrigation District,0,0,0,0,0,
Surface Water Supply Volume (AFY),San Bernardino Valley Municipal Water District,0,0,0,0,0,
Surface Water Supply Volume (AFY),San Gabriel Valley Municipal Water District,0,0,0,0,0,
Surface Water Supply Volume (AFY),San Gorgonio Pass Water Agency,0,0,0,0,0,
Surface Water Supply Volume (AFY),Ventura County Watershed Protection District,0,0,0,0,0,
Groundwater Supply Volume (AFY),Butte County,0,0,0,0,0,
Groundwater Supply Volume (AFY),City of Folsom,0,0,0,0,0,
Groundwater Supply Volume (AFY),City of Redding,1000,1000,1000,1000,1000,
Groundwater Supply Volume (AFY),City of Roseville,0,0,14431,14431,14431,
Groundwater Supply Volume (AFY),City of West Sacramento,0,0,0,0,0,
Groundwater Supply Volume (AFY),Yuba City,1000,1000,1000,1000,1000,
Groundwater Supply Volume (AFY),El Dorado Irrigation District,0,0,0,0,0,
Groundwater Supply Volume (AFY),Napa County Flood Control & Water Conservation District,0,0,0,0,0,
Groundwater Supply Volume (AFY),Placer County Water Agency,0,0,0,0,0,
Groundwater Supply Volume (AFY),Sacramento County Water Agency,1000,1000,1000,1000,1000,
Groundwater Supply Volume (AFY),San Juan Water District,1000,1000,1000,1000,1000,
Groundwater Supply Volume (AFY),Shasta Contractors,0,0,0,0,0,
Groundwater Supply Volume (AFY),Solano County Water Agency,0,0,0,0,0,
Groundwater Supply Volume (AFY),City of Avenal,0,0,0,0,0,
Groundwater Supply Volume (AFY),City of Coalinga,0,0,0,0,0,
Groundwater Supply Volume (AFY),City of Fresno,540,540,540,540,540,
Groundwater Supply Volume (AFY),City of Huron,0,0,0,0,0,
Groundwater Supply Volume (AFY),City of Lindsay,0,0,0,0,0,
Groundwater Supply Volume (AFY),City of Orange Cove,0,0,0,0,0,
Groundwater Supply Volume (AFY),City of Tracy,0,0,0,0,0,
Groundwater Supply Volume (AFY),Kern County Water Agency Improvement District No 4,850,850,850,850,850,
Groundwater Supply Volume (AFY),Other Friant-Kern M&I Contractors,0,0,0,0,0,
Groundwater Supply Volume (AFY),Stockton-East Water District,2400,32400,32400,32400,32400,
Groundwater Supply Volume (AFY),"Alameda County Flood Control and Water Conservation District, Zone 7",0,0,0,0,0,
Groundwater Supply Volume (AFY),Alameda County Water District,0,0,0,0,0,
Groundwater Supply Volume (AFY),Contra Costa Water District,0,0,0,0,0,
Groundwater Supply Volume (AFY),East Bay Municipal Utilities District,0,0,0,0,0,
Groundwater Supply Volume (AFY),"San Benito County Water District, Zone 6",4000,4000,4000,4000,4000,
Groundwater Supply Volume (AFY),Santa Clara Valley Water District,0,0,0,0,0,
Groundwater Supply Volume (AFY),San Luis Obispo County Flood Control & Water Conservation District,0,0,0,0,0,
Groundwater Supply Volume (AFY),Santa Barbara County Flood Control & Water Conservation District,0,0,0,0,0,
Groundwater Supply Volume (AFY),Antelope Valley-East Kern Water Agency,0,0,0,0,0,
Groundwater Supply Volume (AFY),Santa Clarita Water Division,0,0,0,0,0,
Groundwater Supply Volume (AFY),Coachella Valley Water District,0,0,0,0,0,
Groundwater Supply Volume (AFY),Crestline-Lake Arrowhead Water Agency,0,0,0,0,0,
Groundwater Supply Volume (AFY),Desert Water Agency,0,0,0,0,0,
Groundwater Supply Volume (AFY),Metropolitan Water District of Southern California,250000,500000,500000,500000,500000,
Groundwater Supply Volume (AFY),Mojave Water Agency,0,0,0,0,0,
Groundwater Supply Volume (AFY),Palmdale Water District & Littlerock Creek Irrigation District,0,0,0,0,0,
Groundwater Supply Volume (AFY),San Bernardino Valley Municipal Water District,29512,29512,29512,29512,29512,
Groundwater Supply Volume (AFY),San Gabriel Valley Municipal Water District,0,0,0,0,0,
Groundwater Supply Volume (AFY),San Gorgonio Pass Water Agency,0,0,0,0,0,
Groundwater Supply Volume (AFY),Ventura County Watershed Protection District,0,0,0,0,0,
Desalination Supply Volume (AFY),Butte County,0,0,0,0,0,
Desalination Supply Volume (AFY),City of Folsom,0,0,0,0,0,
