Supply,Study Region,Contractor,2025,2030,2035,2040,2045,Notes,Supply Type
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,City of Folsom,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,City of Redding,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,City of Roseville,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,City of West Sacramento,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,Yuba City,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,El Dorado Irrigation District,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,Placer County Water Agency,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,Sacramento County Water Agency,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,San Juan Water District,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,Shasta Contractors,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Central Valley - Sacramento Valley,Solano County Water Agency,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Avenal,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Coalinga,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Fresno,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Huron,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Lindsay,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Orange Cove,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Tracy,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Central Valley - San Joaquin Valley,Kern County Water Agency,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Central Valley - San Joaquin Valley,Stockton-East Water District,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),San Francisco Bay Area,Alameda County Water District,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),San Francisco Bay Area,Contra Costa Water District,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),San Francisco Bay Area,East Bay Municipal Utilities District,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),San Francisco Bay Area,"San Benito County Water District, Zone 6",2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),San Francisco Bay Area,Santa Clara Valley Water District,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Central Coast,Santa Barbara County Flood Control & Water Conservation District,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Southern California,Antelope Valley-East Kern Water Agency,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Southern California,Santa Clarita Water Division,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Southern California,Coachella Valley Water District,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Southern California,Crestline-Lake Arrowhead Water Agency,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Southern California,Desert Water Agency,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Southern California,Metropolitan Water District of Southern California,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Southern California,Mojave Water Agency,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Southern California,San Bernardino Valley Municipal Water District,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Southern California,San Gabriel Valley Municipal Water District,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Southern California,San Gorgonio Pass Water Agency,2,2,2,2,2,,Potable Reuse
Normal or Better Year (acre-feet/year),Southern California,Ventura County Watershed Protection District,2,2,2,2,2,,Potable Reuse
Single Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,City of Folsom,2,2,2,2,2,,Potable Reuse
Single Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,City of Redding,2,2,2,2,2,,Potable Reuse
Single Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,City of Roseville,2,2,2,2,2,,Potable Reuse
Single Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,City of West Sacramento,2,2,2,2,2,,Potable Reuse
Single Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,Yuba City,2,2,2,2,2,,Potable Reuse
Single Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,El Dorado Irrigation District,2,2,2,2,2,,Potable Reuse
Single Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,2,2,2,2,2,,Potable Reuse
Single Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,Placer County Water Agency,2,2,2,2,2,,Potable Reuse
Single Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,Sacramento County Water Agency,2,2,2,2,2,,Potable Reuse
Single Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,San Juan Water District,2,2,2,2,2,,Potable Reuse
