Conservation,Study Region,Contractor,2025,2030,2035,2040,2045,Notes
Interior use cut ratio (%),Central Valley - Sacramento Valley,City of Folsom,64,64,64,64,64,
Interior use cut ratio (%),Central Valley - Sacramento Valley,City of Redding,64,64,64,64,64,
Interior use cut ratio (%),Central Valley - Sacramento Valley,City of Roseville,64,64,64,64,64,
Interior use cut ratio (%),Central Valley - Sacramento Valley,City of West Sacramento,64,64,64,64,64,
Interior use cut ratio (%),Central Valley - Sacramento Valley,Yuba City,64,64,64,64,64,
Interior use cut ratio (%),Central Valley - Sacramento Valley,El Dorado Irrigation District,64,64,64,64,64,
Interior use cut ratio (%),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,64,64,64,64,64,
Interior use cut ratio (%),Central Valley - Sacramento Valley,Placer County Water Agency,64,64,64,64,64,
Interior use cut ratio (%),Central Valley - Sacramento Valley,Sacramento County Water Agency,64,64,64,64,64,
Interior use cut ratio (%),Central Valley - Sacramento Valley,San Juan Water District,64,64,64,64,64,
Interior use cut ratio (%),Central Valley - Sacramento Valley,Shasta Contractors,64,64,64,64,64,
Interior use cut ratio (%),Central Valley - Sacramento Valley,Solano County Water Agency,64,64,64,64,64,
Interior use cut ratio (%),Central Valley - San Joaquin Valley,City of Avenal,64,64,64,64,64,
Interior use cut ratio (%),Central Valley - San Joaquin Valley,City of Coalinga,64,64,64,64,64,
Interior use cut ratio (%),Central Valley - San Joaquin Valley,City of Fresno,64,64,64,64,64,
Interior use cut ratio (%),Central Valley - San Joaquin Valley,City of Huron,64,64,64,64,64,
Interior use cut ratio (%),Central Valley - San Joaquin Valley,City of Lindsay,64,64,64,64,64,
Interior use cut ratio (%),Central Valley - San Joaquin Valley,City of Orange Cove,64,64,64,64,64,
Interior use cut ratio (%),Central Valley - San Joaquin Valley,City of Tracy,64,64,64,64,64,
Interior use cut ratio (%),Central Valley - San Joaquin Valley,Kern County Water Agency,64,64,64,64,64,
Interior use cut ratio (%),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,64,64,64,64,64,
Interior use cut ratio (%),Central Valley - San Joaquin Valley,Stockton-East Water District,64,64,64,64,64,
Interior use cut ratio (%),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",64,64,64,64,64,
Interior use cut ratio (%),San Francisco Bay Area,Alameda County Water District,64,64,64,64,64,
Interior use cut ratio (%),San Francisco Bay Area,Contra Costa Water District,64,64,64,64,64,
Interior use cut ratio (%),San Francisco Bay Area,East Bay Municipal Utilities District,64,64,64,64,64,
Interior use cut ratio (%),San Francisco Bay Area,"San Benito County Water District, Zone 6",64,64,64,64,64,
Interior use cut ratio (%),San Francisco Bay Area,Santa Clara Valley Water District,64,64,64,64,64,
Interior use cut ratio (%),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,64,64,64,64,64,
Interior use cut ratio (%),Central Coast,Santa Barbara County Flood Control & Water Conservation District,64,64,64,64,64,
Interior use cut ratio (%),Southern California,Antelope Valley-East Kern Water Agency,64,64,64,64,64,
Interior use cut ratio (%),Southern California,Santa Clarita Water Division,64,64,64,64,64,
Interior use cut ratio (%),Southern California,Coachella Valley Water District,64,64,64,64,64,
Interior use cut ratio (%),Southern California,Crestline-Lake Arrowhead Water Agency,64,64,64,64,64,
Interior use cut ratio (%),Southern California,Desert Water Agency,64,64,64,64,64,
Interior use cut ratio (%),Southern California,Metropolitan Water District of Southern California,64,64,64,64,64,
Interior use cut ratio (%),Southern California,Mojave Water Agency,64,64,64,64,64,
Interior use cut ratio (%),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,64,64,64,64,64,
Interior use cut ratio (%),Southern California,San Bernardino Valley Municipal Water District,64,64,64,64,64,
Interior use cut ratio (%),Southern California,San Gabriel Valley Municipal Water District,64,64,64,64,64,
Interior use cut ratio (%),Southern California,San Gorgonio Pass Water Agency,64,64,64,64,64,
Interior use cut ratio (%),Southern California,Ventura County Watershed Protection District,64,64,64,64,64,
Single-family residential customer cut ratio (%),Central Valley - Sacramento Valley,City of Folsom,60,60,60,60,60,
Single-family residential customer cut ratio (%),Central Valley - Sacramento Valley,City of Redding,60,60,60,60,60,
Single-family residential customer cut ratio (%),Central Valley - Sacramento Valley,City of Roseville,60,60,60,60,60,
Single-family residential customer cut ratio (%),Central Valley - Sacramento Valley,City of West Sacramento,60,60,60,60,60,
Single-family residential customer cut ratio (%),Central Valley - Sacramento Valley,Yuba City,60,60,60,60,60,
Single-family residential customer cut ratio (%),Central Valley - Sacramento Valley,El Dorado Irrigation District,60,60,60,60,60,
Single-family residential customer cut ratio (%),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,60,60,60,60,60,
Single-family residential customer cut ratio (%),Central Valley - Sacramento Valley,Placer County Water Agency,60,60,60,60,60,
Single-family residential customer cut ratio (%),Central Valley - Sacramento Valley,Sacramento County Water Agency,60,60,60,60,60,
Single-family residential customer cut ratio (%),Central Valley - Sacramento Valley,San Juan Water District,60,60,60,60,60,
Single-family residential customer cut ratio (%),Central Valley - Sacramento Valley,Shasta Contractors,60,60,60,60,60,
Single-family residential customer cut ratio (%),Central Valley - Sacramento Valley,Solano County Water Agency,60,60,60,60,60,
Single-family residential customer cut ratio (%),Central Valley - San Joaquin Valley,City of Avenal,60,60,60,60,60,
Single-family residential customer cut ratio (%),Central Valley - San Joaquin Valley,City of Coalinga,60,60,60,60,60,
Single-family residential customer cut ratio (%),Central Valley - San Joaquin Valley,City of Fresno,60,60,60,60,60,
Single-family residential customer cut ratio (%),Central Valley - San Joaquin Valley,City of Huron,60,60,60,60,60,
Single-family residential customer cut ratio (%),Central Valley - San Joaquin Valley,City of Lindsay,60,60,60,60,60,
Single-family residential customer cut ratio (%),Central Valley - San Joaquin Valley,City of Orange Cove,60,60,60,60,60,
Single-family residential customer cut ratio (%),Central Valley - San Joaquin Valley,City of Tracy,60,60,60,60,60,
Single-family residential customer cut ratio (%),Central Valley - San Joaquin Valley,Kern County Water Agency,60,60,60,60,60,
Single-family residential customer cut ratio (%),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,60,60,60,60,60,
Single-family residential customer cut ratio (%),Central Valley - San Joaquin Valley,Stockton-East Water District,60,60,60,60,60,
Single-family residential customer cut ratio (%),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",60,60,60,60,60,
Single-family residential customer cut ratio (%),San Francisco Bay Area,Alameda County Water District,60,60,60,60,60,
