,Type,Study Region,Contractor,Year,Value,k_labels,colors
0,Interior use cut ratio (%),Central Valley - Sacramento Valley,City of Folsom,2025,64,7,#9FE2BF
1,Interior use cut ratio (%),Central Valley - Sacramento Valley,City of Redding,2025,64,7,#9FE2BF
2,Interior use cut ratio (%),Central Valley - Sacramento Valley,City of Roseville,2025,64,7,#9FE2BF
3,Interior use cut ratio (%),Central Valley - Sacramento Valley,City of West Sacramento,2025,64,7,#9FE2BF
4,Interior use cut ratio (%),Central Valley - Sacramento Valley,Yuba City,2025,64,7,#9FE2BF
5,Interior use cut ratio (%),Central Valley - Sacramento Valley,El Dorado Irrigation District,2025,64,7,#9FE2BF
6,Interior use cut ratio (%),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,2025,64,7,#9FE2BF
7,Interior use cut ratio (%),Central Valley - Sacramento Valley,Placer County Water Agency,2025,64,7,#9FE2BF
8,Interior use cut ratio (%),Central Valley - Sacramento Valley,Sacramento County Water Agency,2025,64,7,#9FE2BF
9,Interior use cut ratio (%),Central Valley - Sacramento Valley,San Juan Water District,2025,64,7,#9FE2BF
10,Interior use cut ratio (%),Central Valley - Sacramento Valley,Shasta Contractors,2025,64,7,#9FE2BF
11,Interior use cut ratio (%),Central Valley - Sacramento Valley,Solano County Water Agency,2025,64,7,#9FE2BF
12,Interior use cut ratio (%),Central Valley - San Joaquin Valley,City of Avenal,2025,64,7,#9FE2BF
13,Interior use cut ratio (%),Central Valley - San Joaquin Valley,City of Coalinga,2025,64,7,#9FE2BF
14,Interior use cut ratio (%),Central Valley - San Joaquin Valley,City of Fresno,2025,64,7,#9FE2BF
15,Interior use cut ratio (%),Central Valley - San Joaquin Valley,City of Huron,2025,64,7,#9FE2BF
16,Interior use cut ratio (%),Central Valley - San Joaquin Valley,City of Lindsay,2025,64,7,#9FE2BF
17,Interior use cut ratio (%),Central Valley - San Joaquin Valley,City of Orange Cove,2025,64,7,#9FE2BF
18,Interior use cut ratio (%),Central Valley - San Joaquin Valley,City of Tracy,2025,64,7,#9FE2BF
19,Interior use cut ratio (%),Central Valley - San Joaquin Valley,Kern County Water Agency,2025,64,7,#9FE2BF
20,Interior use cut ratio (%),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,2025,64,7,#9FE2BF
21,Interior use cut ratio (%),Central Valley - San Joaquin Valley,Stockton-East Water District,2025,64,7,#9FE2BF
22,Interior use cut ratio (%),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",2025,64,7,#9FE2BF
23,Interior use cut ratio (%),San Francisco Bay Area,Alameda County Water District,2025,64,7,#9FE2BF
24,Interior use cut ratio (%),San Francisco Bay Area,Contra Costa Water District,2025,64,7,#9FE2BF
25,Interior use cut ratio (%),San Francisco Bay Area,East Bay Municipal Utilities District,2025,64,7,#9FE2BF
26,Interior use cut ratio (%),San Francisco Bay Area,"San Benito County Water District, Zone 6",2025,64,7,#9FE2BF
27,Interior use cut ratio (%),San Francisco Bay Area,Santa Clara Valley Water District,2025,64,7,#9FE2BF
28,Interior use cut ratio (%),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,2025,64,7,#9FE2BF
29,Interior use cut ratio (%),Central Coast,Santa Barbara County Flood Control & Water Conservation District,2025,64,7,#9FE2BF
30,Interior use cut ratio (%),Southern California,Antelope Valley-East Kern Water Agency,2025,64,7,#9FE2BF
31,Interior use cut ratio (%),Southern California,Santa Clarita Water Division,2025,64,7,#9FE2BF
