Type,Study Region,Contractor,2025,2030,2035,2040,2045
Reuse from Applied Exterior Urban Water,Central Valley - Sacramento Valley,City of Folsom,1,1,1,1,1
Reuse from Applied Exterior Urban Water,Central Valley - Sacramento Valley,City of Redding,1,1,1,1,1
Reuse from Applied Exterior Urban Water,Central Valley - Sacramento Valley,City of Roseville,1,1,1,1,1
Reuse from Applied Exterior Urban Water,Central Valley - Sacramento Valley,City of West Sacramento,1,1,1,1,1
Reuse from Applied Exterior Urban Water,Central Valley - Sacramento Valley,Yuba City,1,1,1,1,1
Reuse from Applied Exterior Urban Water,Central Valley - Sacramento Valley,El Dorado Irrigation District,1,1,1,1,1
Reuse from Applied Exterior Urban Water,Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,1,1,1,1,1
Reuse from Applied Exterior Urban Water,Central Valley - Sacramento Valley,Placer County Water Agency,1,1,1,1,1
Reuse from Applied Exterior Urban Water,Central Valley - Sacramento Valley,Sacramento County Water Agency,1,1,1,1,1
Reuse from Applied Exterior Urban Water,Central Valley - Sacramento Valley,San Juan Water District,1,1,1,1,1
Reuse from Applied Exterior Urban Water,Central Valley - Sacramento Valley,Shasta Contractors,1,1,1,1,1
Reuse from Applied Exterior Urban Water,Central Valley - Sacramento Valley,Solano County Water Agency,1,1,1,1,1
Reuse from Applied Exterior Urban Water,Central Valley - San Joaquin Valley,City of Avenal,1,1,1,1,1
Reuse from Applied Exterior Urban Water,Central Valley - San Joaquin Valley,City of Coalinga,1,1,1,1,1
Reuse from Applied Exterior Urban Water,Central Valley - San Joaquin Valley,City of Fresno,1,1,1,1,1
Reuse from Applied Exterior Urban Water,Central Valley - San Joaquin Valley,City of Huron,1,1,1,1,1
Reuse from Applied Exterior Urban Water,Central Valley - San Joaquin Valley,City of Lindsay,1,1,1,1,1
Reuse from Applied Exterior Urban Water,Central Valley - San Joaquin Valley,City of Orange Cove,1,1,1,1,1
Reuse from Applied Exterior Urban Water,Central Valley - San Joaquin Valley,City of Tracy,1,1,1,1,1
Reuse from Applied Exterior Urban Water,Central Valley - San Joaquin Valley,Kern County Water Agency,1,1,1,1,1
Reuse from Applied Exterior Urban Water,Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,1,1,1,1,1
Reuse from Applied Exterior Urban Water,Central Valley - San Joaquin Valley,Stockton-East Water District,1,1,1,1,1
