,Type,Study Region,Contractor,Year,Value,k_labels,colors
0,Reuse from Applied Exterior Urban Water,Central Valley - Sacramento Valley,City of Folsom,2025,1,12,#000080
1,Reuse from Applied Exterior Urban Water,Central Valley - Sacramento Valley,City of Redding,2025,1,12,#000080
2,Reuse from Applied Exterior Urban Water,Central Valley - Sacramento Valley,City of Roseville,2025,1,12,#000080
3,Reuse from Applied Exterior Urban Water,Central Valley - Sacramento Valley,City of West Sacramento,2025,1,12,#000080
4,Reuse from Applied Exterior Urban Water,Central Valley - Sacramento Valley,Yuba City,2025,1,12,#000080
5,Reuse from Applied Exterior Urban Water,Central Valley - Sacramento Valley,El Dorado Irrigation District,2025,1,12,#000080
6,Reuse from Applied Exterior Urban Water,Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,2025,1,12,#000080
7,Reuse from Applied Exterior Urban Water,Central Valley - Sacramento Valley,Placer County Water Agency,2025,1,12,#000080
8,Reuse from Applied Exterior Urban Water,Central Valley - Sacramento Valley,Sacramento County Water Agency,2025,1,12,#000080
9,Reuse from Applied Exterior Urban Water,Central Valley - Sacramento Valley,San Juan Water District,2025,1,12,#000080
10,Reuse from Applied Exterior Urban Water,Central Valley - Sacramento Valley,Shasta Contractors,2025,1,12,#000080
11,Reuse from Applied Exterior Urban Water,Central Valley - Sacramento Valley,Solano County Water Agency,2025,1,12,#000080
12,Reuse from Applied Exterior Urban Water,Central Valley - San Joaquin Valley,City of Avenal,2025,1,12,#000080
13,Reuse from Applied Exterior Urban Water,Central Valley - San Joaquin Valley,City of Coalinga,2025,1,12,#000080
14,Reuse from Applied Exterior Urban Water,Central Valley - San Joaquin Valley,City of Fresno,2025,1,12,#000080
15,Reuse from Applied Exterior Urban Water,Central Valley - San Joaquin Valley,City of Huron,2025,1,12,#000080
16,Reuse from Applied Exterior Urban Water,Central Valley - San Joaquin Valley,City of Lindsay,2025,1,12,#000080
17,Reuse from Applied Exterior Urban Water,Central Valley - San Joaquin Valley,City of Orange Cove,2025,1,12,#000080
18,Reuse from Applied Exterior Urban Water,Central Valley - San Joaquin Valley,City of Tracy,2025,1,12,#000080
19,Reuse from Applied Exterior Urban Water,Central Valley - San Joaquin Valley,Kern County Water Agency,2025,1,12,#000080
20,Reuse from Applied Exterior Urban Water,Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,2025,1,12,#000080
21,Reuse from Applied Exterior Urban Water,Central Valley - San Joaquin Valley,Stockton-East Water District,2025,1,12,#000080
22,Reuse from Applied Exterior Urban Water,San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",2025,1,12,#000080
23,Reuse from Applied Exterior Urban Water,San Francisco Bay Area,Alameda County Water District,2025,1,12,#000080
24,Reuse from Applied Exterior Urban Water,San Francisco Bay Area,Contra Costa Water District,2025,1,12,#000080
