Variable,Contractor,2025,2030,2035,2040,2045,Notes
Desalination,City of Folsom,3,3,3,3,3,
Desalination,City of Redding,3,3,3,3,3,
Desalination,City of Roseville,3,3,3,3,3,
Desalination,City of West Sacramento,3,3,3,3,3,
Desalination,Yuba City,3,3,3,3,3,
Desalination,El Dorado Irrigation District,3,3,3,3,3,
Desalination,Napa County Flood Control & Water Conservation District,3,3,3,3,3,
Desalination,Placer County Water Agency,3,3,3,3,3,
Desalination,Sacramento County Water Agency,3,3,3,3,3,
Desalination,San Juan Water District,3,3,3,3,3,
Desalination,Shasta Contractors,3,3,3,3,3,
Desalination,Solano County Water Agency,3,3,3,3,3,
Desalination,City of Avenal,3,3,3,3,3,
Desalination,City of Coalinga,3,3,3,3,3,
Desalination,City of Fresno,3,3,3,3,3,
Desalination,City of Huron,3,3,3,3,3,
Desalination,City of Lindsay,3,3,3,3,3,
Desalination,City of Orange Cove,3,3,3,3,3,
Desalination,City of Tracy,3,3,3,3,3,
Desalination,Kern County Water Agency,3,3,3,3,3,
Desalination,Other Friant-Kern M&I Contractors,3,3,3,3,3,
Desalination,Stockton-East Water District,3,3,3,3,3,
Desalination,"Alameda County Flood Control and Water Conservation District, Zone 7",3,3,3,3,3,
Desalination,Alameda County Water District,3,3,3,3,3,
Desalination,Contra Costa Water District,3,3,3,3,3,
Desalination,East Bay Municipal Utilities District,3,3,3,3,3,
Desalination,"San Benito County Water District, Zone 6",3,3,3,3,3,
Desalination,Santa Clara Valley Water District,3,3,3,3,3,
Desalination,San Luis Obispo County Flood Control & Water Conservation District,3,3,3,3,3,
Desalination,Santa Barbara County Flood Control & Water Conservation District,3,3,3,3,3,
Desalination,Antelope Valley-East Kern Water Agency,3,3,3,3,3,
Desalination,Santa Clarita Water Division,3,3,3,3,3,
Desalination,Coachella Valley Water District,3,3,3,3,3,
Desalination,Crestline-Lake Arrowhead Water Agency,3,3,3,3,3,
Desalination,Desert Water Agency,3,3,3,3,3,
Desalination,Metropolitan Water District of Southern California,3,3,3,3,3,
Desalination,Mojave Water Agency,3,3,3,3,3,
Desalination,Palmdale Water District & Littlerock Creek Irrigation District,3,3,3,3,3,
Desalination,San Bernardino Valley Municipal Water District,3,3,3,3,3,
Desalination,San Gabriel Valley Municipal Water District,3,3,3,3,3,
Desalination,San Gorgonio Pass Water Agency,3,3,3,3,3,
Desalination,Ventura County Watershed Protection District,3,3,3,3,3,
