Variable,Contractor,2025,2030,2035,2040,2045,Notes
Groundwater Supply,City of Folsom,1,1,1,1,1,
Groundwater Supply,City of Redding,1,1,1,1,1,
Groundwater Supply,City of Roseville,1,1,1,1,1,
Groundwater Supply,City of West Sacramento,1,1,1,1,1,
Groundwater Supply,Yuba City,1,1,1,1,1,
Groundwater Supply,El Dorado Irrigation District,1,1,1,1,1,
Groundwater Supply,Napa County Flood Control & Water Conservation District,1,1,1,1,1,
Groundwater Supply,Placer County Water Agency,1,1,1,1,1,
Groundwater Supply,Sacramento County Water Agency,1,1,1,1,1,
Groundwater Supply,San Juan Water District,1,1,1,1,1,
Groundwater Supply,Shasta Contractors,1,1,1,1,1,
Groundwater Supply,Solano County Water Agency,1,1,1,1,1,
Groundwater Supply,City of Avenal,1,1,1,1,1,
Groundwater Supply,City of Coalinga,1,1,1,1,1,
Groundwater Supply,City of Fresno,1,1,1,1,1,
Groundwater Supply,City of Huron,1,1,1,1,1,
Groundwater Supply,City of Lindsay,1,1,1,1,1,
Groundwater Supply,City of Orange Cove,1,1,1,1,1,
Groundwater Supply,City of Tracy,1,1,1,1,1,
Groundwater Supply,Kern County Water Agency,1,1,1,1,1,
Groundwater Supply,Other Friant-Kern M&I Contractors,1,1,1,1,1,
Groundwater Supply,Stockton-East Water District,1,1,1,1,1,
Groundwater Supply,"Alameda County Flood Control and Water Conservation District, Zone 7",1,1,1,1,1,
Groundwater Supply,Alameda County Water District,1,1,1,1,1,
Groundwater Supply,Contra Costa Water District,1,1,1,1,1,
Groundwater Supply,East Bay Municipal Utilities District,1,1,1,1,1,
Groundwater Supply,"San Benito County Water District, Zone 6",1,1,1,1,1,
Groundwater Supply,Santa Clara Valley Water District,1,1,1,1,1,
Groundwater Supply,San Luis Obispo County Flood Control & Water Conservation District,1,1,1,1,1,
Groundwater Supply,Santa Barbara County Flood Control & Water Conservation District,1,1,1,1,1,
Groundwater Supply,Antelope Valley-East Kern Water Agency,1,1,1,1,1,
Groundwater Supply,Santa Clarita Water Division,1,1,1,1,1,
Groundwater Supply,Coachella Valley Water District,1,1,1,1,1,
Groundwater Supply,Crestline-Lake Arrowhead Water Agency,1,1,1,1,1,
Groundwater Supply,Desert Water Agency,1,1,1,1,1,
Groundwater Supply,Metropolitan Water District of Southern California,1,1,1,1,1,
Groundwater Supply,Mojave Water Agency,1,1,1,1,1,
Groundwater Supply,Palmdale Water District & Littlerock Creek Irrigation District,1,1,1,1,1,
Groundwater Supply,San Bernardino Valley Municipal Water District,1,1,1,1,1,
Groundwater Supply,San Gabriel Valley Municipal Water District,1,1,1,1,1,
Groundwater Supply,San Gorgonio Pass Water Agency,1,1,1,1,1,
Groundwater Supply,Ventura County Watershed Protection District,1,1,1,1,1,
