Variable,Contractor,2025,2030,2035,2040,2045,Notes
Other Imported,City of Folsom,6,6,6,6,6,
Other Imported,City of Redding,6,6,6,6,6,
Other Imported,City of Roseville,6,6,6,6,6,
Other Imported,City of West Sacramento,6,6,6,6,6,
Other Imported,Yuba City,6,6,6,6,6,
Other Imported,El Dorado Irrigation District,6,6,6,6,6,
Other Imported,Napa County Flood Control & Water Conservation District,6,6,6,6,6,
Other Imported,Placer County Water Agency,6,6,6,6,6,
Other Imported,Sacramento County Water Agency,6,6,6,6,6,
Other Imported,San Juan Water District,6,6,6,6,6,
Other Imported,Shasta Contractors,6,6,6,6,6,
Other Imported,Solano County Water Agency,6,6,6,6,6,
Other Imported,City of Avenal,6,6,6,6,6,
Other Imported,City of Coalinga,6,6,6,6,6,
Other Imported,City of Fresno,6,6,6,6,6,
Other Imported,City of Huron,6,6,6,6,6,
Other Imported,City of Lindsay,6,6,6,6,6,
Other Imported,City of Orange Cove,6,6,6,6,6,
Other Imported,City of Tracy,6,6,6,6,6,
Other Imported,Kern County Water Agency,6,6,6,6,6,
Other Imported,Other Friant-Kern M&I Contractors,6,6,6,6,6,
Other Imported,Stockton-East Water District,6,6,6,6,6,
Other Imported,"Alameda County Flood Control and Water Conservation District, Zone 7",6,6,6,6,6,
Other Imported,Alameda County Water District,6,6,6,6,6,
Other Imported,Contra Costa Water District,6,6,6,6,6,
Other Imported,East Bay Municipal Utilities District,6,6,6,6,6,
Other Imported,"San Benito County Water District, Zone 6",6,6,6,6,6,
Other Imported,Santa Clara Valley Water District,6,6,6,6,6,
Other Imported,San Luis Obispo County Flood Control & Water Conservation District,6,6,6,6,6,
Other Imported,Santa Barbara County Flood Control & Water Conservation District,6,6,6,6,6,
Other Imported,Antelope Valley-East Kern Water Agency,6,6,6,6,6,
Other Imported,Santa Clarita Water Division,6,6,6,6,6,
Other Imported,Coachella Valley Water District,6,6,6,6,6,
Other Imported,Crestline-Lake Arrowhead Water Agency,6,6,6,6,6,
Other Imported,Desert Water Agency,6,6,6,6,6,
Other Imported,Metropolitan Water District of Southern California,6,6,6,6,6,
Other Imported,Mojave Water Agency,6,6,6,6,6,
Other Imported,Palmdale Water District & Littlerock Creek Irrigation District,6,6,6,6,6,
Other Imported,San Bernardino Valley Municipal Water District,6,6,6,6,6,
Other Imported,San Gabriel Valley Municipal Water District,6,6,6,6,6,
Other Imported,San Gorgonio Pass Water Agency,6,6,6,6,6,
Other Imported,Ventura County Watershed Protection District,6,6,6,6,6,
