Variable,Contractor,2025,2030,2035,2040,2045,Notes
Potable Reuse Supply,City of Folsom,1,1,1,1,1,
Potable Reuse Supply,City of Redding,1,1,1,1,1,
Potable Reuse Supply,City of Roseville,1,1,1,1,1,
Potable Reuse Supply,City of West Sacramento,1,1,1,1,1,
Potable Reuse Supply,Yuba City,1,1,1,1,1,
Potable Reuse Supply,El Dorado Irrigation District,1,1,1,1,1,
Potable Reuse Supply,Napa County Flood Control & Water Conservation District,1,1,1,1,1,
Potable Reuse Supply,Placer County Water Agency,1,1,1,1,1,
Potable Reuse Supply,Sacramento County Water Agency,1,1,1,1,1,
Potable Reuse Supply,San Juan Water District,1,1,1,1,1,
Potable Reuse Supply,Shasta Contractors,1,1,1,1,1,
Potable Reuse Supply,Solano County Water Agency,1,1,1,1,1,
Potable Reuse Supply,City of Avenal,1,1,1,1,1,
Potable Reuse Supply,City of Coalinga,1,1,1,1,1,
Potable Reuse Supply,City of Fresno,1,1,1,1,1,
Potable Reuse Supply,City of Huron,1,1,1,1,1,
Potable Reuse Supply,City of Lindsay,1,1,1,1,1,
Potable Reuse Supply,City of Orange Cove,1,1,1,1,1,
Potable Reuse Supply,City of Tracy,1,1,1,1,1,
Potable Reuse Supply,Kern County Water Agency,1,1,1,1,1,
Potable Reuse Supply,Other Friant-Kern M&I Contractors,1,1,1,1,1,
Potable Reuse Supply,Stockton-East Water District,1,1,1,1,1,
Potable Reuse Supply,"Alameda County Flood Control and Water Conservation District, Zone 7",1,1,1,1,1,
Potable Reuse Supply,Alameda County Water District,1,1,1,1,1,
Potable Reuse Supply,Contra Costa Water District,1,1,1,1,1,
Potable Reuse Supply,East Bay Municipal Utilities District,1,1,1,1,1,
Potable Reuse Supply,"San Benito County Water District, Zone 6",1,1,1,1,1,
Potable Reuse Supply,Santa Clara Valley Water District,1,1,1,1,1,
Potable Reuse Supply,San Luis Obispo County Flood Control & Water Conservation District,1,1,1,1,1,
Potable Reuse Supply,Santa Barbara County Flood Control & Water Conservation District,1,1,1,1,1,
Potable Reuse Supply,Antelope Valley-East Kern Water Agency,1,1,1,1,1,
Potable Reuse Supply,Santa Clarita Water Division,1,1,1,1,1,
Potable Reuse Supply,Coachella Valley Water District,1,1,1,1,1,
Potable Reuse Supply,Crestline-Lake Arrowhead Water Agency,1,1,1,1,1,
Potable Reuse Supply,Desert Water Agency,1,1,1,1,1,
Potable Reuse Supply,Metropolitan Water District of Southern California,1,1,1,1,1,
Potable Reuse Supply,Mojave Water Agency,1,1,1,1,1,
Potable Reuse Supply,Palmdale Water District & Littlerock Creek Irrigation District,1,1,1,1,1,
Potable Reuse Supply,San Bernardino Valley Municipal Water District,1,1,1,1,1,
Potable Reuse Supply,San Gabriel Valley Municipal Water District,1,1,1,1,1,
Potable Reuse Supply,San Gorgonio Pass Water Agency,1,1,1,1,1,
Potable Reuse Supply,Ventura County Watershed Protection District,1,1,1,1,1,
