Variable,Contractor,2025,2030,2035,2040,2045,Notes
Recycled,City of Folsom,1,1,1,1,1,
Recycled,City of Redding,1,1,1,1,1,
Recycled,City of Roseville,1,1,1,1,1,
Recycled,City of West Sacramento,1,1,1,1,1,
Recycled,Yuba City,1,1,1,1,1,
Recycled,El Dorado Irrigation District,1,1,1,1,1,
Recycled,Napa County Flood Control & Water Conservation District,1,1,1,1,1,
Recycled,Placer County Water Agency,1,1,1,1,1,
Recycled,Sacramento County Water Agency,1,1,1,1,1,
Recycled,San Juan Water District,1,1,1,1,1,
Recycled,Shasta Contractors,1,1,1,1,1,
Recycled,Solano County Water Agency,1,1,1,1,1,
Recycled,City of Avenal,1,1,1,1,1,
Recycled,City of Coalinga,1,1,1,1,1,
Recycled,City of Fresno,1,1,1,1,1,
Recycled,City of Huron,1,1,1,1,1,
Recycled,City of Lindsay,1,1,1,1,1,
Recycled,City of Orange Cove,1,1,1,1,1,
Recycled,City of Tracy,1,1,1,1,1,
Recycled,Kern County Water Agency,1,1,1,1,1,
Recycled,Other Friant-Kern M&I Contractors,1,1,1,1,1,
Recycled,Stockton-East Water District,1,1,1,1,1,
Recycled,"Alameda County Flood Control and Water Conservation District, Zone 7",1,1,1,1,1,
Recycled,Alameda County Water District,1,1,1,1,1,
Recycled,Contra Costa Water District,1,1,1,1,1,
Recycled,East Bay Municipal Utilities District,1,1,1,1,1,
Recycled,"San Benito County Water District, Zone 6",1,1,1,1,1,
Recycled,Santa Clara Valley Water District,1,1,1,1,1,
Recycled,San Luis Obispo County Flood Control & Water Conservation District,1,1,1,1,1,
Recycled,Santa Barbara County Flood Control & Water Conservation District,1,1,1,1,1,
Recycled,Antelope Valley-East Kern Water Agency,1,1,1,1,1,
Recycled,Santa Clarita Water Division,1,1,1,1,1,
Recycled,Coachella Valley Water District,1,1,1,1,1,
Recycled,Crestline-Lake Arrowhead Water Agency,1,1,1,1,1,
Recycled,Desert Water Agency,1,1,1,1,1,
Recycled,Metropolitan Water District of Southern California,1,1,1,1,1,
Recycled,Mojave Water Agency,1,1,1,1,1,
Recycled,Palmdale Water District & Littlerock Creek Irrigation District,1,1,1,1,1,
Recycled,San Bernardino Valley Municipal Water District,1,1,1,1,1,
Recycled,San Gabriel Valley Municipal Water District,1,1,1,1,1,
Recycled,San Gorgonio Pass Water Agency,1,1,1,1,1,
Recycled,Ventura County Watershed Protection District,1,1,1,1,1,
