Variable,Contractor,2025,2030,2035,2040,2045,Notes
Recycled Supply,City of Folsom,1,1,1,1,1,
Recycled Supply,City of Redding,1,1,1,1,1,
Recycled Supply,City of Roseville,1,1,1,1,1,
Recycled Supply,City of West Sacramento,1,1,1,1,1,
Recycled Supply,Yuba City,1,1,1,1,1,
Recycled Supply,El Dorado Irrigation District,1,1,1,1,1,
Recycled Supply,Napa County Flood Control & Water Conservation District,1,1,1,1,1,
Recycled Supply,Placer County Water Agency,1,1,1,1,1,
Recycled Supply,Sacramento County Water Agency,1,1,1,1,1,
Recycled Supply,San Juan Water District,1,1,1,1,1,
Recycled Supply,Shasta Contractors,1,1,1,1,1,
Recycled Supply,Solano County Water Agency,1,1,1,1,1,
Recycled Supply,City of Avenal,1,1,1,1,1,
Recycled Supply,City of Coalinga,1,1,1,1,1,
Recycled Supply,City of Fresno,1,1,1,1,1,
Recycled Supply,City of Huron,1,1,1,1,1,
Recycled Supply,City of Lindsay,1,1,1,1,1,
Recycled Supply,City of Orange Cove,1,1,1,1,1,
Recycled Supply,City of Tracy,1,1,1,1,1,
Recycled Supply,Kern County Water Agency,1,1,1,1,1,
Recycled Supply,Other Friant-Kern M&I Contractors,1,1,1,1,1,
Recycled Supply,Stockton-East Water District,1,1,1,1,1,
Recycled Supply,"Alameda County Flood Control and Water Conservation District, Zone 7",1,1,1,1,1,
Recycled Supply,Alameda County Water District,1,1,1,1,1,
Recycled Supply,Contra Costa Water District,1,1,1,1,1,
Recycled Supply,East Bay Municipal Utilities District,1,1,1,1,1,
Recycled Supply,"San Benito County Water District, Zone 6",1,1,1,1,1,
Recycled Supply,Santa Clara Valley Water District,1,1,1,1,1,
Recycled Supply,San Luis Obispo County Flood Control & Water Conservation District,1,1,1,1,1,
Recycled Supply,Santa Barbara County Flood Control & Water Conservation District,1,1,1,1,1,
Recycled Supply,Antelope Valley-East Kern Water Agency,1,1,1,1,1,
Recycled Supply,Santa Clarita Water Division,1,1,1,1,1,
Recycled Supply,Coachella Valley Water District,1,1,1,1,1,
Recycled Supply,Crestline-Lake Arrowhead Water Agency,1,1,1,1,1,
Recycled Supply,Desert Water Agency,1,1,1,1,1,
Recycled Supply,Metropolitan Water District of Southern California,1,1,1,1,1,
Recycled Supply,Mojave Water Agency,1,1,1,1,1,
Recycled Supply,Palmdale Water District & Littlerock Creek Irrigation District,1,1,1,1,1,
Recycled Supply,San Bernardino Valley Municipal Water District,1,1,1,1,1,
Recycled Supply,San Gabriel Valley Municipal Water District,1,1,1,1,1,
Recycled Supply,San Gorgonio Pass Water Agency,1,1,1,1,1,
Recycled Supply,Ventura County Watershed Protection District,1,1,1,1,1,
