Year,Butte County,City of Folsom,City of Redding,City of Roseville,City of West Sacramento,Yuba City,El Dorado Irrigation District,Napa County Flood Control & Water Conservation District,Placer County Water Agency,Sacramento County Water Agency,San Juan Water District,Shasta Contractors,Solano County Water Agency,City of Avenal,City of Coalinga,City of Fresno,City of Huron,City of Lindsay,City of Orange Cove,City of Tracy,Kern County Water Agency,Other Friant-Kern M&I Contractors,Stockton-East Water District,"Alameda County Flood Control and Water Conservation District, Zone 7",Alameda County Water District,Contra Costa Water District,East Bay Municipal Utilities District,"San Benito County Water District, Zone 6",Santa Clara Valley Water District,San Luis Obispo County Flood Control & Water Conservation District,Santa Barbara County Flood Control & Water Conservation District,Antelope Valley-East Kern Water Agency,Santa Clarita Water Division,Coachella Valley Water District,Crestline-Lake Arrowhead Water Agency,Desert Water Agency,Metropolitan Water District of Southern California,Mojave Water Agency,Palmdale Water District & Littlerock Creek Irrigation District,San Bernardino Valley Municipal Water District,San Gabriel Valley Municipal Water District,San Gorgonio Pass Water Agency,Ventura County Watershed Protection District
1922,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,26135.94868,0,38526.79188,50864.60898,0,22066.88313,3461.184858,10053.91792,0,2966.729878,2563.521264,1435.571908,19407.85705,94898.97584,3000.345287,0,47948.60444,21630.70065,132144.4322,218331.7296,8223.697027,181728.4153,11047.55493,28241.24712,73017.42719,35571.49302,68702.23443,2572.66332,27684.74436,1242894.85,40745.96448,15083.29121,66866.97633,20318.1287,10288.96299,11776.42555
1923,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,34101.48974,0,38526.79188,50864.60898,0,42665.30191,3442.605078,9999.948082,0,2950.804352,2716.803772,1521.410112,17911.02403,86987.34342,3179.747135,0,54113.45433,28612.5687,135042.6507,218331.7296,8162.99292,187445.3705,17893.71658,32267.15369,107405.7389,63502.11382,106041.0012,4274.40855,42708.60716,1269139.036,64036.61892,14394.21609,67883.71934,18602.48152,12066.22712,10774.89475
1924,0,19569.18741,15968.21068,39907.98059,14947.1553,14647.07923,7489.393259,20979.55936,0,23916.35104,50799.29207,0,31399.74803,1925.955481,5594.442113,0,1650.818984,1219.248562,682.7791946,6162.460274,25501.27196,1427.008517,0,20809.37478,13647.59799,149107.9866,204287.8379,4515.109484,87276.06195,9143.581152,9878.642203,42085.95232,28898.38374,39165.2425,1996.993177,15788.48388,422199.9169,33113.15215,6789.114699,22956.74592,5453.938366,4216.579848,3159.545875
1925,0,20665.56924,17589.10863,40903.8715,14972.17908,14678.90617,8712.032277,21495.75091,0,37010.76715,50864.60898,0,20524.11732,2657.820595,7720.336014,0,2278.131939,2601.865751,1457.044821,12751.00814,38945.37705,3045.223675,0,22523.70572,11523.9147,148711.7284,215556.9669,6356.390588,120866.8993,6853.619459,13175.69936,41099.91983,23896.41066,40012.53635,1603.032518,16137.302,544244.091,25391.59672,6715.137163,29448.36984,8329.081133,4952.774565,4825.157926
1926,0,20885.57283,17539.50472,40903.8715,14972.17908,14678.90617,8767.079566,25906.40034,0,35231.19851,50864.60898,0,22829.6966,2695.353176,7829.359224,0,2310.302722,2619.344162,1466.832731,13042.7419,60265.52671,3065.680407,0,34419.72806,17404.23348,148372.9568,204731.6125,6397.299328,136438.1037,9911.271922,20057.01037,60756.58433,34857.1686,56937.24167,2389.294612,22487.59194,841007.1383,37010.8468,10092.96563,44635.17232,12919.68142,7460.779461,7468.2744
1927,0,20885.57283,17730.32008,40903.8715,14972.17908,14678.90617,8767.079566,32345.32462,0,38189.9331,50864.60898,0,26662.46973,3197.395532,9287.672737,0,2740.624742,2652.827258,1485.583264,16026.56318,86057.79602,3104.869023,0,48967.20596,23575.93228,131835.9217,215556.9669,7619.801354,172614.9456,13531.8585,28443.91953,84041.12085,42433.36496,81748.68035,3151.668431,33375.39728,1193510.634,45856.03478,13408.05865,63933.16484,18415.06975,10551.38386,10635.04931
1928,0,20840.76429,17723.85603,40843.45917,14947.1553,14647.07923,8760.524612,37563.46854,0,38465.64615,50799.29207,0,46152.71712,3068.113818,8912.140137,0,2629.811844,2675.83095,1498.465332,15205.8715,85395.04188,3131.792544,0,51348.15738,26898.07814,131913.9546,217887.955,7254.938115,168800.0122,16072.88336,29137.87998,93096.09446,53294.87564,89064.00171,3731.229834,35890.40255,1218402.353,57609.99164,14962.27327,65310.55181,18294.78633,11056.41748,10561.30901
1929,0,20885.57283,16149.09001,40125.07638,14972.17908,14678.90617,7863.796986,25348.11538,0,25107.70851,50864.60898,0,33436.18657,1973.423404,5732.325125,0,1691.505774,1674.619258,937.7867843,6449.970973,32192.61462,1959.974379,0,24115.39384,15206.00134,146269.0095,204731.6125,4639.322271,93370.81694,9956.269199,11784.34777,47051.98003,31657.93004,44045.49958,2176.256059,17757.83019,507850.3328,36416.65122,8003.450524,27695.48596,6884.846521,4927.335367,3988.491795
1930,0,20885.57283,17242.27923,40822.2473,14972.17908,14678.90617,8727.806677,21509.22884,0,32789.83946,50864.60898,0,20524.54552,2508.528709,7286.678632,0,2150.167465,1533.908261,858.9886261,11123.85121,47587.40926,1795.286229,0,27470.37151,13993.43574,149720.3343,206962.2242,5990.656878,121691.906,8186.533651,16024.69546,49322.76411,28510.87121,47143.00217,1937.336641,18847.36398,666432.4784,30347.81185,8129.729036,35695.00273,10182.33733,5990.24458,5893.149631
1931,0,20885.57283,15952.59517,39922.0162,14972.17908,14678.90617,7475.447751,18599.48858,0,23471.17723,50864.60898,0,14250.54594,1829.477709,5314.197155,0,1568.123751,607.6412247,340.2790858,5602.2462,25311.5315,711.1832894,0,16761.50013,9149.588487,152899.7755,189377.9539,4312.330998,81740.97754,5605.438231,8683.030836,29648.81943,16285.93903,27843.84601,1253.004518,11377.74249,377165.6445,18809.21143,4765.884721,20134.33407,5413.303618,3440.727445,3136.005574
