Year,Butte County,City of Folsom,City of Redding,City of Roseville,City of West Sacramento,Yuba City,El Dorado Irrigation District,Napa County Flood Control & Water Conservation District,Placer County Water Agency,Sacramento County Water Agency,San Juan Water District,Shasta Contractors,Solano County Water Agency,City of Avenal,City of Coalinga,City of Fresno,City of Huron,City of Lindsay,City of Orange Cove,City of Tracy,Kern County Water Agency Improvement District No 4,Other Friant-Kern M&I Contractors,Stockton-East Water District,"Alameda County Flood Control and Water Conservation District, Zone 7",Alameda County Water District,Contra Costa Water District,East Bay Municipal Utilities District,"San Benito County Water District, Zone 6",Santa Clara Valley Water District,San Luis Obispo County Flood Control & Water Conservation District,Santa Barbara County Flood Control & Water Conservation District,Antelope Valley-East Kern Water Agency,Santa Clarita Water Division,Coachella Valley Water District,Crestline-Lake Arrowhead Water Agency,Desert Water Agency,Metropolitan Water District of Southern California,Mojave Water Agency,Palmdale Water District & Littlerock Creek Irrigation District,San Bernardino Valley Municipal Water District,San Gabriel Valley Municipal Water District,San Gorgonio Pass Water Agency,Ventura County Watershed Protection District
1922,0,34000,27096,62000,15984,7273,7550,33580,100000,81438,82200,10362,36261,6696,9566,59286,2870,2470,1383,19098,102353,2891,75000,32044,32044,149000,0,7909,189717,8447,51549,106906,62708,97116,4385,33153,1813279,62602,17843,68952,21829,13080,15229
1923,0,32250,25578,54000,16894,5859,5663,31670,91250,61164,76150,7777,28593,5250,7500,57917,2250,2413,1351,15000,79935,2824,75000,25290,25290,162000,0,6223,150078,8447,39733,86116,44366,90840,3532,39864,1634099,50427,14373,70065,17486,10536,11615
1924,0,30804,19067,47389,17692,1641,4103,12952,84019,57766,71150,5635,8104,3804,5434,15000,1630,625,350,10755,22985,732,0,7164,7164,184000,41215,4509,81914,4287,4051,24118,14094,24416,989,10206,506258,14123,4025,18351,4912,2951,3420
1925,0,32253,25577,54013,13495,3364,5665,23820,91264,57518,76160,7776,16616,5253,7504,56085,2251,2337,1309,15000,47246,2735,75000,14689,14689,175000,0,6226,124531,8447,12239,49451,29105,48385,2028,19497,1000840,28957,8254,35882,10072,6050,7050
1926,0,31033,24521,48437,13273,5129,4350,26621,85165,62051,71943,5980,25330,4033,5762,48442,1728,2018,1130,11371,72257,2362,0,22392,22392,175000,41215,4780,122080,8447,20981,75387,45248,73761,3092,29723,1415655,44145,12582,54701,15355,9223,10820
1927,0,34000,27108,62000,13694,6710,7550,34252,100000,81709,82200,10379,33141,5588,7982,59524,2395,2480,1389,15810,94371,2903,75000,29297,29297,157000,0,6598,164671,8447,46987,98633,59973,89600,4046,30587,1664033,57757,16462,63616,20089,12068,14101
1928,0,32250,25573,54000,14989,7526,5662,34447,91250,66754,76150,7771,37168,5250,7500,52965,2250,2207,1236,15000,104130,2583,0,33858,33858,157000,0,6223,171747,8447,53309,111621,60583,107395,4537,40468,1824983,64776,18463,79140,22531,13534,15277
1929,0,31398,19581,50107,16392,1883,4744,17683,86992,54902,73206,6511,9298,4398,6284,24726,1885,1030,577,12520,26461,1206,0,8220,8220,184000,41215,5214,94566,4997,4652,27673,16350,31523,1135,12703,558815,16205,4619,23377,5636,3386,3952
1930,0,30500,24048,46000,14253,3609,3775,24060,82500,52868,70100,5177,17822,3500,5000,28781,1500,1199,672,10000,50405,1404,0,15755,15755,175000,61907,4149,97189,8447,13423,53043,30801,51899,2176,20913,1062286,31061,8853,38488,10804,6490,7475
1931,0,30511,18812,46052,17708,3380,3787,20200,82557,51035,70139,5202,16692,3511,5016,15000,1505,625,350,10000,47361,732,0,14756,14756,184000,61877,4162,95003,8447,12306,49678,29106,48606,2038,19587,1021229,29090,8291,36046,10118,6078,7050
1932,0,30500,24049,46000,17121,2834,3775,22550,82500,48611,70100,5181,13994,3500,5000,59524,1500,2480,1389,10000,39598,2903,0,13371,13371,184000,0,4149,93131,7321,6992,41648,24214,40750,1708,16421,861569,24388,6951,30220,8483,5096,5875
1933,0,30500,17973,46000,16606,4074,3775,20295,82500,50378,70100,4896,20122,3500,5000,45713,1500,1905,1067,10000,39554,2229,0,19789,19789,184000,41215,4149,110031,8447,7236,61011,34861,60597,2457,28612,1166195,35069,6119,43455,12198,7327,8457
1934,0,30873,12158,46174,17551,2352,3810,17101,82688,58705,70882,3692,10071,3873,5533,28871,1660,1203,674,11053,33137,1408,0,10269,10269,184000,56649,4591,90492,6313,5815,34572,20540,33827,1418,13631,693537,20245,5770,25086,7042,4230,4963
1935,0,31592,25106,51041,13214,7702,5000,33743,88025,63204,73950,6975,38038,4597,6567,59524,1970,2480,1389,12859,107585,2903,0,33627,33627,175000,0,5326,156678,8447,33623,113211,65774,102842,4644,35108,1907023,66293,18895,73018,23058,13851,15955
