Variable,Study Region,Contractor,2025,2030,2035,2040,2045,Notes
Surface for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,City of Folsom,3,1,1,1,1,
Surface for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,City of Redding,3,1,1,1,1,
Surface for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,City of Roseville,3,1,1,1,1,
Surface for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,City of West Sacramento,3,1,1,1,1,
Surface for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,Yuba City,3,1,1,1,1,
Surface for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,El Dorado Irrigation District,3,1,1,1,1,
Surface for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,3,1,1,1,1,
Surface for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,Placer County Water Agency,3,1,1,1,1,
Surface for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,Sacramento County Water Agency,3,1,1,1,1,
Surface for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,San Juan Water District,3,1,1,1,1,
Surface for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,Shasta Contractors,3,1,1,1,1,
Surface for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,Solano County Water Agency,3,1,1,1,1,
Surface for Normal or Better Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Avenal,3,1,1,1,1,
Surface for Normal or Better Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Coalinga,3,1,1,1,1,
Surface for Normal or Better Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Fresno,3,1,1,1,1,
Surface for Normal or Better Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Huron,3,1,1,1,1,
Surface for Normal or Better Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Lindsay,3,1,1,1,1,
Surface for Normal or Better Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Orange Cove,3,1,1,1,1,
Surface for Normal or Better Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Tracy,3,1,1,1,1,
Surface for Normal or Better Years (acre-feet/year),Central Valley - San Joaquin Valley,Kern County Water Agency,3,1,1,1,1,
Surface for Normal or Better Years (acre-feet/year),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,3,1,1,1,1,
Surface for Normal or Better Years (acre-feet/year),Central Valley - San Joaquin Valley,Stockton-East Water District,3,1,1,1,1,
Surface for Normal or Better Years (acre-feet/year),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",3,1,1,1,1,
Surface for Normal or Better Years (acre-feet/year),San Francisco Bay Area,Alameda County Water District,3,1,1,1,1,
Surface for Normal or Better Years (acre-feet/year),San Francisco Bay Area,Contra Costa Water District,3,1,1,1,1,
Surface for Normal or Better Years (acre-feet/year),San Francisco Bay Area,East Bay Municipal Utilities District,3,1,1,1,1,
Surface for Normal or Better Years (acre-feet/year),San Francisco Bay Area,"San Benito County Water District, Zone 6",3,1,1,1,1,
Surface for Normal or Better Years (acre-feet/year),San Francisco Bay Area,Santa Clara Valley Water District,3,1,1,1,1,
Surface for Normal or Better Years (acre-feet/year),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,3,1,1,1,1,
