Variable,Contractor,2025,2030,2035,2040,2045,Notes
Surface put cost ($/acre-feet),City of Folsom,1,1,1,1,1,
Surface put cost ($/acre-feet),City of Redding,1,1,1,1,1,
Surface put cost ($/acre-feet),City of Roseville,1,1,1,1,1,
Surface put cost ($/acre-feet),City of West Sacramento,1,1,1,1,1,
Surface put cost ($/acre-feet),Yuba City,1,1,1,1,1,
Surface put cost ($/acre-feet),El Dorado Irrigation District,1,1,1,1,1,
Surface put cost ($/acre-feet),Napa County Flood Control & Water Conservation District,1,1,1,1,1,
Surface put cost ($/acre-feet),Placer County Water Agency,1,1,1,1,1,
Surface put cost ($/acre-feet),Sacramento County Water Agency,1,1,1,1,1,
Surface put cost ($/acre-feet),San Juan Water District,1,1,1,1,1,
Surface put cost ($/acre-feet),Shasta Contractors,1,1,1,1,1,
Surface put cost ($/acre-feet),Solano County Water Agency,1,1,1,1,1,
Surface put cost ($/acre-feet),City of Avenal,1,1,1,1,1,
Surface put cost ($/acre-feet),City of Coalinga,1,1,1,1,1,
Surface put cost ($/acre-feet),City of Fresno,1,1,1,1,1,
Surface put cost ($/acre-feet),City of Huron,1,1,1,1,1,
Surface put cost ($/acre-feet),City of Lindsay,1,1,1,1,1,
Surface put cost ($/acre-feet),City of Orange Cove,1,1,1,1,1,
Surface put cost ($/acre-feet),City of Tracy,1,1,1,1,1,
Surface put cost ($/acre-feet),Kern County Water Agency,1,1,1,1,1,
Surface put cost ($/acre-feet),Other Friant-Kern M&I Contractors,1,1,1,1,1,
Surface put cost ($/acre-feet),Stockton-East Water District,1,1,1,1,1,
Surface put cost ($/acre-feet),"Alameda County Flood Control and Water Conservation District, Zone 7",1,1,1,1,1,
Surface put cost ($/acre-feet),Alameda County Water District,1,1,1,1,1,
Surface put cost ($/acre-feet),Contra Costa Water District,1,1,1,1,1,
Surface put cost ($/acre-feet),East Bay Municipal Utilities District,1,1,1,1,1,
Surface put cost ($/acre-feet),"San Benito County Water District, Zone 6",1,1,1,1,1,
