Variable,Contractor,2025,2030,2035,2040,2045,Notes
Groundwater bank put cost,Butte County,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,City of Folsom,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,City of Redding,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,City of Roseville,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,City of West Sacramento,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,Yuba City,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,El Dorado Irrigation District,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,Napa County Flood Control & Water Conservation District,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,Placer County Water Agency,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,Sacramento County Water Agency,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,San Juan Water District,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,Shasta Contractors,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,Solano County Water Agency,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,City of Avenal,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,City of Coalinga,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,City of Fresno,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,City of Huron,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,City of Lindsay,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,City of Orange Cove,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,City of Tracy,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,Kern County Water Agency Improvement District No 4,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,Other Friant-Kern M&I Contractors,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,Stockton-East Water District,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,"Alameda County Flood Control and Water Conservation District, Zone 7",67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,Alameda County Water District,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,Contra Costa Water District,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,East Bay Municipal Utilities District,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,"San Benito County Water District, Zone 6",67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,Santa Clara Valley Water District,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,San Luis Obispo County Flood Control & Water Conservation District,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,Santa Barbara County Flood Control & Water Conservation District,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,Antelope Valley-East Kern Water Agency,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,Santa Clarita Water Division,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,Coachella Valley Water District,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,Crestline-Lake Arrowhead Water Agency,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,Desert Water Agency,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,Metropolitan Water District of Southern California,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,Mojave Water Agency,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,Palmdale Water District & Littlerock Creek Irrigation District,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,San Bernardino Valley Municipal Water District,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,San Gabriel Valley Municipal Water District,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,San Gorgonio Pass Water Agency,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank put cost,Ventura County Watershed Protection District,67.76025473,67.76025473,67.76025473,67.76025473,67.76025473,
Groundwater bank take cost,Butte County,191.8263206,229.766913,243.0595192,257.1211369,267.5317555,0
Groundwater bank take cost,City of Folsom,191.8263206,229.766913,243.0595192,257.1211369,267.5317555,
Groundwater bank take cost,City of Redding,191.8263206,229.766913,243.0595192,257.1211369,267.5317555,
Groundwater bank take cost,City of Roseville,191.8263206,229.766913,243.0595192,257.1211369,267.5317555,
Groundwater bank take cost,City of West Sacramento,191.8263206,229.766913,243.0595192,257.1211369,267.5317555,
Groundwater bank take cost,Yuba City,191.8263206,229.766913,243.0595192,257.1211369,267.5317555,
Groundwater bank take cost,El Dorado Irrigation District,191.8263206,229.766913,243.0595192,257.1211369,267.5317555,
Groundwater bank take cost,Napa County Flood Control & Water Conservation District,191.8263206,229.766913,243.0595192,257.1211369,267.5317555,
Groundwater bank take cost,Placer County Water Agency,191.8263206,229.766913,243.0595192,257.1211369,267.5317555,
Groundwater bank take cost,Sacramento County Water Agency,191.8263206,229.766913,243.0595192,257.1211369,267.5317555,
Groundwater bank take cost,San Juan Water District,191.8263206,229.766913,243.0595192,257.1211369,267.5317555,
Groundwater bank take cost,Shasta Contractors,191.8263206,229.766913,243.0595192,257.1211369,267.5317555,
Groundwater bank take cost,Solano County Water Agency,191.8263206,229.766913,243.0595192,257.1211369,267.5317555,
Groundwater bank take cost,City of Avenal,191.8263206,229.766913,243.0595192,257.1211369,267.5317555,
Groundwater bank take cost,City of Coalinga,191.8263206,229.766913,243.0595192,257.1211369,267.5317555,
Groundwater bank take cost,City of Fresno,191.8263206,229.766913,243.0595192,257.1211369,267.5317555,
Groundwater bank take cost,City of Huron,191.8263206,229.766913,243.0595192,257.1211369,267.5317555,
Groundwater bank take cost,City of Lindsay,191.8263206,229.766913,243.0595192,257.1211369,267.5317555,
Groundwater bank take cost,City of Orange Cove,191.8263206,229.766913,243.0595192,257.1211369,267.5317555,
