Variable,Contractor,Switch,Notes
Switch for where to send excess supplies,City of Folsom,3,
Switch for where to send excess supplies,City of Redding,3,
Switch for where to send excess supplies,City of Roseville,3,
Switch for where to send excess supplies,City of West Sacramento,3,
Switch for where to send excess supplies,Yuba City,2,
Switch for where to send excess supplies,El Dorado Irrigation District,3,
Switch for where to send excess supplies,Napa County Flood Control & Water Conservation District,3,
Switch for where to send excess supplies,Placer County Water Agency,3,
Switch for where to send excess supplies,Sacramento County Water Agency,3,
Switch for where to send excess supplies,San Juan Water District,3,
Switch for where to send excess supplies,Shasta Contractors,3,
Switch for where to send excess supplies,Solano County Water Agency,3,
Switch for where to send excess supplies,City of Avenal,3,
Switch for where to send excess supplies,City of Coalinga,3,
Switch for where to send excess supplies,City of Fresno,2,
Switch for where to send excess supplies,City of Huron,3,
Switch for where to send excess supplies,City of Lindsay,2,
Switch for where to send excess supplies,City of Orange Cove,2,
Switch for where to send excess supplies,City of Tracy,3,
Switch for where to send excess supplies,Kern County Water Agency,3,
Switch for where to send excess supplies,Other Friant-Kern M&I Contractors,2,
Switch for where to send excess supplies,Stockton-East Water District,3,
Switch for where to send excess supplies,"Alameda County Flood Control and Water Conservation District, Zone 7",1,
Switch for where to send excess supplies,Alameda County Water District,1,
Switch for where to send excess supplies,Contra Costa Water District,2,
Switch for where to send excess supplies,East Bay Municipal Utilities District,1,
Switch for where to send excess supplies,"San Benito County Water District, Zone 6",2,
Switch for where to send excess supplies,Santa Clara Valley Water District,1,
Switch for where to send excess supplies,San Luis Obispo County Flood Control & Water Conservation District,3,
Switch for where to send excess supplies,Santa Barbara County Flood Control & Water Conservation District,3,
Switch for where to send excess supplies,Antelope Valley-East Kern Water Agency,2,
Switch for where to send excess supplies,Santa Clarita Water Division,2,
Switch for where to send excess supplies,Coachella Valley Water District,3,
Switch for where to send excess supplies,Crestline-Lake Arrowhead Water Agency,3,
Switch for where to send excess supplies,Desert Water Agency,3,
Switch for where to send excess supplies,Metropolitan Water District of Southern California,1,
Switch for where to send excess supplies,Mojave Water Agency,3,
Switch for where to send excess supplies,Palmdale Water District & Littlerock Creek Irrigation District,3,
Switch for where to send excess supplies,San Bernardino Valley Municipal Water District,3,
Switch for where to send excess supplies,San Gabriel Valley Municipal Water District,2,
Switch for where to send excess supplies,San Gorgonio Pass Water Agency,3,
Switch for where to send excess supplies,Ventura County Watershed Protection District,2,
