Variable,Study Region,Contractor,2025,2030,2035,2040,2045,Notes
Surface max storage capacity (acre-feet),Central Valley - Sacramento Valley,Butte County,0,0,0,0,0,
Surface max storage capacity (acre-feet),Central Valley - Sacramento Valley,City of Folsom,0,0,0,0,0,
Surface max storage capacity (acre-feet),Central Valley - Sacramento Valley,City of Redding,0,0,0,0,0,
Surface max storage capacity (acre-feet),Central Valley - Sacramento Valley,City of Roseville,0,0,0,0,0,
Surface max storage capacity (acre-feet),Central Valley - Sacramento Valley,City of West Sacramento,0,0,0,0,0,
Surface max storage capacity (acre-feet),Central Valley - Sacramento Valley,Yuba City,0,0,0,0,0,
Surface max storage capacity (acre-feet),Central Valley - Sacramento Valley,El Dorado Irrigation District,0,0,0,0,0,
Surface max storage capacity (acre-feet),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,0,0,0,0,0,
Surface max storage capacity (acre-feet),Central Valley - Sacramento Valley,Placer County Water Agency,0,0,0,0,0,
Surface max storage capacity (acre-feet),Central Valley - Sacramento Valley,Sacramento County Water Agency,0,0,0,0,0,
Surface max storage capacity (acre-feet),Central Valley - Sacramento Valley,San Juan Water District,0,0,0,0,0,
Surface max storage capacity (acre-feet),Central Valley - Sacramento Valley,Shasta Contractors,0,0,0,0,0,
Surface max storage capacity (acre-feet),Central Valley - Sacramento Valley,Solano County Water Agency,0,0,0,0,0,
Surface max storage capacity (acre-feet),Central Valley - San Joaquin Valley,City of Avenal,0,0,0,0,0,
Surface max storage capacity (acre-feet),Central Valley - San Joaquin Valley,City of Coalinga,0,0,0,0,0,
Surface max storage capacity (acre-feet),Central Valley - San Joaquin Valley,City of Fresno,0,0,0,0,0,
Surface max storage capacity (acre-feet),Central Valley - San Joaquin Valley,City of Huron,0,0,0,0,0,
Surface max storage capacity (acre-feet),Central Valley - San Joaquin Valley,City of Lindsay,0,0,0,0,0,
Surface max storage capacity (acre-feet),Central Valley - San Joaquin Valley,City of Orange Cove,0,0,0,0,0,
