Variable,Contractor,$/acre-foot,Year of Price,Notes
Groundwater put cost ($/acre-feet),Butte County,67.76025473,2020,
Groundwater put cost ($/acre-feet),City of Folsom,67.76025473,2020,
Groundwater put cost ($/acre-feet),City of Redding,67.76025473,2020,
Groundwater put cost ($/acre-feet),City of Roseville,67.76025473,2020,
Groundwater put cost ($/acre-feet),City of West Sacramento,67.76025473,2020,
Groundwater put cost ($/acre-feet),Yuba City,67.76025473,2020,
Groundwater put cost ($/acre-feet),El Dorado Irrigation District,67.76025473,2020,
Groundwater put cost ($/acre-feet),Napa County Flood Control & Water Conservation District,67.76025473,2020,
Groundwater put cost ($/acre-feet),Placer County Water Agency,67.76025473,2020,
Groundwater put cost ($/acre-feet),Sacramento County Water Agency,67.76025473,2020,
Groundwater put cost ($/acre-feet),San Juan Water District,67.76025473,2020,
Groundwater put cost ($/acre-feet),Shasta Contractors,67.76025473,2020,
Groundwater put cost ($/acre-feet),Solano County Water Agency,67.76025473,2020,
Groundwater put cost ($/acre-feet),City of Avenal,67.76025473,2020,
Groundwater put cost ($/acre-feet),City of Coalinga,67.76025473,2020,
Groundwater put cost ($/acre-feet),City of Fresno,67.76025473,2020,
Groundwater put cost ($/acre-feet),City of Huron,67.76025473,2020,
Groundwater put cost ($/acre-feet),City of Lindsay,67.76025473,2020,
Groundwater put cost ($/acre-feet),City of Orange Cove,67.76025473,2020,
Groundwater put cost ($/acre-feet),City of Tracy,67.76025473,2020,
Groundwater put cost ($/acre-feet),Kern County Water Agency Improvement District No 4,67.76025473,2020,
Groundwater put cost ($/acre-feet),Other Friant-Kern M&I Contractors,67.76025473,2020,
Groundwater put cost ($/acre-feet),Stockton-East Water District,67.76025473,2020,
Groundwater put cost ($/acre-feet),"Alameda County Flood Control and Water Conservation District, Zone 7",67.76025473,2020,
Groundwater put cost ($/acre-feet),Alameda County Water District,67.76025473,2020,
Groundwater put cost ($/acre-feet),Contra Costa Water District,67.76025473,2020,
Groundwater put cost ($/acre-feet),East Bay Municipal Utilities District,67.76025473,2020,
Groundwater put cost ($/acre-feet),"San Benito County Water District, Zone 6",67.76025473,2020,
Groundwater put cost ($/acre-feet),Santa Clara Valley Water District,67.76025473,2020,
Groundwater put cost ($/acre-feet),San Luis Obispo County Flood Control & Water Conservation District,67.76025473,2020,
Groundwater put cost ($/acre-feet),Santa Barbara County Flood Control & Water Conservation District,67.76025473,2020,
Groundwater put cost ($/acre-feet),Antelope Valley-East Kern Water Agency,67.76025473,2020,
Groundwater put cost ($/acre-feet),Santa Clarita Water Division,67.76025473,2020,
Groundwater put cost ($/acre-feet),Coachella Valley Water District,67.76025473,2020,
Groundwater put cost ($/acre-feet),Crestline-Lake Arrowhead Water Agency,67.76025473,2020,
Groundwater put cost ($/acre-feet),Desert Water Agency,67.76025473,2020,
Groundwater put cost ($/acre-feet),Metropolitan Water District of Southern California,67.76025473,2020,
Groundwater put cost ($/acre-feet),Mojave Water Agency,67.76025473,2020,
Groundwater put cost ($/acre-feet),Palmdale Water District & Littlerock Creek Irrigation District,67.76025473,2020,
Groundwater put cost ($/acre-feet),San Bernardino Valley Municipal Water District,67.76025473,2020,
Groundwater put cost ($/acre-feet),San Gabriel Valley Municipal Water District,67.76025473,2020,
Groundwater put cost ($/acre-feet),San Gorgonio Pass Water Agency,67.76025473,2020,
Groundwater put cost ($/acre-feet),Ventura County Watershed Protection District,67.76025473,2020,
Groundwater take cost ($/acre-feet),Butte County,160.1507232,2020,
Groundwater take cost ($/acre-feet),City of Folsom,160.1507232,2020,
Groundwater take cost ($/acre-feet),City of Redding,160.1507232,2020,
Groundwater take cost ($/acre-feet),City of Roseville,160.1507232,2020,
Groundwater take cost ($/acre-feet),City of West Sacramento,160.1507232,2020,
Groundwater take cost ($/acre-feet),Yuba City,160.1507232,2020,
Groundwater take cost ($/acre-feet),El Dorado Irrigation District,160.1507232,2020,
Groundwater take cost ($/acre-feet),Napa County Flood Control & Water Conservation District,160.1507232,2020,
Groundwater take cost ($/acre-feet),Placer County Water Agency,160.1507232,2020,
Groundwater take cost ($/acre-feet),Sacramento County Water Agency,160.1507232,2020,
Groundwater take cost ($/acre-feet),San Juan Water District,160.1507232,2020,
Groundwater take cost ($/acre-feet),Shasta Contractors,160.1507232,2020,
Groundwater take cost ($/acre-feet),Solano County Water Agency,160.1507232,2020,
Groundwater take cost ($/acre-feet),City of Avenal,160.1507232,2020,
Groundwater take cost ($/acre-feet),City of Coalinga,160.1507232,2020,
Groundwater take cost ($/acre-feet),City of Fresno,160.1507232,2020,
Groundwater take cost ($/acre-feet),City of Huron,160.1507232,2020,
Groundwater take cost ($/acre-feet),City of Lindsay,160.1507232,2020,
Groundwater take cost ($/acre-feet),City of Orange Cove,160.1507232,2020,
Groundwater take cost ($/acre-feet),City of Tracy,160.1507232,2020,
Groundwater take cost ($/acre-feet),Kern County Water Agency Improvement District No 4,160.1507232,2020,
Groundwater take cost ($/acre-feet),Other Friant-Kern M&I Contractors,160.1507232,2020,
Groundwater take cost ($/acre-feet),Stockton-East Water District,160.1507232,2020,
Groundwater take cost ($/acre-feet),"Alameda County Flood Control and Water Conservation District, Zone 7",160.1507232,2020,
Groundwater take cost ($/acre-feet),Alameda County Water District,160.1507232,2020,
Groundwater take cost ($/acre-feet),Contra Costa Water District,160.1507232,2020,
Groundwater take cost ($/acre-feet),East Bay Municipal Utilities District,160.1507232,2020,
Groundwater take cost ($/acre-feet),"San Benito County Water District, Zone 6",160.1507232,2020,
Groundwater take cost ($/acre-feet),Santa Clara Valley Water District,160.1507232,2020,
Groundwater take cost ($/acre-feet),San Luis Obispo County Flood Control & Water Conservation District,160.1507232,2020,
Groundwater take cost ($/acre-feet),Santa Barbara County Flood Control & Water Conservation District,160.1507232,2020,
Groundwater take cost ($/acre-feet),Antelope Valley-East Kern Water Agency,160.1507232,2020,
Groundwater take cost ($/acre-feet),Santa Clarita Water Division,160.1507232,2020,
Groundwater take cost ($/acre-feet),Coachella Valley Water District,160.1507232,2020,
Groundwater take cost ($/acre-feet),Crestline-Lake Arrowhead Water Agency,160.1507232,2020,
Groundwater take cost ($/acre-feet),Desert Water Agency,160.1507232,2020,
Groundwater take cost ($/acre-feet),Metropolitan Water District of Southern California,160.1507232,2020,
Groundwater take cost ($/acre-feet),Mojave Water Agency,160.1507232,2020,
Groundwater take cost ($/acre-feet),Palmdale Water District & Littlerock Creek Irrigation District,160.1507232,2020,
Groundwater take cost ($/acre-feet),San Bernardino Valley Municipal Water District,160.1507232,2020,
Groundwater take cost ($/acre-feet),San Gabriel Valley Municipal Water District,160.1507232,2020,
Groundwater take cost ($/acre-feet),San Gorgonio Pass Water Agency,160.1507232,2020,
Groundwater take cost ($/acre-feet),Ventura County Watershed Protection District,160.1507232,2020,
