Variable,Contractor,Value,Notes
Storage Hedging Strategy Switch,City of Folsom,Turn Back Pool,
Storage Hedging Strategy Switch,City of Redding,Turn Back Pool,
Storage Hedging Strategy Switch,City of Roseville,Turn Back Pool,
Storage Hedging Strategy Switch,City of West Sacramento,Turn Back Pool,
Storage Hedging Strategy Switch,Yuba City,Reduce Groundwater Pumping,
Storage Hedging Strategy Switch,El Dorado Irrigation District,Turn Back Pool,
Storage Hedging Strategy Switch,Napa County Flood Control & Water Conservation District,Turn Back Pool,
Storage Hedging Strategy Switch,Placer County Water Agency,Turn Back Pool,
Storage Hedging Strategy Switch,Sacramento County Water Agency,Turn Back Pool,
Storage Hedging Strategy Switch,San Juan Water District,Turn Back Pool,
Storage Hedging Strategy Switch,Shasta Contractors,Turn Back Pool,
Storage Hedging Strategy Switch,Solano County Water Agency,Turn Back Pool,
Storage Hedging Strategy Switch,City of Avenal,Turn Back Pool,
Storage Hedging Strategy Switch,City of Coalinga,Turn Back Pool,
Storage Hedging Strategy Switch,City of Fresno,Reduce Groundwater Pumping,
Storage Hedging Strategy Switch,City of Huron,Turn Back Pool,
Storage Hedging Strategy Switch,City of Lindsay,Reduce Groundwater Pumping,
Storage Hedging Strategy Switch,City of Orange Cove,Reduce Groundwater Pumping,
Storage Hedging Strategy Switch,City of Tracy,Turn Back Pool,
Storage Hedging Strategy Switch,Kern County Water Agency,Turn Back Pool,
Storage Hedging Strategy Switch,Other Friant-Kern M&I Contractors,Reduce Groundwater Pumping,
Storage Hedging Strategy Switch,Stockton-East Water District,Turn Back Pool,
Storage Hedging Strategy Switch,"Alameda County Flood Control and Water Conservation District, Zone 7",Put into Carryover and Groundwater Bank,
Storage Hedging Strategy Switch,Alameda County Water District,Put into Carryover and Groundwater Bank,
Storage Hedging Strategy Switch,Contra Costa Water District,Reduce Groundwater Pumping,
Storage Hedging Strategy Switch,East Bay Municipal Utilities District,Put into Carryover and Groundwater Bank,
Storage Hedging Strategy Switch,"San Benito County Water District, Zone 6",Reduce Groundwater Pumping,
Storage Hedging Strategy Switch,Santa Clara Valley Water District,Put into Carryover and Groundwater Bank,
Storage Hedging Strategy Switch,San Luis Obispo County Flood Control & Water Conservation District,Turn Back Pool,
Storage Hedging Strategy Switch,Santa Barbara County Flood Control & Water Conservation District,Turn Back Pool,
Storage Hedging Strategy Switch,Antelope Valley-East Kern Water Agency,Reduce Groundwater Pumping,
Storage Hedging Strategy Switch,Santa Clarita Water Division,Reduce Groundwater Pumping,
Storage Hedging Strategy Switch,Coachella Valley Water District,Turn Back Pool,
Storage Hedging Strategy Switch,Crestline-Lake Arrowhead Water Agency,Turn Back Pool,
Storage Hedging Strategy Switch,Desert Water Agency,Turn Back Pool,
Storage Hedging Strategy Switch,Metropolitan Water District of Southern California,Put into Carryover and Groundwater Bank,
Storage Hedging Strategy Switch,Mojave Water Agency,Turn Back Pool,
Storage Hedging Strategy Switch,Palmdale Water District & Littlerock Creek Irrigation District,Turn Back Pool,
Storage Hedging Strategy Switch,San Bernardino Valley Municipal Water District,Turn Back Pool,
Storage Hedging Strategy Switch,San Gabriel Valley Municipal Water District,Reduce Groundwater Pumping,
Storage Hedging Strategy Switch,San Gorgonio Pass Water Agency,Turn Back Pool,
Storage Hedging Strategy Switch,Ventura County Watershed Protection District,Reduce Groundwater Pumping,
Hedging Point (%),City of Folsom,60,
Hedging Point (%),City of Redding,60,
Hedging Point (%),City of Roseville,60,
Hedging Point (%),City of West Sacramento,60,
Hedging Point (%),Yuba City,60,
Hedging Point (%),El Dorado Irrigation District,60,
Hedging Point (%),Napa County Flood Control & Water Conservation District,60,
Hedging Point (%),Placer County Water Agency,60,
Hedging Point (%),Sacramento County Water Agency,60,
Hedging Point (%),San Juan Water District,60,
Hedging Point (%),Shasta Contractors,60,
Hedging Point (%),Solano County Water Agency,60,
Hedging Point (%),City of Avenal,60,
Hedging Point (%),City of Coalinga,60,
Hedging Point (%),City of Fresno,60,
Hedging Point (%),City of Huron,60,
Hedging Point (%),City of Lindsay,60,
Hedging Point (%),City of Orange Cove,60,
Hedging Point (%),City of Tracy,60,
Hedging Point (%),Kern County Water Agency,60,
Hedging Point (%),Other Friant-Kern M&I Contractors,60,
Hedging Point (%),Stockton-East Water District,60,
Hedging Point (%),"Alameda County Flood Control and Water Conservation District, Zone 7",60,
Hedging Point (%),Alameda County Water District,60,
Hedging Point (%),Contra Costa Water District,60,
Hedging Point (%),East Bay Municipal Utilities District,60,
Hedging Point (%),"San Benito County Water District, Zone 6",60,
Hedging Point (%),Santa Clara Valley Water District,60,
Hedging Point (%),San Luis Obispo County Flood Control & Water Conservation District,60,
Hedging Point (%),Santa Barbara County Flood Control & Water Conservation District,60,
Hedging Point (%),Antelope Valley-East Kern Water Agency,60,
Hedging Point (%),Santa Clarita Water Division,60,
Hedging Point (%),Coachella Valley Water District,60,
Hedging Point (%),Crestline-Lake Arrowhead Water Agency,60,
Hedging Point (%),Desert Water Agency,60,
Hedging Point (%),Metropolitan Water District of Southern California,60,
Hedging Point (%),Mojave Water Agency,60,
Hedging Point (%),Palmdale Water District & Littlerock Creek Irrigation District,60,
Hedging Point (%),San Bernardino Valley Municipal Water District,60,
Hedging Point (%),San Gabriel Valley Municipal Water District,60,
Hedging Point (%),San Gorgonio Pass Water Agency,60,
Hedging Point (%),Ventura County Watershed Protection District,60,
Hedge Call/Storage Factor,City of Folsom,0.25,
Hedge Call/Storage Factor,City of Redding,0.25,
Hedge Call/Storage Factor,City of Roseville,0.25,
Hedge Call/Storage Factor,City of West Sacramento,0.25,
Hedge Call/Storage Factor,Yuba City,0.25,
Hedge Call/Storage Factor,El Dorado Irrigation District,0.25,
Hedge Call/Storage Factor,Napa County Flood Control & Water Conservation District,0.25,
