Variable,Contractor,2025,2030,2035,2040,2045,Notes
Max Transfer Capacity (acre-feet/year),City of Folsom,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),City of Redding,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),City of Roseville,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),City of West Sacramento,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),Yuba City,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),El Dorado Irrigation District,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),Napa County Flood Control & Water Conservation District,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),Placer County Water Agency,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),Sacramento County Water Agency,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),San Juan Water District,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),Shasta Contractors,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),Solano County Water Agency,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),City of Avenal,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),City of Coalinga,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),City of Fresno,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),City of Huron,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),City of Lindsay,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),City of Orange Cove,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),City of Tracy,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),Kern County Water Agency,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),Other Friant-Kern M&I Contractors,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),Stockton-East Water District,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),"Alameda County Flood Control and Water Conservation District, Zone 7",1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),Alameda County Water District,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),Contra Costa Water District,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),East Bay Municipal Utilities District,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),"San Benito County Water District, Zone 6",1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),Santa Clara Valley Water District,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),San Luis Obispo County Flood Control & Water Conservation District,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),Santa Barbara County Flood Control & Water Conservation District,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),Antelope Valley-East Kern Water Agency,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),Santa Clarita Water Division,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),Coachella Valley Water District,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),Crestline-Lake Arrowhead Water Agency,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),Desert Water Agency,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),Metropolitan Water District of Southern California,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),Mojave Water Agency,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),Palmdale Water District & Littlerock Creek Irrigation District,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),San Bernardino Valley Municipal Water District,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),San Gabriel Valley Municipal Water District,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),San Gorgonio Pass Water Agency,1,1,1,1,1,
Max Transfer Capacity (acre-feet/year),Ventura County Watershed Protection District,1,1,1,1,1,
