,Type,Study Region,Contractor,Year,Value,k_labels,colors
0,Inter-agency transfers (urban to urban),Central Valley - Sacramento Valley,City of Folsom,2025,5,14,#800000
1,Inter-agency transfers (urban to urban),Central Valley - Sacramento Valley,City of Redding,2025,5,14,#800000
2,Inter-agency transfers (urban to urban),Central Valley - Sacramento Valley,City of Roseville,2025,5,14,#800000
3,Inter-agency transfers (urban to urban),Central Valley - Sacramento Valley,City of West Sacramento,2025,5,14,#800000
4,Inter-agency transfers (urban to urban),Central Valley - Sacramento Valley,Yuba City,2025,5,14,#800000
5,Inter-agency transfers (urban to urban),Central Valley - Sacramento Valley,El Dorado Irrigation District,2025,5,14,#800000
6,Inter-agency transfers (urban to urban),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,2025,5,14,#800000
7,Inter-agency transfers (urban to urban),Central Valley - Sacramento Valley,Placer County Water Agency,2025,5,14,#800000
8,Inter-agency transfers (urban to urban),Central Valley - Sacramento Valley,Sacramento County Water Agency,2025,5,14,#800000
9,Inter-agency transfers (urban to urban),Central Valley - Sacramento Valley,San Juan Water District,2025,5,14,#800000
10,Inter-agency transfers (urban to urban),Central Valley - Sacramento Valley,Shasta Contractors,2025,5,14,#800000
11,Inter-agency transfers (urban to urban),Central Valley - Sacramento Valley,Solano County Water Agency,2025,5,14,#800000
12,Inter-agency transfers (urban to urban),Central Valley - San Joaquin Valley,City of Avenal,2025,5,14,#800000
13,Inter-agency transfers (urban to urban),Central Valley - San Joaquin Valley,City of Coalinga,2025,5,14,#800000
14,Inter-agency transfers (urban to urban),Central Valley - San Joaquin Valley,City of Fresno,2025,5,14,#800000
15,Inter-agency transfers (urban to urban),Central Valley - San Joaquin Valley,City of Huron,2025,5,14,#800000
16,Inter-agency transfers (urban to urban),Central Valley - San Joaquin Valley,City of Lindsay,2025,5,14,#800000
17,Inter-agency transfers (urban to urban),Central Valley - San Joaquin Valley,City of Orange Cove,2025,5,14,#800000
18,Inter-agency transfers (urban to urban),Central Valley - San Joaquin Valley,City of Tracy,2025,5,14,#800000
19,Inter-agency transfers (urban to urban),Central Valley - San Joaquin Valley,Kern County Water Agency,2025,5,14,#800000
20,Inter-agency transfers (urban to urban),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,2025,5,14,#800000
21,Inter-agency transfers (urban to urban),Central Valley - San Joaquin Valley,Stockton-East Water District,2025,5,14,#800000
22,Inter-agency transfers (urban to urban),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",2025,5,14,#800000
23,Inter-agency transfers (urban to urban),San Francisco Bay Area,Alameda County Water District,2025,5,14,#800000
24,Inter-agency transfers (urban to urban),San Francisco Bay Area,Contra Costa Water District,2025,5,14,#800000
25,Inter-agency transfers (urban to urban),San Francisco Bay Area,East Bay Municipal Utilities District,2025,5,14,#800000
26,Inter-agency transfers (urban to urban),San Francisco Bay Area,"San Benito County Water District, Zone 6",2025,5,14,#800000
27,Inter-agency transfers (urban to urban),San Francisco Bay Area,Santa Clara Valley Water District,2025,5,14,#800000
28,Inter-agency transfers (urban to urban),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,2025,5,14,#800000
29,Inter-agency transfers (urban to urban),Central Coast,Santa Barbara County Flood Control & Water Conservation District,2025,5,14,#800000
30,Inter-agency transfers (urban to urban),Southern California,Antelope Valley-East Kern Water Agency,2025,5,14,#800000
31,Inter-agency transfers (urban to urban),Southern California,Santa Clarita Water Division,2025,5,14,#800000
32,Inter-agency transfers (urban to urban),Southern California,Coachella Valley Water District,2025,5,14,#800000
33,Inter-agency transfers (urban to urban),Southern California,Crestline-Lake Arrowhead Water Agency,2025,5,14,#800000
34,Inter-agency transfers (urban to urban),Southern California,Desert Water Agency,2025,5,14,#800000
35,Inter-agency transfers (urban to urban),Southern California,Metropolitan Water District of Southern California,2025,5,14,#800000
36,Inter-agency transfers (urban to urban),Southern California,Mojave Water Agency,2025,5,14,#800000
