,Contractor,Study Region,Hydro. Region,Type,SWP or CVP,Key Info
0,City of Folsom,Central Valley - Sacramento Valley,Sacramento,Retail,CVP,
1,City of Redding,Central Valley - Sacramento Valley,Sacramento,Retail,CVP,
2,City of Roseville,Central Valley - Sacramento Valley,Sacramento,Retail,CVP,
3,City of West Sacramento,Central Valley - Sacramento Valley,Sacramento,Retail,CVP,
4,Yuba City,Central Valley - Sacramento Valley,Sacramento,Retail,SWP,
5,El Dorado Irrigation District,Central Valley - Sacramento Valley,Sacramento,Retail,CVP,Water user does not have conveyance.
6,Placer County Water Agency,Central Valley - Sacramento Valley,Sacramento,Wholesale,CVP,
7,Sacramento County Water Agency,Central Valley - Sacramento Valley,Sacramento,Retail,CVP,
8,San Juan Water District,Central Valley - Sacramento Valley,Sacramento,Wholesale,CVP,
9,City of Coalinga,Central Valley - San Joaquin Valley,San Joaquin,Retail,CVP,
10,City of Fresno,Central Valley - San Joaquin Valley,San Joaquin,Retail,CVP,
11,City of Tracy,Central Valley - San Joaquin Valley,San Joaquin,Retail,CVP,
12,Kern County Water Agency Improvement District No 4,Central Valley - San Joaquin Valley,San Joaquin,Retail,SWP,
13,Stockton-East Water District,Central Valley - San Joaquin Valley,San Joaquin,Wholesale,CVP,
14,"Alameda County Flood Control and Water Conservation District, Zone 7",San Francisco Bay Area,Sacramento,Wholesale,SWP,
15,Alameda County Water District,San Francisco Bay Area,Sacramento,Retail,SWP,
16,Contra Costa Water District,San Francisco Bay Area,Sacramento,Retail and Wholesale,CVP,
17,East Bay Municipal Utilities District,San Francisco Bay Area,Sacramento,Retail and Wholesale,CVP,
18,"San Benito County Water District, Zone 6",San Francisco Bay Area,Sacramento,Wholesale,CVP,
19,Santa Clara Valley Water District,San Francisco Bay Area,Sacramento,Wholesale,SWP and CVP,
20,San Luis Obispo County Flood Control & Water Conservation District,Central Coast,San Joaquin,Wholesale,SWP,
21,Antelope Valley-East Kern Water Agency,Southern California,San Joaquin,Wholesale,SWP,
22,Santa Clarita Water Division,Southern California,San Joaquin,,SWP,
23,Coachella Valley Water District,Southern California,San Joaquin,Retail,SWP,
24,Desert Water Agency,Southern California,San Joaquin,Retail,SWP,
25,Metropolitan Water District of Southern California,Southern California,San Joaquin,Wholesale,SWP,
26,Mojave Water Agency,Southern California,San Joaquin,Wholesale,SWP,
27,Palmdale Water District & Littlerock Creek Irrigation District,Southern California,San Joaquin,Retail,SWP,
28,San Bernardino Valley Municipal Water District,Southern California,San Joaquin,Retail,SWP,
29,San Gorgonio Pass Water Agency,Southern California,San Joaquin,Wholesale,SWP,
