Variable,Contractor,2025,2030,2035,2040,2045,Notes
Surface Water Supply Cost ($/AF),Butte County,10,10,10,10,10,
Surface Water Supply Cost ($/AF),City of Folsom,10,10,10,10,10,
Surface Water Supply Cost ($/AF),City of Redding,10,10,10,10,10,
Surface Water Supply Cost ($/AF),City of Roseville,10,10,10,10,10,
Surface Water Supply Cost ($/AF),City of West Sacramento,10,10,10,10,10,
Surface Water Supply Cost ($/AF),Yuba City,10,10,10,10,10,
Surface Water Supply Cost ($/AF),El Dorado Irrigation District,10,10,10,10,10,
Surface Water Supply Cost ($/AF),Napa County Flood Control & Water Conservation District,10,10,10,10,10,
Surface Water Supply Cost ($/AF),Placer County Water Agency,10,10,10,10,10,
Surface Water Supply Cost ($/AF),Sacramento County Water Agency,10,10,10,10,10,
Surface Water Supply Cost ($/AF),San Juan Water District,10,10,10,10,10,
Surface Water Supply Cost ($/AF),Shasta Contractors,10,10,10,10,10,
Surface Water Supply Cost ($/AF),Solano County Water Agency,10,10,10,10,10,
Surface Water Supply Cost ($/AF),City of Avenal,10,10,10,10,10,
Surface Water Supply Cost ($/AF),City of Coalinga,10,10,10,10,10,
Surface Water Supply Cost ($/AF),City of Fresno,10,10,10,10,10,
Surface Water Supply Cost ($/AF),City of Huron,10,10,10,10,10,
Surface Water Supply Cost ($/AF),City of Lindsay,10,10,10,10,10,
Surface Water Supply Cost ($/AF),City of Orange Cove,10,10,10,10,10,
Surface Water Supply Cost ($/AF),City of Tracy,10,10,10,10,10,
Surface Water Supply Cost ($/AF),Kern County Water Agency Improvement District No 4,10,10,10,10,10,
Surface Water Supply Cost ($/AF),Other Friant-Kern M&I Contractors,10,10,10,10,10,
Surface Water Supply Cost ($/AF),Stockton-East Water District,10,10,10,10,10,
Surface Water Supply Cost ($/AF),"Alameda County Flood Control and Water Conservation District, Zone 7",10,10,10,10,10,
Surface Water Supply Cost ($/AF),Alameda County Water District,10,10,10,10,10,
Surface Water Supply Cost ($/AF),Contra Costa Water District,10,10,10,10,10,
Surface Water Supply Cost ($/AF),East Bay Municipal Utilities District,10,10,10,10,10,
Surface Water Supply Cost ($/AF),"San Benito County Water District, Zone 6",10,10,10,10,10,
Surface Water Supply Cost ($/AF),Santa Clara Valley Water District,10,10,10,10,10,
Surface Water Supply Cost ($/AF),San Luis Obispo County Flood Control & Water Conservation District,10,10,10,10,10,
Surface Water Supply Cost ($/AF),Santa Barbara County Flood Control & Water Conservation District,10,10,10,10,10,
Surface Water Supply Cost ($/AF),Antelope Valley-East Kern Water Agency,10,10,10,10,10,
Surface Water Supply Cost ($/AF),Santa Clarita Water Division,10,10,10,10,10,
Surface Water Supply Cost ($/AF),Coachella Valley Water District,10,10,10,10,10,
Surface Water Supply Cost ($/AF),Crestline-Lake Arrowhead Water Agency,10,10,10,10,10,
Surface Water Supply Cost ($/AF),Desert Water Agency,10,10,10,10,10,
Surface Water Supply Cost ($/AF),Metropolitan Water District of Southern California,10,10,10,10,10,
Surface Water Supply Cost ($/AF),Mojave Water Agency,10,10,10,10,10,
Surface Water Supply Cost ($/AF),Palmdale Water District & Littlerock Creek Irrigation District,10,10,10,10,10,
Surface Water Supply Cost ($/AF),San Bernardino Valley Municipal Water District,10,10,10,10,10,
Surface Water Supply Cost ($/AF),San Gabriel Valley Municipal Water District,10,10,10,10,10,
Surface Water Supply Cost ($/AF),San Gorgonio Pass Water Agency,10,10,10,10,10,
Surface Water Supply Cost ($/AF),Ventura County Watershed Protection District,10,10,10,10,10,
Groundwater Supply Cost ($/AF),Butte County,10,10,10,10,10,
Groundwater Supply Cost ($/AF),City of Folsom,10,10,10,10,10,
Groundwater Supply Cost ($/AF),City of Redding,10,10,10,10,10,
Groundwater Supply Cost ($/AF),City of Roseville,10,10,10,10,10,
Groundwater Supply Cost ($/AF),City of West Sacramento,10,10,10,10,10,
Groundwater Supply Cost ($/AF),Yuba City,10,10,10,10,10,
Groundwater Supply Cost ($/AF),El Dorado Irrigation District,10,10,10,10,10,
Groundwater Supply Cost ($/AF),Napa County Flood Control & Water Conservation District,10,10,10,10,10,
Groundwater Supply Cost ($/AF),Placer County Water Agency,10,10,10,10,10,
Groundwater Supply Cost ($/AF),Sacramento County Water Agency,10,10,10,10,10,
Groundwater Supply Cost ($/AF),San Juan Water District,10,10,10,10,10,
Groundwater Supply Cost ($/AF),Shasta Contractors,10,10,10,10,10,
Groundwater Supply Cost ($/AF),Solano County Water Agency,10,10,10,10,10,
Groundwater Supply Cost ($/AF),City of Avenal,10,10,10,10,10,
Groundwater Supply Cost ($/AF),City of Coalinga,10,10,10,10,10,
Groundwater Supply Cost ($/AF),City of Fresno,10,10,10,10,10,
Groundwater Supply Cost ($/AF),City of Huron,10,10,10,10,10,
Groundwater Supply Cost ($/AF),City of Lindsay,10,10,10,10,10,
Groundwater Supply Cost ($/AF),City of Orange Cove,10,10,10,10,10,
Groundwater Supply Cost ($/AF),City of Tracy,10,10,10,10,10,
Groundwater Supply Cost ($/AF),Kern County Water Agency Improvement District No 4,10,10,10,10,10,
Groundwater Supply Cost ($/AF),Other Friant-Kern M&I Contractors,10,10,10,10,10,
Groundwater Supply Cost ($/AF),Stockton-East Water District,10,10,10,10,10,
Groundwater Supply Cost ($/AF),"Alameda County Flood Control and Water Conservation District, Zone 7",10,10,10,10,10,
Groundwater Supply Cost ($/AF),Alameda County Water District,10,10,10,10,10,
Groundwater Supply Cost ($/AF),Contra Costa Water District,10,10,10,10,10,
Groundwater Supply Cost ($/AF),East Bay Municipal Utilities District,10,10,10,10,10,
Groundwater Supply Cost ($/AF),"San Benito County Water District, Zone 6",10,10,10,10,10,
Groundwater Supply Cost ($/AF),Santa Clara Valley Water District,10,10,10,10,10,
Groundwater Supply Cost ($/AF),San Luis Obispo County Flood Control & Water Conservation District,10,10,10,10,10,
Groundwater Supply Cost ($/AF),Santa Barbara County Flood Control & Water Conservation District,10,10,10,10,10,
Groundwater Supply Cost ($/AF),Antelope Valley-East Kern Water Agency,10,10,10,10,10,
Groundwater Supply Cost ($/AF),Santa Clarita Water Division,10,10,10,10,10,
Groundwater Supply Cost ($/AF),Coachella Valley Water District,10,10,10,10,10,
Groundwater Supply Cost ($/AF),Crestline-Lake Arrowhead Water Agency,10,10,10,10,10,
Groundwater Supply Cost ($/AF),Desert Water Agency,10,10,10,10,10,
Groundwater Supply Cost ($/AF),Metropolitan Water District of Southern California,10,10,10,10,10,
Groundwater Supply Cost ($/AF),Mojave Water Agency,10,10,10,10,10,
Groundwater Supply Cost ($/AF),Palmdale Water District & Littlerock Creek Irrigation District,10,10,10,10,10,
Groundwater Supply Cost ($/AF),San Bernardino Valley Municipal Water District,10,10,10,10,10,
Groundwater Supply Cost ($/AF),San Gabriel Valley Municipal Water District,10,10,10,10,10,
Groundwater Supply Cost ($/AF),San Gorgonio Pass Water Agency,10,10,10,10,10,
Groundwater Supply Cost ($/AF),Ventura County Watershed Protection District,10,10,10,10,10,
Desalination Supply Cost ($/AF),Butte County,10,10,10,10,10,
Desalination Supply Cost ($/AF),City of Folsom,10,10,10,10,10,
Desalination Supply Cost ($/AF),City of Redding,10,10,10,10,10,
Desalination Supply Cost ($/AF),City of Roseville,10,10,10,10,10,
Desalination Supply Cost ($/AF),City of West Sacramento,10,10,10,10,10,
Desalination Supply Cost ($/AF),Yuba City,10,10,10,10,10,
Desalination Supply Cost ($/AF),El Dorado Irrigation District,10,10,10,10,10,
Desalination Supply Cost ($/AF),Napa County Flood Control & Water Conservation District,10,10,10,10,10,
Desalination Supply Cost ($/AF),Placer County Water Agency,10,10,10,10,10,
Desalination Supply Cost ($/AF),Sacramento County Water Agency,10,10,10,10,10,
Desalination Supply Cost ($/AF),San Juan Water District,10,10,10,10,10,
Desalination Supply Cost ($/AF),Shasta Contractors,10,10,10,10,10,
Desalination Supply Cost ($/AF),Solano County Water Agency,10,10,10,10,10,
Desalination Supply Cost ($/AF),City of Avenal,10,10,10,10,10,
Desalination Supply Cost ($/AF),City of Coalinga,10,10,10,10,10,
Desalination Supply Cost ($/AF),City of Fresno,10,10,10,10,10,
Desalination Supply Cost ($/AF),City of Huron,10,10,10,10,10,
Desalination Supply Cost ($/AF),City of Lindsay,10,10,10,10,10,
Desalination Supply Cost ($/AF),City of Orange Cove,10,10,10,10,10,
Desalination Supply Cost ($/AF),City of Tracy,10,10,10,10,10,
Desalination Supply Cost ($/AF),Kern County Water Agency Improvement District No 4,10,10,10,10,10,
Desalination Supply Cost ($/AF),Other Friant-Kern M&I Contractors,10,10,10,10,10,
Desalination Supply Cost ($/AF),Stockton-East Water District,10,10,10,10,10,
