,Year,City of Folsom,City of Redding,City of Roseville,City of West Sacramento,Yuba City,El Dorado Irrigation District,Napa County Flood Control & Water Conservation District,Placer County Water Agency,Sacramento County Water Agency,San Juan Water District,Shasta Contractors,Solano County Water Agency,City of Avenal,City of Coalinga,City of Fresno,City of Huron,City of Lindsay,City of Orange Cove,City of Tracy,Kern County Water Agency,Other Friant-Kern M&I Contractors,Stockton-East Water District,"Alameda County Flood Control and Water Conservation District, Zone 7",Alameda County Water District,Contra Costa Water District,East Bay Municipal Utilities District,"San Benito County Water District, Zone 6",Santa Clara Valley Water District,San Luis Obispo County Flood Control & Water Conservation District,Santa Barbara County Flood Control & Water Conservation District,Antelope Valley-East Kern Water Agency,Santa Clarita Water Division,Coachella Valley Water District,Crestline-Lake Arrowhead Water Agency,Desert Water Agency,Metropolitan Water District of Southern California,Mojave Water Agency,Palmdale Water District & Littlerock Creek Irrigation District,San Bernardino Valley Municipal Water District,San Gabriel Valley Municipal Water District,San Gorgonio Pass Water Agency,Ventura County Watershed Protection District
0,1922,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
1,1923,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
2,1924,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
3,1925,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
4,1926,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
5,1927,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
6,1928,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
7,1929,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
8,1930,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
9,1931,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
