 Name                       Version      License
 DateTime                   5.5          Zope Public License
 Deprecated                 1.2.14       MIT License
 GitPython                  3.1.43       BSD License
 Jinja2                     3.1.3        BSD License
 MarkupSafe                 2.1.5        BSD License
 PyYAML                     6.0.1        MIT License
 Pygments                   2.17.2       BSD License
 about-time                 4.2.1        MIT License
 alive-progress             3.1.5        MIT License
 altair                     5.3.0        BSD License
 argparse                   1.4.0        Python Software Foundation License
 asttokens                  2.4.1        Apache 2.0
 attrs                      23.2.0       MIT License
 autograd                   1.6.2        MIT License
 backcall                   0.2.0        BSD License
 blinker                    1.8.1        MIT License
 bokeh                      3.4.1        BSD License
 cachetools                 5.3.3        MIT License
 certifi                    2024.2.2     Mozilla Public License 2.0 (MPL 2.0)
 charset-normalizer         3.3.2        MIT License
 click                      8.1.7        BSD License
 cma                        3.2.2        BSD License
 colorama                   0.4.6        BSD License
 comm                       0.2.2        BSD License
 contourpy                  1.2.1        BSD License
 cycler                     0.12.1       BSD License
 debugpy                    1.8.1        MIT License
 decorator                  5.1.1        BSD License
 dill                       0.3.8        BSD License
 et-xmlfile                 1.1.0        MIT License
 executing                  2.0.1        MIT License
 fonttools                  4.51.0       MIT License
 future                     1.0.0        MIT License
 gitdb                      4.0.11       BSD License
 grapheme                   0.6.0        MIT
 idna                       3.7          BSD License
 importlib-metadata         6.8.0        Apache Software License
 ipykernel                  6.29.4       BSD License
 ipython                    8.24.0       BSD License
 jedi                       0.19.1       MIT License
 joblib                     1.4.0        BSD License
 jsonschema                 4.22.0       MIT License
 jsonschema-specifications  2023.12.1    MIT License
 jupyter_client             8.6.1        BSD License
 jupyter_core               5.7.2        BSD License
 kiwisolver                 1.4.5        BSD License
 logging                    0.4.9.6      Copyright (C) 2001-2005 by Vinay Sajip. All Rights Reserved. See LICENSE for license.
 markdown-it-py             3.0.0        MIT License
 matplotlib                 3.8.4        Python Software Foundation License
 matplotlib-inline          0.1.7        BSD License
 mdurl                      0.1.2        MIT License
 nest-asyncio               1.6.0        BSD License
 numpy                      1.26.4       BSD License
 openpyxl                   3.1.2        MIT License
 packaging                  24.0         Apache Software License; BSD License
 pandas                     2.2.2        BSD License
 parso                      0.8.4        MIT License
 pickleshare                0.7.5        MIT License
 pillow                     10.3.0       Historical Permission Notice and Disclaimer (HPND)
 platformdirs               4.2.1        MIT License
 plotly                     5.22.0       MIT License
 prompt-toolkit             3.0.43       BSD License
 protobuf                   4.25.3       3-Clause BSD License
 psutil                     5.9.8        BSD License
 pure-eval                  0.2.2        MIT License
 pyarrow                    16.0.0       Apache Software License
 pydeck                     0.9.0        Apache License 2.0
 pymoo                      0.6.1.1      Apache Software License
 pyparsing                  3.1.2        MIT License
 pyproj                     3.6.1        MIT License
 python-dateutil            2.9.0.post0  Apache Software License; BSD License
 python-decouple            3.8          MIT License
 pytz                       2024.1       MIT License
 pywin32                    306          Python Software Foundation License
 pyzmq                      26.0.3       BSD License
 referencing                0.35.0       MIT License
 requests                   2.31.0       Apache Software License
 rich                       13.7.1       MIT License
 rpds-py                    0.18.0       MIT License
 scikit-learn               1.4.2        BSD License
 scipy                      1.13.0       BSD License
 setuptools-scm             8.0.4        MIT License
 shapely                    2.0.4        BSD License
 six                        1.16.0       MIT License
 smmap                      5.0.1        BSD License
 stack-data                 0.6.3        MIT License
 streamlit                  1.33.0       Apache Software License
 streamlit-aggrid           0.3.4.post3  MIT License
 tenacity                   8.2.3        Apache Software License
 threadpoolctl              3.5.0        BSD License
 toml                       0.10.2       MIT License
 toolz                      0.12.1       BSD License
 tornado                    6.4          Apache Software License
 traitlets                  5.14.3       BSD License
 typing_extensions          4.11.0       Python Software Foundation License
 tzdata                     2024.1       Apache Software License
 tzlocal                    5.1          MIT License
 urllib3                    2.2.1        MIT License
 validators                 0.22.0       MIT License
 watchdog                   4.0.0        Apache Software License
 wrapt                      1.16.0       BSD License
 xyzservices                2024.4.0     BSD License
 zipp                       3.17.0       MIT License
 zope.interface             6.3          Zope Public License
